Organisation name,Organisiation type,"Main, parent or sponsoring dept",AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,Grand Total,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,Total £ costs
Economic & Social Research Council (ESRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",15,13.33,32,29.45,90,85.52,17,16.33,0,0,0,0,154,144.63,0,0,0,0,0,0,0,0,0,0,154,145,"£397,206.08","£4,956.08",£100.00,£149.06,"£99,513.69","£38,963.06","£540,887.97", £-   , £-   , £-   ,"£540,887.97"
Engineering & Physical Sciences Research Council (EPSRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",53,49.36,46,42.4,152,143.76,45,41.72,1,1,0,0,297,278.24,0,0,0,0,1,1,0,0,1,1,298,279,"£1,075,956.47","£32,445.30","£2,900.00",£59.25,"£270,896.73","£113,373.22","£1,495,630.97","£2,872.80", £-   ,"£2,872.80","£1,498,503.77"
HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",1076,1041,2093,1815,1803,1634.5,224,207.6,20,19.92,0,0,5216,4718.02,0,0,31,31,0,0,0,0,31,31,"5,247","4,749",,"£240,439.43", £-   ,"£467,340.66","£2,354,889.98","£1,254,845.43","£4,317,515.50","£204,923.87","£216,997.68","£421,921.55","£4,739,437.05"
Innovate UK,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,, £-   ,,, £-   , £-   
Insolvency Service,Executive Agency,"Department for Business, Innovation and Skills",533,498.05,196,187.49,717,685.01,108,105.82,10,10,0,0,"1,564","1,486.37",54,54,0,0,20,20,0,0,74,74,"1,638","1,560","£3,945,240.00","£8,142.00","£42,800.00","£27,200.00","£808,511.00","£554,636.00","£5,386,529.00","£646,718.00", £-   ,"£646,718.00","£6,033,247.00"
Intellectual Property Office (IPO),Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",199,179.6,369,341.2,357,343.8,287,270.7,26,26,,,"1,238","1,161",24,23.6,,,19,18.6,,,43,42.2,"1,281","1,204","£3,175,754.00","£138,940.00","£10,197.00","£28,165.00","£706,898.00","£364,665.00","£4,424,619.00","£241,790.00",,"£241,790.00","£4,666,409.00"
Medical Research Council (MRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",180,166,262,249,688,674,95,92,59,56,53,42,1337,1279,4,4,23,23,0,0,0,0,27,27,"1,364","1,306","£3,808,756.00","£225,015.00", £-   ,"£10,752.00","£569,124.00","£426,712.00","£5,040,359.00","£344,865.00", £-   ,"£344,865.00","£5,385,224.00"
Met Office,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",,,,,,,,,,,1997,1906.5,1997,1906.5,31,26.2,,,64,62.1,31,13,126,101,"2,123","2,008","£5,871,151.00","£345,053.00", £-   , £-   ,"£1,265,324.00","£638,410.00","£8,119,938.00","£699,189.00","£434,268.00","£1,133,457.00","£9,253,395.00"
Natural Environment Research Council (NERC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",226,194.8,427,396.4,1238,1179.9,357,341.2,22,21.8,215,211.8,2485,2345.9,1,1,0,0,1,1,0,0,2,2,"2,487","2,348","£6,755,975.86","£218,960.43","£15,590.00","£32,246.98","£1,739,816.51","£692,455.82","£9,455,045.60","£98,913.46", £-   ,"£98,913.46","£9,553,959.06"
Nuclear Decommissioning Authority (NDA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",,,,,,,,,,,221,210,221,210,8,8,24,19,,,,,32,27,253,237,"£1,176,877.64","£65,554.54","£3,192,851.59",,"£239,164.57","£154,705.69","£4,829,154.03","£519,000.00",,"£519,000.00","£5,348,154.03"
Science & Technology Facilities Council (STFC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",150,143.1,301,290.1,1193,1160,408,389.4,41,37.2,52,45,2145,2064.8,30,30,0,0,20,20,0,0,50,50,"2,195","2,115","£6,398,580.00","£360,630.55", £-   ,"£104,908.91","£1,668,089.76","£728,316.68","£9,260,525.90","£182,265.70", £-   ,"£182,265.70","£9,442,791.60"
UK Atomic Energy Authority (UKAEA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",58,54.36,104,100.25,515,505.31,175,168.32,11,10.5,34,34,897,872.74,4,4,0,0,288,288,0,0,292,292,"1,189","1,165","£3,356,819.38", £-   ,"£114,848.78","£46,974.52","£565,423.10","£398,337.69","£4,482,403.47","£1,173,811.24", £-   ,"£1,173,811.24","£5,656,214.71"
UK Space Agency,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",4,4,9,9,81,80.52,61,58.26,8,7.4,0,0,163,159.18,,,0,0,5,2.52,0,0,5,3,168,162,"£567,176.92","£9,813.98",, £-   ,"£121,922.21","£63,420.10","£762,333.21","£28,933.55", £-   ,"£28,933.55","£791,266.76"
