Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)",,,
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,,
"Department for Business, Energy & Industrial Strategy (BEIS)*",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",112,107.201,303.9,301.54,913,895.075,1115,1075.949,183,175,11,11,"2,638","2,566",7,7,,,89,84.7,,,96,91.7,"2,734","2,657","£10,710,298.37","£359,273.79","£147,849.87","£45,374.09","£2,421,733.12","£1,291,067.43","£14,975,596.67","-£237,170.35","£627,063.42","£389,893.07","£15,365,489.74",,,,
Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",59,52.60,229,207.80,479,440.60,38,34.70,3,3.00,1,0.60,809,739.30,7,7.00,0,0.00,0,0.00,4,4.00,11,11,820,750,"£2,030,139.80","£17,548.61",£0.00,"£27,992.28","£417,964.60","£209,734.25","£2,703,379.54","£23,347.58","£3,000.00","£26,347.58","£2,729,727.12",,,,
Arts & Humanities Research Council (AHRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",6,5.88,32,31.10,66,61.73,13,12.80,1,1.00,0,0.00,118,112.51,1,1.00,0,0.00,2,2.00,0,0.00,3,3,121,116,"£326,036.05","£5,078.80",£0.00,£480.52,"£83,884.25","£36,659.84","£452,139.46","£16,783.20",£0.00,"£16,783.20","£468,922.66",,,,
Biotechnology & Biological Sciences Research Council (BBSRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",32,27.43,46,42.59,136,129.78,41,39.43,12,11.51,0,0.00,267,250.74,2,2.00,0,0.00,0,0.00,0,0.00,2,2,269,253,"£743,628.62","£16,218.46","£1,338.15","£2,163.57","£190,414.99","£75,466.48","£1,029,230.27","£3,759.00",£0.00,"£3,759.00","£1,032,989.27",,,,
Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)","1,157","1,136.78",291,284.76,130,129.50,19,18.81,5,5.00,0,0.00,"1,602","1,574.85",0,0.00,0,0.00,0,0.00,0,0.00,0,0,"1,602","1,575","£4,370,359.45","£163,008.86",£0.00,"£547,439.53","£829,678.03","£570,735.85","£6,481,221.72",£0.00,£0.00,£0.00,"£6,481,221.72",,,,
Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",18,17.50,22,20.09,125,124.10,44,44.00,3,3.00,0,0.00,212,208.69,4,4.00,0,0.00,13,12.50,0,0.00,17,17,229,225,"£652,327.68","£11,488.97",£0.00,"£1,303.83","£137,266.94","£71,540.63","£873,928.05","£125,005.05",£0.00,"£125,005.05","£998,933.10",Data is correct.,,,
Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,1,1.00,6,5.61,14,13.23,5,4.80,0,0.00,26,24.64,0,0.00,0,0.00,0,0.00,0,0.00,0,0,26,25,"£116,286.46",£216.00,£0.00,£0.00,"£21,226.21","£12,184.48","£149,913.15",£0.00,£0.00,£0.00,"£149,913.15",,,,
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",448,390.00,253,240.00,155,154.00,35,34.00,5,4.00,0,0.00,896,822.00,1,1.00,0,0.00,0,0.00,18,18.00,19,19,915,841,"£1,829,639.24","£29,878.84",£0.00,"£37,277.12","£380,867.81","£175,270.68","£2,452,933.69","£1,018.70","£93,082.14","£94,100.84","£2,547,034.53",,,,
