Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,276,263.18184,522,509.45048,960,937.7792,1524,1497.22932,365,356.74475,1667,1657.75123,"5,314","5,222",5,5,56,53.4,209,205.6,0,0,270,264,"5,584","5,486","£18,952,461.48","£650,937.87","£83,978.00","£148,489.73","£3,957,329.71","£2,225,374.18","£26,018,570.97","£2,217,511.00",£0.00,"£2,217,511.00","£28,236,081.97"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.55556,5,5,5,4.8,5,4.8,0,0,1,1,17,16.15556,0,0,0,0,0,0,0,0,0,0,17,16.15556,"£55,267.55",£166.67,"£1,500.00",£0.00,"£12,137.75","£6,210.00","£75,281.97",£0.00,£0.00,£0.00,"£75,281.97"
Crown Commercial Services,Executive Agency,Cabinet Office,24,21.5,91,85.84,302,288.82,187,177.67,23,21,0,0,627,594.83,20,20,0,0,0,0,0,0,20,20,647,614.83,"£1,969,850.09","£36,147.70",£0.00,£0.00,"£410,537.19","£216,910.91","£2,633,445.89","£310,983.03","£227,730.95","£538,713.98","£3,172,159.87"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,73,68,439,404,245,231,73,72,16,16,0,0,846,791,42,42,0,0,5,4,0,0,47,46,893,837,"£1,993,736.15","£19,081.25","£34,627.45","£6,843.35","£403,359.00","£204,133.59","£2,661,780.79","£130,533.35",£0.00,"£130,533.35","£2,792,314.14"
Government Property Agency,Executive Agency,Cabinet Office,1,1,21,20.61,33,32.28,50,49.39,6,6,0,0,111,109.28,0,0,0,0,7,7,0,0,7,7,118,116.28,"£387,431.00","£14,329.00","£2,870.00",£133.00,"£86,803.00","£45,193.00","£536,759.00","£21,658.00",£0.00,"£21,658.00","£558,417.00"
