Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Cabinet Office,Ministerial Department,Cabinet Office,533,491.94,732,710.07,1797,1760.24,2414,2364.58,422,414.57,2450,2435.28,"8,348","8,177",17,17,321,319.5,218,212.41,556,548.91,"8,904","8,726","£30,691,928.50","£1,108,135.96","£179,973.50","£403,351.70","£7,900,548.91","£3,626,945.43","£43,910,884.00","£3,632,348.64","£47,543,232.64",
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.6,7,7,3,2.8,6,5.93,0,0,1,1,18,17,0,0,0,0,0,0,0,0,18,17,"£58,122.23","£2,079.84",£0.00,£0.00,"£17,308.90","£6,689.07","£84,200.04",£0.00,"£84,200.04",
Crown Commercial Services,Executive Agency,Cabinet Office,23,22,100,94,370,354,164,155,21,21,0,0,678,646,0,0,53,53,0,0,53,53,731,699,"£2,072,673.92","£43,785.31","£4,000.00","£1,393.23","£538,792.27","£224,945.29","£2,885,590.02","£708,300.23","£3,593,890.25",
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,19,18,465,431,249,236,62,61,17,17,0,0,812,763,1,1,0,0,2,1.5,3,2.5,815,766,"£2,050,319.95","£39,764.95","£237,156.08","£7,349.62","£520,428.24","£240,415.28","£3,095,434.12","£8,433.17","£3,103,867.29",
Government Property Agency,Executive Agency,Cabinet Office,3,2.43,17,16.29,53,51.72,79,77.74,15,15,0,0,167,163,24,23.6,0,0,0,0,24,23.6,191,187,"£635,214.00","£13,916.00",£0.00,£0.00,"£175,822.00","£73,186.00","£898,138.00","£255,782.53","£1,153,920.53",
Equality & Human Rights Commission,Executive Non-Departmental Public Body,Cabinet Office,1,1,15,14.6,116,110.96,64,59.33,13,12.89,0,0,209,199,1,1,2,2,0,0,3,3,212,202,"£731,411.00","£13,399.00",£0.00,£148.00,"£200,090.00","£76,039.00","£1,021,087.00","£37,293.00","£1,058,380.00",
