Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Cabinet Office,Ministerial Department,Cabinet Office,571,529.73,779,754.98,1880,1843.6,2596,2546.35,450,442.68,2835,2819.43,"9,111","8,937",43,43,148,148,308,308,499,499,"9,610","9,436","£34,196,113.03","£1,113,321.75","£541,843.75","£246,303.55","£8,658,317.92","£4,059,554.35","£48,815,454.35","£5,765,890.23","£54,581,344.58",
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.6,9,9,2,1.8,7,6.93,0,0,1,1,20,19,0,0,0,0,0,0,0,0,20,19,"£67,169.28","£2,351.23","£2,423.00",£0.00,"£19,563.35","£7,992.85","£99,499.71",£0.00,"£99,499.71",
Crown Commercial Services,Executive Agency,Cabinet Office,23,22,97,93,410,391.8,188,178.8,22,22,0,0,740,708,0,0,48,48,0,0,48,48,788,756,"£2,264,879.38","£45,371.80","£38,720.46",£0.00,"£609,162.04","£250,061.83","£3,208,195.51","£670,844.29","£3,879,039.80",
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,18,17,461,425,250,238,69,68,17,16,0,0,815,764,33,27,0,0,12,3.3,45,30.3,860,794,"£2,067,760.45","£44,186.79",£0.00,"£12,787.55","£525,833.51","£210,755.87","£2,861,324.17","£130,240.64","£2,991,564.81",
Government Property Agency,Executive Agency,Cabinet Office,3,2.57,18,17.29,71,69.66,96,94.74,18,18,0,0,206,202,22,22,0,0,0,0,22,22,228,224,"£816,425.00","£32,163.00","£21,322.00",£394.00,"£228,920.00","£99,195.00","£1,198,419.00","£282,245.77","£1,480,664.77",
Equality & Human Rights Commission,Executive Non-Departmental Public Body,Cabinet Office,1,1,12,12,118,113,64,59,13,13,0,0,208,198,0,0,1,0.2,0,0,1,0.2,209,198,"£717,175.00","£12,868.00",£0.00,£453.00,"£204,599.00","£80,381.00","£1,015,476.00","£3,870.00","£1,019,346.00",
