Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Ministry of Justice,Ministerial Department,Ministry of Justice,963,900.72,932,897.48,1682,1637.17,796,776.60,121,118.81,0,0.00,"4,494","4,330.78",162,159.7,13,13.00,202,202.00,0,0.00,377,374.70,"4,871","4,705.48","£14,317,632.92","-£10,518.39","£21,549.00","£79,460.24","£2,682,455.36","£1,161,988.99","£18,252,568.12","£2,885,161.84","£1,768,299.08","£4,653,460.92","£22,906,029.04",
HM Courts and Tribunals Service,Executive Agency,Ministry of Justice,13373,11668.84,2866,2689.85,2472,2297.31,503,490.01,31,31.00,0,0.00,"19,245","17,177.00",(..),818.12,(..),(..),(..),(..),(..),(..),0,818.12,"19,245","17,995.12","£33,988,464.75","£213,878.77","£56,550.78","£329,543.76","£5,925,424.17","£2,258,294.64","£42,772,156.87","£1,957,499.74",(..),"£1,957,499.74","£44,729,656.61",Only Agency FTE available. Agency HC not collected.
National Archives,Executive Agency,Ministry of Justice,172,152.79,116,110.91,262,256.23,61,60.33,6,6.00,0,0.00,617,586.26,2,2.00,0,0.00,10,10.00,0,0.00,12,12.00,629,598.26,"£1,516,661.90","£14,470.11",(..),"£11,158.70","£263,319.92","£125,041.53","£1,930,652.16","£75,153.21",(..),"£75,153.21","£2,005,805.37",
National Offender Management Service,Executive Agency,Ministry of Justice,30967,29557.87,5771,5538.68,4442,4236.03,586,575.61,36,36.00,0,0.00,"41,802","39,944.19",553.42,(..),14.06,(..),27.54,(..),0,(..),595.02,0.00,"42,397","39,944.19","£95,105,889.16",£0.00,£0.00,"£4,217,036.27","£17,827,110.50","£7,340,883.29","£124,490,919.22","£2,799,471.31","£6,239.11","£2,805,710.42","£127,296,629.64",Only CCL FTE avaialable. Headcount not collected
The Office of the Public Guardian,Executive Agency,Ministry of Justice,303,285.14,138,131.41,73,71.28,10,9.82,2,1.78,0,0.00,526,499.43,225,163.9964229,0,0.00,2,2.00,0,0.00,227,166.00,753,665.42,"£948,137.03","£14,856.59",£500.00,"£27,824.57","£165,039.33","£70,142.68","£1,226,500.20","£439,977.63",£0.00,"£439,977.63","£1,666,477.83",Shows Band E additions from last year's campaign with security clearance.
Legal Aid Agency (previously LSC - NDPB),Executive Agency,Ministry of Justice,717,679.45,368,348.08,381,366.12,83,82.06,13,13.00,0,0.00,"1,562","1,488.70",34,34,0,0.00,45,45.00,0,0.00,79,79.00,"1,641","1,567.70","£3,189,489.92","£48,294.62",(..),"£163,696.63","£601,259.49","£536,523.08","£4,539,263.74","£647,321.19",(..),"£647,321.19","£5,186,584.93",
Criminal Cases Review Commission,Executive Non-Departmental Public Body,Ministry of Justice,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,78,71.05,78,71.05,3,3.00,3,3.00,0,0.00,0,0.00,6,6.00,84,77.05,"£201,339.00",£57.00,(..),£747.00,"£35,391.00","£16,501.00","£254,035.00","£19,152.00",(..),"£19,152.00","£273,187.00","This data does not include Commissioners and Non-Executive Directors as they are office holders and not employees.
The Commission employees are not Civil Servants and therefore Civil Service grades are not applied to their roles."
Information Commissioner's Office,Executive Non-Departmental Public Body,Ministry of Justice,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,398,366.20,398,366.20,14,14.00,0,0.00,1,1.00,0,0.00,15,15.00,413,381.20,"£809,217.80","£1,335.49",(..),"£4,352.46","£145,811.14","£54,656.34","£1,015,373.23","£25,546.90",(..),"£25,546.90","£1,040,920.13",
Judicial Appointments Commission,Executive Non-Departmental Public Body,Ministry of Justice,15,14.54,16,14.94,24,23.69,12,10.95,3,3.00,1,0.40,71,67.52,6,6.00,0,0.00,0,0.00,0,0.00,6,6.00,77,73.52,"£181,599.91","£1,700.67","£1,400.00",(..),"£35,600.08","£15,692.43","£235,993.09","£12,341.57",(..),"£12,341.57","£248,334.66",
Legal Services Board,Executive Non-Departmental Public Body,Ministry of Justice,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,30,29.80,30,29.80,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,30,29.80,"£138,871.04",(..),(..),(..),"£27,517.48","£16,597.26","£182,985.78",(..),(..),£0.00,"£182,985.78","LSB staff are not civil servants, so do not enjoy civil service terms and conditions neither do they have a defined benefit pension provision"
Parole Board,Executive Non-Departmental Public Body,Ministry of Justice,18,16.9,46,44.7,17,16.6,3,3.00,2,1.40,0,0.00,86,82.60,9,9.00,0,0.00,0,0.00,0,0.00,9,9.00,95,91.60,"£223,230.30","£20,419.93",(..),"£1,266.61","£31,589.82","£14,392.10","£290,898.76","£33,962.56",(..),"£33,962.56","£324,861.32",
