Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)",,,
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,,
"Department for Business, Energy & Industrial Strategy (BEIS)",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",120,114.5,328,319.5,974,954.5,1168,1129.8,198,190.2,,,"2,788","2,708.50",8,8,,,52,56.3,,,60,64.30,"2,848","2,773",10530653.81,392518.66,36588.03,36346.81,2304931.93,1212720.33,"£14,513,759.57",428193.41,-636340.74,"-£208,147.33","£14,305,612.24",,,,
Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",62,55.60,237,216.00,481,442.90,38,35.00,3,3.00,1,0.60,822,753.10,7,7.00,0,0.00,0,0.00,4,4.00,11,11,833,764,"£2,156,385.15","£19,230.85",£0.00,"£18,182.46","£422,751.10","£212,879.72","£2,829,429.28","£41,409.20",£0.00,"£41,409.20","£2,870,838.48",,,,
Arts & Humanities Research Council (AHRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",7,6.49,35,33.90,66,61.68,14,14.00,1,1.00,0,0.00,123,117.07,3,3.00,0,0.00,2,2.00,0,0.00,5,5,128,122,"£324,797.69","£7,255.28",£400.00,£137.05,"£83,755.89","£32,507.18","£448,853.09","£32,588.78",£0.00,"£32,588.78","£481,441.87",,,,
Biotechnology & Biological Sciences Research Council (BBSRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",32,27.50,47,44.05,137,130.36,42,40.23,12,11.51,0,0.00,270,253.65,1,1.00,0,0.00,0,0.00,0,0.00,1,1,271,255,"£742,389.55",,"£4,850.00","£2,054.04","£191,895.10","£78,868.28",,"£2,627.83",£0.00,"£2,627.83",,,,,
Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)","1,121","1,102.73",298,289.22,129,128.30,19,18.81,5,5.00,0,0.00,"1,572","1,544.06",0,0.00,0,0.00,0,0.00,0,0.00,0,0,"1,572","1,544","£4,413,195.36","£195,037.62",£0.00,"£588,228.36","£838,118.68","£584,911.67","£6,619,491.69",£0.00,£0.00,£0.00,"£6,619,491.69",,,,
Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",17,16.60,22,20.90,126,125.10,44,44.00,3,3.00,0,0.00,212,209.60,3,3.00,0,0.00,12,11.50,0,0.00,15,15,227,224,"£642,867.97","£16,374.16","£6,447.01",£106.28,"£135,683.07","£70,522.09","£872,000.58","£122,691.50",£0.00,"£122,691.50","£994,692.08",Data is correct,,,
Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,1,1.00,5,5.00,15,14.83,5,4.88,0,0.00,26,25.71,0,0.00,0,0.00,0,0.00,0,0.00,0,0,26,26,"£146,618.35",£216.00,£0.00,£0.00,"£25,108.95","£18,663.27","£190,606.57",£0.00,£0.00,£0.00,"£190,606.57",,,,
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",449,393.00,249,236.00,164,159.00,37,36.00,4,3.00,0,0.00,903,827.00,3,3.00,0,0.00,0,0.00,18,18.00,21,21,924,848,"£1,844,964.10","£35,271.50",£0.00,"£64,785.81","£384,498.15","£181,318.48","£2,510,838.04","£5,405.40","£253,027.08","£258,432.48","£2,769,270.52",,,,
