,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other,Fast Streamers -BEIS paid,  unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,Grand Total,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,Total costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",105,100.51,411,401.63,1851,1820.32,2026,1968.80,274,261.88,90,64.88,4757,4618.02,9,9,0,0,34,28,8,2.26,51,39.26,"4,808","4,657.28","£17,124,055.48","£1,029,248.87","£307,909.00","£133,446.30","£4,788,511.16","£2,061,693.12","£25,444,863.93","£611,857.00","£8,242,962.00","£8,854,819.00","£34,299,682.93",,,
Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",48,41.47,323,303.90,550,510.28,51,47.02,6,6.00,0,0,978,908.67,25,25.00,6,6,0,,13,13.00,44,44.00,"1,022",952.67,"£2,404,818.73","£27,526.00","-£4,500.00","£16,822.93","£639,340.52","£239,035.73","£3,323,043.91",£0.00,£0.00,£0.00,"£3,323,043.91","In July 2020 the total staff cost was understated by £151,540.87",,
Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1385,1346.20,146,141.65,30,28.80,,,,,,,1561,1516.65,0,0.00,0,0,0,0.00,0,0.00,0,0.00,"1,561","1,516.65","£4,686,830.58","£122,823.25","£611,614.57","£434,986.91","£874,317.92","£661,967.69","£7,392,540.92",£0.00,£0.00,£0.00,"£7,392,540.92","Correction from data submitted for June 2020. Allowances £16,568. Non Consolidated £ 20440.05",,
Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",13,11.40,26,25.20,160,156.50,56,55.60,2,2.00,0,0,257,250.70,5,5.00,0,0,0,0.00,0,0.00,5,5.00,262,255.70,"£860,596.66","£16,395.36","£1,322.96",£903.04,"£228,288.24","£96,231.14","£1,203,737.40","£41,886.91",£0.00,"£41,886.91","£1,245,624.31",,,
Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1,1.00,1,1.00,9,8.50,19,5.61,6,5.30,0,0,36,21.41,0,0.00,0,0,0,0.00,0,0.00,0,0.00,36,21.41,"£139,892.00",£0.00,£0.00,£0.00,"£38,227.00","£17,578.00","£195,697.00",,,£0.00,"£195,697.00",,,
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",446,388.83,279,263.05,277,266.76,65,64.01,6,6.00,0,0,1073,988.65,6,6.00,0,0,35,35.00,0,0.00,41,41.00,"1,114","1,029.65","£2,393,945.38","£27,070.61",£0.00,"£22,241.46","£648,755.72","£228,172.29","£3,320,185.46","£13,890.74","£363,370.62","£377,261.36","£3,697,446.82",,,
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",5,5.00,2,2.00,3,2.72,7,7.00,0,0.00,1,1,18,17.72,0,0.00,0,0,0,0.00,2,2.00,2,2.00,20,19.72,"£72,950.71",£216.66,£0.00,£0.00,"£20,381.87","£8,278.75","£101,827.99",£0.00,"£2,650.00","£2,650.00","£104,477.99",,,
HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",1652,1566.84,2161,1873.13,1893,1690.30,255,237.57,21,20.92,0,0,5982,5388.76,0,0.00,27,27,0,0.00,0,0.00,27,27.00,"6,009","5,415.76","£21,413,844.19","£378,501.45","£825,526.00","£791,890.28","£5,752,347.55","£17,671,279.10","£46,833,388.57","£150,209.41","£17,000.92","£167,210.33","£47,000,598.90",,,
Insolvency Service,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",578,543.87,191,180.64,779,745.55,138,135.02,10,10.00,0,0,1696,1615.08,54,54.00,0,0,9,9.00,0,0.00,63,63.00,"1,759","1,678.08","£4,354,862.22","£15,965.60",£0.00,"£11,830.42","£1,187,694.20","£443,120.25","£6,013,472.69","£672,525.14",£0.00,"£672,525.14","£6,685,997.83",,,
