Organisation Name,,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Foreign and Commonwealth Office,Ministerial Department,Foreign and Commonwealth Office,441,428,616,602.9,1754,1737.9,1287,1267.3,423,416.4,,,4521,4452.5,33,33,,,28,27.4,4,3.8,65,64.2,4586,4516.7,13550129,887208,30453,236539,2872602,1330226,18907157,223004.1,154372.68,377376.78,19284533.78,
Wilton Park Executive Agency,Executive Agency,Foreign and Commonwealth Office,31,25.99,23,21.61,17,15.25,9,8.8,1,1,5,5,86,77.65,,,,,,,,,0,0,86,77.65,186424,5969,,80,38638,17925,249036,202,,202,249238,
British Council,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,36,35.27,200,195.09,817,797.66,325,322.57,84,83.61,,,1462,1434.2,170,160.21,64,62.4,,,,,234,222.61,1696,1656.81,4808423.64,1210114.93,1262.64,19513.76,1064396.7,431924.93,7535636.6,455929.86,,455929.86,7991566.46,
Great Britain - China Centre,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,7,6.75,2,2,1,1,,,10,9.75,,,,,,,,,0,0,10,9.75,34530.96,273.31,,,3367.83,3849.1,42021.2,,,0,42021.2,
Marshall Aid Commemoration Commission,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,0,,,0,0,
Westminster Foundation for Democracy,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,14,14,17,17,10,10,2,2,,,43,43,,,,,,,,,0,0,43,43,136310.27,,,,22604.92,15012.79,173927.98,,,0,173927.98,
FCO Services,Executive Agency,Foreign and Commonwealth Office,105,103.34,183,179.15,396,387.5,169,149.33,8,4.12,39,39,900,862.44,49,49,15,14.58,149,144.1,3,3,216,210.68,1116,1073.12,2416145.8,597584.95,26288,252503.48,504034.11,285084.29,4081640.63,1101989.45,0,1101989.45,5183630.08,
