Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,308,287.53,532,517.45,1073,1049.25,1644,1614.32,391,380.47,2275,2265.00,"6,223","6,114",10,10,70,56.2,124,117.9,0,0,204,184.1,"6,427","6,298","£21,837,228.30","£722,095.89","£78,274.56","£148,945.02","£4,540,210.82","£2,566,500.82","£29,893,255.41","£3,882,217.00",£0.00,"£3,882,217.00","£33,775,472.41"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.56,3,3.00,6,5.80,5,4.80,0,0.00,1,1.00,16,15,0,0,0,0,0,0,0,0,0,0,16,15,"£52,710.88",£166.67,£0.00,£252.60,"£11,691.12","£5,781.94","£70,603.21",£0.00,£0.00,£0.00,"£70,603.21"
Crown Commercial Services,Executive Agency,Cabinet Office,20,19.07,94,89.26,297,287.31,189,184.64,20,19.97,0,0.00,620,600,38,38,0,0,0,0,0,0,38,38,658,638,"£1,880,668.96","£51,818.77","£2,500.00",£585.92,"£392,824.93","£207,030.31","£2,535,428.89","£467,259.53","£194,830.90","£662,090.43","£3,197,519.32"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,80,75.00,455,421.00,246,232.00,71,70.00,17,17.00,0,0.00,869,815,4,4,0,0,7,2.5,0,0,11,6.5,880,822,"£2,093,356.41","£42,167.80","£6,098.15","£7,937.82","£430,272.60","£211,384.15","£2,791,216.93","£33,377.25",£0.00,"£33,377.25","£2,824,594.18"
Government Property Agency,Executive Agency,Cabinet Office,1,1.00,18,17.44,29,28.28,49,48.39,8,8.00,0,0.00,105,103,0,0,0,0,6,6,0,0,6,6,111,109,"£382,096.00","£19,511.00",£383.00,£157.00,"£86,881.00","£44,356.00","£533,384.00","£88,711.00",£0.00,"£88,711.00","£622,095.00"
