Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,143,139.1147222,369,358.77,550,538.2093056,814,798.3551111,234,228.7652778,168,163.0022222,"2,278","2,226",3,3,177,177,22,19.9,5,4.5,207,204.4,"2,485","2,431","£8,112,321.10","£408,861.36","£27,750.00","£88,614.55","£1,846,200.78","£980,356.46","£11,464,104.25","£499,847.27","£67,121.00","£566,968.27","£12,031,072.52"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,2,1.555555556,3,3,5,4.8,4,4,1,1,0,0,15,14.35555556,0,0,0,0,0,0,0,0,0,0,15,14.35555556,"£46,668.02",£736.08,£0.00,£0.00,"£10,190.57","£5,449.34","£63,044.01",£0.00,£0.00,£0.00,"£63,044.01"
Crown Commercial Services,Executive Agency,Cabinet Office,27,24.75,112,107.47,321,311.84,186,181.77,62,59.63,0,0,708,685.46,1,1,51,50,0,0,0,0,52,51,760,736.46,"£2,548,268.59","£6,100.17",£0.00,£484.35,"£528,054.40","£285,850.06","£3,368,757.57","£376,225.31",£0.00,"£376,225.31","£3,744,982.88"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,97,92,461,421,255,239,71,69,17,17,0,0,901,838,9,9,0,0,3,1,0,0,12,10,913,848,"£1,984,263.82","£29,763.87",£0.00,"£13,139.78","£404,852.75","£198,048.81","£2,630,069.03","£54,834.88",£0.00,"£54,834.88","£2,684,903.91"
