Year,Month,Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)"
,,,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,
,,,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,
2022,March,Department for Transport ,Ministerial Department,Department for Transport,144,127.26,361,352.54,1496,1470.83,1441,1410.65,224,215.87,0,0,"3,666","3,577",23,23,0,0,25,25,0,0,48,48,"3,714","3,625","£14,060,036.80","£169,597.45","£1,558,782.49","£107,708.49","£3,947,618.61","£1,797,830.16","£21,641,574.00","£529,709.31","£1,200,506.03","£1,730,215.34","£23,371,789.34",,
2022,March,Driver and Vehicle Licensing Agency,Executive Agency,Department for Transport,4162,3539.93,947,887.94,986,951.46,289,277.24,8,7.61,0,0,"6,392","5,664",0,0,0,0,11,9.35,0,0,11,9.35,"6,403","5,674","£12,220,063.00","£487,227.00","£2,163,414.00","£342,779.00","£3,274,231.00","£1,627,582.00","£20,115,296.00","£227,567.00","£93,599.00","£321,166.00","£20,436,462.00",,
2022,March,Driver and Vehicle Standards Agency,Executive Agency,Department for Transport,1113,1036.99,2682,2504.85,1002,977.9,131,130.33,9,8.75,0,0,"4,937","4,659",56,56,16,16,10,10,0,0,82,82,"5,019","4,741","£11,283,690.30","£709,498.78","£219,029.00","£355,171.14","£2,984,219.75","£1,251,719.00","£16,803,327.97","£478,033.76","£403,866.41","£881,900.17","£17,685,228.14",,
2022,March,Maritime and Coastguard Agency,Executive Agency,Department for Transport,284,267.51,233,226.76,548,536.41,170,164.72,6,5.65,0,0,"1,241","1,201",14,14,0,0,0,0,0,0,14,14,"1,255","1,215","£3,441,185.87","£340,270.55","£84,300.00","£86,665.43","£941,285.10","£418,466.19","£5,312,173.14","£281,656.64",£0.00,"£281,656.64","£5,593,829.78",,
2022,March,Vehicle Certification Agency,Executive Agency,Department for Transport,45.22,47.85,39.41,42,77,75.12,24,24,23,23,0,0,209,212,5,5,0,0,0,0,0,0,5,5,214,217,"£610,267.00","£21,927.00","£1,600.00","£8,600.00","£156,683.00","£65,739.00","£864,816.00","£19,610.34",£0.00,"£19,610.34","£884,426.34",,
2022,March,British Transport Police Authority,Executive Non-Departmental Public Body,Department for Transport,0,0,0,0,4,4,7,5.81,4,4,0,0,15,14,0,0,0,0,0,0,0,0,0,0,15,14,"£136,006.00","£6,339.00",£0.00,£0.00,"£21,356.00","£15,388.00","£179,089.00",£0.00,"£20,045.00","£20,045.00","£199,134.00",,
2022,March,High Speed 2,Executive Non-Departmental Public Body,Department for Transport,93,92.69,90,87.6,498,500.67,792,810.91,281,283.31,32,0,"1,786","1,775",90,90,61,61,190,189.8,0,0,341,340.8,"2,127","2,116","£10,436,109.41",£0.00,£0.00,£0.00,"£1,107,852.35","£1,138,115.37","£12,682,077.13","£2,093,644.25",£0.00,"£2,093,644.25","£14,775,721.38",,
2022,March,Northern Lighthouse Board,Executive Non-Departmental Public Body,Department for Transport,22,5.96,16,14.8,71,70.2,18,18,3,3,73,67.7,203,180,11,5.81,0,0,0,0,0,0,11,5.81,214,185,"£651,923.55","£9,498.22",£0.00,"£21,618.93","£181,227.59","£77,385.68","£941,653.97","£74,271.96",£0.00,"£74,271.96","£1,015,925.93",,
