Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)",,,
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,,
"Department for Business, Energy & Industrial Strategy (BEIS)",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",172,165.9,317,310.5,995,971.87571,1208,1169.93654,186,179.9,,,2878,2798.11225,10,10,,,37,36.1,,,47,46,"2,787","2,707","£14,404,551.10","£455,377.44","£90,974.85","£44,864.25","£3,042,385.94","£1,728,176.73","£19,766,330.31","£216,638.97","-£22,532.40","£194,106.57","£19,960,436.88",,,,
Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",62,55.60,247,226.20,474,436.00,40,37.00,3,3.00,1,0.60,827,758.40,7,7.00,0,0.00,0,0.00,0,0.00,7,7,834,765,"£2,156,972.07","£20,304.37",£0.00,"£14,177.64","£419,599.50","£205,998.11","£2,817,051.69","£151,532.18",£0.00,"£151,532.18","£2,968,583.87",,,,
Arts & Humanities Research Council (AHRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",9,8.49,34,32.90,74,69.95,16,15.61,1,1.00,0,0.00,134,127.95,2,2.00,0,0.00,1,1.00,0,0.00,3,3,137,131,"£349,840.49","£6,481.16","£14,650.00",£393.80,"£88,948.31","£37,272.40","£497,586.16","£29,483.01",£0.00,"£29,483.01","£527,069.17",,,,
Biotechnology & Biological Sciences Research Council (BBSRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",34,29.64,48,45.05,142,134.96,42,40.23,11,10.51,0,0.00,277,260.39,2,2.00,0,0.00,0,0.00,0,0.00,2,2,279,262,"£773,256.13","£23,659.00","£2,550.00","£1,043.79","£199,286.66","£79,203.77","£1,078,999.35","£3,759.00",£0.00,"£3,759.00","£1,082,758.35",,,,
Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)","1,118","1,099.54",295,285.46,131,130.30,21,20.81,5,5.00,0,0.00,"1,570","1,541.11",0,0.00,0,0.00,0,0.00,0,0.00,0,0,"1,570","1,541","£4,344,183.48","£207,609.45","£26,785.95","£490,793.47","£825,700.65","£587,309.96","£6,482,382.96",£0.00,£0.00,£0.00,"£6,482,382.96",,,,
Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",17,16.60,21,19.90,134,133.10,47,46.50,3,3.00,0,0.00,222,219.10,3,3.00,0,0.00,10,9.80,0,0.00,13,13,235,232,"£681,236.58","£11,919.58",£0.00,£87.29,"£145,976.47","£74,835.26","£914,055.18","£99,814.96",£0.00,"£99,814.96","£1,013,870.14",Figures are correct.,,,
Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,1,1.00,7,6.81,15,14.83,5,4.30,0,0.00,28,26.94,0,0.00,0,0.00,0,0.00,0,0.00,0,0,28,27,"£112,037.46",£216.00,£0.00,£0.00,"£24,115.96","£17,199.16","£153,568.58",£0.00,£0.00,£0.00,"£153,568.58",,,,
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",458,402.30,253,240.10,169,162.92,38,36.81,4,3.25,0,0.00,922,845.38,4,4.00,0,0.00,0,0.00,17,17.00,21,21,943,866,"£1,876,074.29","£29,731.38","£45,598.76","£41,662.12","£390,674.58","£185,450.55","£2,569,191.68","£8,750.16","£162,474.81","£171,224.97","£2,740,416.65",,,,
