Organisation Name,,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Foreign and Commonwealth Office,Ministerial Department,Foreign and Commonwealth Office,405,393,598,586.5,1778,1761.9,1339,1318.2,416,409.7,,,4536,4469.3,37,37,,,29,28.4,6,5.8,72,71.2,4608,4540.5,12566702.21,857398.89,30292.91,,2888888.08,1252458.49,17595740.58,324632.49,14444.87,339077.36,17934817.94,
Wilton Park Executive Agency,Executive Agency,Foreign and Commonwealth Office,32,28.34,24,22.42,17,15.04,12,11.8,1,1,5,5,91,83.6,,,,,,,,,0,0,91,83.6,193013,9476,,1110,40971,19169,263739,1476,,1476,265215,
British Council,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,18,17.67,188,183.49,765,748.09,317,315.99,90,90,,,1378,1355.24,358,276.51,63,66.32,,,,,421,342.83,1799,1698.07,4478668.35,997653.59,,23361.48,988666.57,409634.21,6897984.2,685449.86,,685449.86,7583434.06,
Great Britain - China Centre,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,6.5,6,2,2,1,1,,,9.5,9,,,,,,,,,0,0,9.5,9,31895.93,,,,2453.37,3310.17,37659.47,,,0,37659.47,
Marshall Aid Commemoration Commission,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,0,,,0,0,
Westminster Foundation for Democracy,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,12,12,13,13,14,14,2,2,,,41,41,,,,,,,,,0,0,41,41,143706.74,,,,23956.7,15308.29,182971.73,,,0,182971.73,
FCO Services,Executive Agency,Foreign and Commonwealth Office,102,99.97,186,182.04,389,381.55,180,159.93,6,4.02,38,38,901,865.51,50,50,8,8,168,163.9,4,4,230,225.9,1131,1091.41,2421733.85,545347.25,17085,276133.88,502934.48,290646.01,4053880.47,1743145.24,,1743145.24,5797025.71,
