Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,338,315.53,583,565.43,1275,1249.41,2096,2055.24,369,361.44,2759,2745.29,"7,420","7,292",49,47,335,333.87,128,119.78,512,500.65,"7,932","7,793","£26,667,069.04","£887,562.26","£414,101.04","£143,493.88","£6,971,270.75","£3,150,497.24","£38,233,994.21","£9,954,918.57","£48,188,912.78"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.6,5,5,6,5.8,6,5.93,0,0,1,1,19,18,0,0,0,0,0,0,0,0,19,18,"£61,275.82",£466.08,£64.00,£0.00,"£17,200.56","£6,643.98","£85,650.44",£0.00,"£85,650.44"
Crown Commercial Services,Executive Agency,Cabinet Office,25,25,98,91,334,320,149,142,21,20,0,0,627,598,44,43.6,0,0,0,0,44,43.6,671,642,"£1,871,709.13","£41,730.62","£15,000.00",£148.81,"£500,473.40","£204,250.93","£2,633,312.89","£369,056.92","£3,002,369.81"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,68,63,461,427,243,231,71,69,18,18,0,0,861,808,5,5,0,0,8,5,13,10,874,818,"£2,132,598.11","£61,752.33",£0.00,"£11,581.39","£571,231.74","£218,932.87","£2,996,096.44","£76,932.18","£3,073,028.62"
Government Property Agency,Executive Agency,Cabinet Office,3,2.43,20,19.29,48,47.06,65,64.24,12,12,0,0,148,145,0,0,0,0,7,7,7,7,155,152,"£542,939.00","£15,613.00","£1,822.00",£289.00,"£153,319.00","£62,582.00","£776,564.00","£168,141.69","£944,705.69"
Equality & Human Rights Commission,Executive Non-Departmental Public Body,Cabinet Office,0,0,16,15.6,106,101.9,64,60.3,12,11.2,0,0,198,189,2,2,2,2,0,0,4,4,202,193,"£659,284.00","£13,746.00",£0.00,"£2,107.00","£182,809.00","£72,465.00","£930,411.00","£31,832.00","£962,243.00"
