Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Ministry of Defence,Ministerial Department,Ministry of Defence,10113,9661.383784,5561,5430.144595,8231,8069.46027,1391,1369.216216,181,179.2621622,11758,11422,37235,36131.46703,66,65,268,266,177,176.3513514,39,39,2950,2823.513514,40185,38954.98054,"£94,204,000.00",£0.00,£0.00,"£2,870,000.00","£18,056,000.00","£7,637,000.00",122767000,"£5,815,000.00","£3,885,000.00","£9,700,000","£132,467,000",
Defence Equipment and Support,Ministerial Department,Ministry of Defence,793,749.1516216,1420,1378.472432,5256,5133.772432,1151,1138.608919,96,94.80567568,1131,1125,9847,9619.811081,21,21,247,246,6,6,0,0,1461,1452.054054,11308,11071.86514,"£29,278,000.00",£0.00,£0.00,"£695,000.00","£5,780,000.00","£2,306,000.00",38059000,"£3,488,000.00","£3,318,000.00","£6,806,000","£44,865,000",
Defence Science and Technology Laboratory,Executive Agency,Ministry of Defence,170,164.55,215,206.85,1716,1648.2,1573,1495.72,35,31.22,0,0,3709,3546.54,0,0,0,0,153,143,0,0,153,143,3862,3689.54,"£11,172,693.89","£97,617.91","£1,219.00","£424,466.00","£2,396,334.00","£1,004,127.43","£15,096,458","£1,107,723.94",£0.00,"£1,107,724","£16,204,182",
UK Hydrographic Office,Executive Non-Departmental Public Body,Ministry of Defence,140,137.81,301,283.88,440,426.12,58,57.7,3,3,0,0,942,908.51,19,19,0,0,57,56.2,0,0,76,75.2,1018,983.71,"£2,357,504","£55,759","£4,150","£66,297","£500,008","£190,375","£3,174,093","£547,076.00",£0.00,"£547,076","£3,721,169",
Royal Air Force Museum,Executive Non-Departmental Public Body,Ministry of Defence,0,0,0,0,0,0,0,0,0,0,176,167,176,167,3,3,0,0,0,0,0,0,3,3,179,170,356078,6009,0,7403,19025,32806,421321,10204,0,"£10,204","£431,525",
National Army Museum,Executive Non-Departmental Public Body,Ministry of Defence,0,0,0,0,3,3,3,3,1,1,30,28.27,37,35.27,0,0,0,0,0,0,2,1.32,2,1.32,39,36.59,109769.11,8303.97,0,0,25386.71,9406.76,"£152,867",0,0,£0,"£152,867",
National Museum of the Royal Navy,OTHER,Ministry of Defence,176,86.51,59,54.94,37,36.2,0,0,4,4,0,0,276,181.65,0,0,0,0,0,0,0,0,0,0,276,181.65,"£390,098.03",£0.00,£0.00,£0.00,"£28,838.72","£30,211.17",449147.92,£0.00,"£7,948.13","£7,948","£457,096",
Defence Electronics and Components Agency,Executive Agency,Ministry of Defence,76,73.310813,309,300.662162,39,39,12,12,1,1,0,0,437,425.972975,4,4,0,0,0,0,0,0,4,4,441,429.972975,"£967,246.30","£27,567.07",£0.00,"£35,364.28","£207,974.72","£75,202.97",1313355.34,"£9,754.75",£0.00,"£9,755","£1,323,110",
