Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,(£),,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs (£),,,Grand Total paybill/staffing (payroll and non-payroll) costs (£),Comments and notes
Science & Technology Facilities Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",131,125,257,245,988,969,333,323,29,27,52,44,"1,790","1,733",11,10,1,1,8,8,,,20,19,"1,810","1,752","£5,815,066.00","£175,223.00",£404.00,"£149,440.00","£1,387,301.00","£534,003.00","8,061,437.00","£100,000.00",,"100,000.00","8,161,437.00",
Skills Funding Agency ,Executive Agency,"Department for Business, Innovation & Skills",95,90.59,413,398.8,567,553.41,166,164.93,44,43.45,1,0.95,"1,286","1,252",5,5,0,0,81,81,1,1,87,87,"1,373","1,339","£4,265,324.59","£124,417.16",£530.00,£699.52,"£863,613.14","£393,367.75","5,647,952.16","£802,445.00",£0.00,"802,445.00","6,450,397.16",
Student Loans Company Ltd,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",1713,1600.16,684,655.98,104,101.1,13,13,8,8,7,0.96,"2,529","2,379",137,137,,,44,44,,,181,181,"2,710","2,560","£4,298,837.70","£164,610.67","£6,469.75","£230,301.04","£326,717.47","£355,904.13","5,382,840.76","£1,255,655.29",£0.00,"1,255,655.29","6,638,496.05",
Technology Strategy Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",,,50,50,27,27,103,103,6,6,2,2,188,188,12,12,,,,,,,12,12,200,200,"£747,180.51","£111,009.92",,,"£183,464.37","£96,753.27","1,138,408.07","£196,504.00",,"196,504.00","1,334,912.07",
UK Commission for Employment & Skills,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",27,27,15,14.6,55,52.9,7,7,6,6,,,110,108,,,,,3,2.2,2,2,5,4.2,115,112,"£330,834.07",,,,"£59,916.23","£28,270.77","419,021.07",,,0,"419,021.07",
UK Intellectual Property Office,Executive Agency,"Department for Business, Innovation & Skills",231,205.67,246,233.37,276,269.56,235,221.63,25,25,,,"1,013",955,24,24,,,29,29,,,53,53,"1,066","1,008","£2,781,038.00","£108,734.00","£24,115.00","£58,578.00","£535,490.00","£252,952.00","3,760,907.00","£323,279.00","£12,017.56","335,296.56","4,096,203.56",
UK Space Agency,Executive Agency,"Department for Business, Innovation & Skills",,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,0,,,0,0,
United Kingdom Atomic Energy Authority,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",57,53.98,88,87.02,334,330.16,116,114.52,10,9.6,18,18,623,613,5,5,0,0,405,405,0,0,410,410,"1,033","1,023","£2,116,568.00",£0.00,"£58,351.00","£83,783.00","£321,561.00","£207,895.00","2,788,158.00","£1,782,141.00",£0.00,"1,782,141.00","4,570,299.00",Allowances are included within Salary Costs. Performance Payments are accrued through the year for payment once a year.
Ordnance Survey ,Non-Ministerial Department,"Department for Business, Innovation & Skills",34,29.78,555,542.69,457,447.11,131,128.68,5,4.6,3,0.73,"1,185","1,154",55,55,2,2,64,64,,,121,121,"1,306","1,275","£3,089,902.00","£80,692.00","£92,811.00","£16,709.00","£604,848.00","£266,022.00","4,150,984.00","£778,515.47",,"778,515.47","4,929,499.47",
Met Office,Non-Ministerial Department,"Department for Business, Innovation & Skills",,,,,,,,,2,2,2031,1954,"2,033","1,956",56,56,,,8,8,,,64,64,"2,097","2,020","£6,243,148.00","£336,907.00",£0.00,"£192,082.00","£1,266,376.00","£569,504.00","8,608,017.00","£59,000.00",,"59,000.00","8,667,017.00",
