Year,Month,Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: Published alongside your row of information)"
,,,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, unspecified",,"Total
Employees",,Agency staff ,,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
2021,September,"Department for Environment, Food and Rural Affairs",Ministerial Department,"Department for Environment, Food and Rural Affairs",191,174.99,664,640.62,2984,2885.64,1990,1923.63,195,188.37,45,45,"6,069",5858.25,35,35,14,14,435,434.5,26,25.5,510,509,"6,579",6367.25,"£24,425,423.00","£47,267.00","£1,956,172.00","£68,417.00","£5,545,939.00","£2,568,641.00","£34,611,859.00","£7,044,239.19","£1,429,158.86","£8,473,398.05","£43,085,257.05","Following the recent introduction of a new recruitment system, DEFRA are currently undertaking an exercise to review the methodology used for collecting and reporting contingent labour data. It is anticipated that the new methodology will provide a more accurate reflection of the contingent labour workforce. Once scoping is complete, users will be made aware of the methodological change and any impact on the data reported. "
2021,September,Animal and Plant Health Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",816,761.47,777,732.61,877,835.71,192,186.96,4,4,0,0,"2,666",2520.75,105,105,22,22,0,0,0,0,127,127,"2,793",2647.75,"£6,363,855.35","£89,848.03","£732,821.30","£78,498.83","£1,740,770.65","£728,947.34","£9,734,741.50","£382,373.56",£0.00,"£382,373.56","£10,117,115.06",
2021,September,"Centre for Environment, Fisheries and Aquaculture Science",Executive Agency,"Department for Environment, Food and Rural Affairs",59,53.98,131,120.57,327,308.55,111,105.55,4,4,0,0,632,592.65,0,0,0,0,0,0,0,0,0,0,632,592.65,"£1,681,056.00","£10,132.00",£0.00,"£34,490.00","£457,803.00","£182,078.00","£2,365,559.00",£0.00,£0.00,£0.00,"£2,365,559.00",
2021,September,Rural Payments Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",1210,1101.9,571,520.32,469,435.78,101,97.86,7,6.46,0,0,"2,358",2162.32,94,90.28,0,0,5,5,0,0,99,95.28,"2,457",2257.6,"£4,732,295.58","£3,707.79","£549,482.00","£87,687.76","£1,245,545.33","£499,862.58","£7,118,581.04","£266,846.83",£0.00,"£266,846.83","£7,385,427.87",
2021,September,Veterinary Medicines Directorate,Executive Agency,"Department for Environment, Food and Rural Affairs",27,26.24,25,24.58,53,51.27,62,61.36,1,1,0,0,168,164.45,11,10.4,0,0,0,0,0,0,11,10.4,179,174.85,"£624,091.00","£15,331.00",£0.00,"£3,434.93","£156,510.00","£75,978.35","£875,345.28","£64,311.00",£0.00,"£64,311.00","£939,656.28",
2021,September,Agriculture and Horticulture Development Board,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",0,0,0,0,0,0,0,0,0,0,445,428,445,428,0,0,0,0,0,0,2,2,2,2,447,430,"£1,436,267.31","£72,330.09",£0.00,£0.00,"£133,353.94","£166,565.81","£1,808,517.15",£0.00,"£2,813.00","£2,813.00","£1,811,330.15",AHDB is funded through a levy paid by farmers and others in the agricultural supply chain. No funding towards staffing or other running costs is received from the government. 
2021,September,Consumer Council for Water,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",8,7.43,25,24.07,25,23.99,11,10.81,5,4.81,0,0,74,71.11,9,9,0,0,0,0,0,0,9,9,83,80.11,"£215,433.90","£2,007.48",£0.00,"£1,642.79","£56,763.13","£22,649.83","£298,497.13","£28,043.08",£0.00,"£28,043.08","£326,540.21",
2021,September,Environment Agency,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",1478,1382.45,2617,2469.6,3311,3116.65,2271,2159.01,99,98.54,816,802.88,"10,592",10029.13,278,271.58,31,29.2,4,3.6,271,232.13,584,536.51,"11,176",10565.64,"£29,117,805.85","£282,542.66",-£421.47,"£941,592.27","£4,355,631.67","£3,108,405.24","£37,805,556.22","£561,177.10","£3,039,362.34","£3,600,539.44","£41,406,095.66",
2021,September,Joint Nature Conservation Committee,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",9,9,32,31.6,176,168.1,30,28.6,2,2,7,0.99,256,240.29,3,3,0,0,2,2,0,0,5,5,261,245.29,"£635,764.43","£15,790.51",£0.00,"£3,115.48","£174,758.14","£65,533.96","£894,962.52","£17,792.42",£0.00,"£17,792.42","£912,754.94",
2021,September,Marine Management Organisation,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",29,24.76,130,127.06,168,161.55,64,64,5,4,0,0,396,381.37,17,16.5,19,18.6,12,11.4,0,0,48,46.5,444,427.87,"£1,078,054.00",£0.00,£0.00,"£28,281.00","£282,239.36","£117,691.00","£1,506,265.36","£165,592.00",£0.00,"£165,592.00","£1,671,857.36",
2021,September,National Forest Company,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",0,0,4,3.31,26,25.02,4,4,1,1,0,0,35,33.33,0,0,0,0,0,0,0,0,0,0,35,33.33,"£97,090.00",£0.00,£0.00,£114.00,"£26,273.00","£9,846.00","£133,323.00",£0.00,£0.00,£0.00,"£133,323.00",
2021,September,Natural England,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",134,123.92,299,285.77,1620,1507.22,223,213.58,19,18.9,11,10.65,"2,306",2160.04,36,35.61,0,0,0,0,0,0,36,35.61,"2,342",2195.65,"£5,728,906.67","£51,252.69","£746,166.00","£25,610.09","£1,545,749.96","£663,938.17","£8,761,623.58","£100,000.00",£0.00,"£100,000.00","£8,861,623.58",
2021,September,"Royal Botanic Gardens, Kew",Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",292,211.83,205,154.03,251,241.52,82,80.21,8,8,72,71.83,910,767.42,0,0,2,2,15,15,1,1,18,18,928,785.42,"£2,154,048.76","£45,371.39",£0.00,"£36,096.41","£481,414.55","£219,585.63","£2,936,516.74","£250,478.10","£9,122.55","£259,600.65","£3,196,117.39",
2021,September,Sea Fish Industry Authority,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",29,28.26,30,30,17,17,3,3,1,1,0,0,80,79.26,0,0,0,0,0,0,0,0,0,0,80,79.26,"£263,812.06","£6,124.04",£0.00,£0.00,"£36,364.75","£28,212.83","£334,513.68",£0.00,£0.00,£0.00,"£334,513.68",
