Year,Month,Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs
,,,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, unspecified",,"Total
Employees",,Agency staff ,,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,
,,,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,
2021,December,"Department for Environment, Food and Rural Affairs",Ministerial Department,"Department for Environment, Food and Rural Affairs",183,167.38,652,630.7,3142,3035.47,2085,2011.78,191,184.36,43,43,"6,296","6,073",48,48,424,424,342,342,23,22.5,837,836.5,"7,133","6,909","£26,815,903.00","£68,431.00","£231,098.00","£105,383.00","£5,766,864.00","£2,427,175.00","£35,414,854.00","£10,891,934.17","£2,941,305.77","£13,833,239.94","£49,248,093.94"
2021,December,Animal and Plant Health Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",843,787.08,788,748.83,892,851.4,217,210.89,4,4,0,0,"2,744","2,602",100,100,21,21,0,0,0,0,121,121,"2,865","2,723","£6,602,366.45","£94,931.69","£56,402.37","£426,131.84","£1,824,803.14","£709,058.83","£9,713,694.32","£442,052.00",£0.00,"£442,052.00","£10,155,746.32"
2021,December,"Centre for Environment, Fisheries and Aquaculture Science",Executive Agency,"Department for Environment, Food and Rural Affairs",50,45.56,137,127.64,330,313.4,113,107.16,4,4,0,0,634,598,0,0,0,0,0,0,0,0,0,0,634,598,"£1,700,036.00","£6,668.00",£0.00,"£60,639.00","£468,810.00","£195,883.00","£2,432,036.00",£0.00,£0.00,£0.00,"£2,432,036.00"
2021,December,Rural Payments Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",1242,1129.51,600,549.68,100,96.58,480,446.34,7,6.46,0,0,"2,429","2,229",78,73.89,0,0,6,6,0,0,84,79.89,"2,513","2,308","£4,909,744.91","£3,894.28","£8,388.00","£114,660.92","£1,301,526.72","£444,195.94","£6,782,410.77","£226,025.52",£0.00,"£226,025.52","£7,008,436.29"
2021,December,Veterinary Medicines Directorate,Executive Agency,"Department for Environment, Food and Rural Affairs",25,23.97,24,23.58,57,55.43,59,58.36,1,1,0,0,166,162,13,12.4,0,0,0,0,0,0,13,12.4,179,175,"£550,575.00","£22,320.00",£0.00,£874.00,"£152,892.00","£67,441.00","£794,102.00","£61,720.00",£0.00,"£61,720.00","£855,822.00"
2021,December,Agriculture and Horticulture Development Board,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",0,0,0,0,0,0,0,0,0,0,412,395.23,412,395,0,0,0,0,0,0,0,0,0,0,412,395,"£1,349,748.54","£71,567.07",£0.00,£0.00,"£129,783.75","£158,083.50","£1,709,182.86",£0.00,£0.00,£0.00,"£1,709,182.86"
2021,December,Consumer Council for Water,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",9,8.21,24,23.07,25,23.99,11,10.81,5,4.81,0,0,74,71,5,5,0,0,0,0,0,0,5,5,79,76,"£214,529.95","£1,733.19",£0.00,£839.17,"£56,079.20","£22,430.15","£295,611.66","£21,537.30",£0.00,"£21,537.30","£317,148.96"
2021,December,Environment Agency,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",1426,1333.01,2593,2450.95,3368,3176.57,2389,2274.18,101,100.54,808,793.8,"10,685","10,129",284,274.65,42,39.81,7,4.95,307,265.09,640,584.5,"11,325","10,714","£29,762,387.57","£289,346.97","£10,509.70","£1,068,087.28","£4,467,986.28","£3,210,237.58","£38,808,555.38","£587,064.35","£4,745,311.06","£5,332,375.41","£44,140,930.79"
2021,December,Joint Nature Conservation Committee,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",9,9,35,34.6,184,176.36,29,27.62,2,2,7,0.99,266,251,1,1,0,0,1,1,2,2,4,4,270,255,"£672,568.98","£16,915.71",£300.00,"£2,248.00","£186,469.73","£68,955.82","£947,458.24","£10,567.08","£16,450.80","£27,017.88","£974,476.12"
2021,December,Marine Management Organisation,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",40,34.97,156,151.69,144,139.64,62,61.08,6,5.19,1,1,409,394,18,17.5,15,14.6,18,16.9,0,0,51,49,460,443,"£1,058,608.52",£0.00,£0.00,"£52,883.00","£290,123.00","£119,280.00","£1,520,894.52","£581,957.00",£0.00,"£581,957.00","£2,102,851.52"
2021,December,National Forest Company,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",0,0,4,3.31,24,23.4,4,4,1,1,0,0,33,32,0,0,0,0,0,0,0,0,0,0,33,32,"£94,709.00",£0.00,£0.00,"£1,601.00","£25,863.00","£9,926.00","£132,099.00",£0.00,£0.00,£0.00,"£132,099.00"
2021,December,Natural England,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",143,129.4,373,353.56,1668,1556.52,230,220.12,21,20.5,11,10.65,"2,446","2,291",65,65,0,0,0,0,0,0,65,65,"2,511","2,356","£6,059,977.88","£51,057.18","£27,250.00","£23,200.56","£1,641,551.24","£597,940.40","£8,400,977.26","£175,000.00",£0.00,"£175,000.00","£8,575,977.26"
2021,December,"Royal Botanic Gardens, Kew",Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",278,201.62,204,154.31,267,255.89,84,82.04,8,8,64,63.28,905,765,0,0,2,2,15,15,1,1,18,18,923,783,"£2,181,179.51","£15,709.49",£0.00,"£24,726.71","£480,664.91","£222,302.74","£2,924,583.36","£277,411.09","£18,039.14","£295,450.23","£3,220,033.59"
2021,December,Sea Fish Industry Authority,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",27,26.06,32,31.7,15,15,5,5,1,1,0,0,80,79,1,1,0,0,0,0,0,0,1,1,81,80,"£277,188.69","£5,467.88",£0.00,£0.00,"£36,699.16","£29,914.68","£349,270.41","£9,900.00",£0.00,"£9,900.00","£359,170.41"
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00
