Organisation Name,,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Foreign and Commonwealth Office,Ministerial Department,Foreign and Commonwealth Office,418,406.98,666,654.41,2186,2166.89,1611,1587.04,444,439.43,0,0,5325,5254.75,53,52.82,0,0,32,31.29,6,5.78,91,89.89,5416,5344.64,17656498.01,1148997.59,52361.19,137486.53,4684092.87,1724925.36,25404361.55,679648.08,333431.42,1013079.5,26417441.05,
Wilton Park Executive Agency,Executive Agency,Foreign and Commonwealth Office,33,29.75,27,25.13,19,17.22,12,11.51,1,1,,,92,84.61,,,,,,,,,0,0,92,84.61,220048.9,9334.04,,1230.77,62742.47,22721.1,316077.28,,,0,316077.28,
British Council,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,16,15.05,168,162.69,780,751.12,317,309.19,99,97.99,,,1380,1336.04,101,86.2,69,67.91,,,,,170,154.11,1550,1490.15,4709087.98,1061320.03,1012.83,26275.89,1330158.09,430256.6,7558111.42,773489,,773489,8331600.42,
Great Britain - China Centre,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,7,6,2,1.13,1,1,,,10,8.13,,,,,,,,,0,0,10,8.13,29134.78,,11400,,1709.7,4520.32,46764.8,,,0,46764.8,
Marshall Aid Commemoration Commission,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,0,,,0,0,
Westminster Foundation for Democracy,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,8,8,21,21,17,17,2,2,,,48,48,1,1,,,,,,,1,1,49,49,189521.68,,,,40821.83,17985.04,248328.55,3557.61,,3557.61,251886.16,
FCO Services,Executive Agency,Foreign and Commonwealth Office,129,127.47,215,209.81,422,414.14,213,195.05,6,6,66,66,1051,1018.47,22,22,3,3,149,143.3,5,5,179,173.3,1230,1191.77,3072162.21,796948.28,32937,349964.4,831492.01,378583.87,5462087.77,1338217.13,,1338217.13,6800304.9,
