Organisation Name,,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Foreign and Commonwealth Office,Ministerial Department,Foreign and Commonwealth Office,468,455.9,635,623.5,2034,2016.9,1496,1472.5,436,430.6,,,5069,4999.4,55,54.8,,,34,33.4,6,5.8,95,94,5164,5093.4,15145904.81,1046134.79,-991975.14,126422.77,4211989.09,1427986.6,20966462.92,539310.59,219850.03,759160.62,21725623.54,"The -£997,650 relates to an accrual for FY 18/19 SMS bonuses.  The FCO will award the bonuses this year to the SMS for their work in FY 18/19.  The estimated costs have therefore been transferred back to last FY in the end-of-year accounting exercise to recognise the expenditure in the period in which it was incurred"
Wilton Park Executive Agency,Executive Agency,Foreign and Commonwealth Office,38,34.48,22,19.5,18,16.19,10,9.81,1,1,,,89,80.98,,,,,,,,,0,0,89,80.98,197709.52,9619.97,,3481.83,20263.71,54719.32,285794.35,,,0,285794.35,
British Council,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,16,15.67,181,175.68,773,753.5,321,318.21,99,98.28,,,1390,1361.34,72,71.2,71,69.55,,,,,143,140.75,1533,1502.09,4565451.06,926657.63,0,28860.34,1281965.35,415426.46,7218360.84,357423.38,,357423.38,7575784.22,
Great Britain - China Centre,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,1,1,6,5,2,1.125,1,1,,,10,8.125,,,,,,,,,0,0,10,8.125,27661.53,,,,1644.88,2779.34,32085.75,,,0,32085.75,
Marshall Aid Commemoration Commission,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,0,,,0,0,
Westminster Foundation for Democracy,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,11,11,20,20,17,17,2,2,,,50,50,1,1,,,,,,,1,1,51,51,186136.51,,,,38742.86,19518.2,244397.57,950,,950,245347.57,
FCO Services,Executive Agency,Foreign and Commonwealth Office,124,122.24,199,193.99,411,404.26,199,179.12,10,6.04,51,51,994,956.65,36,36,6,6,158,154.7,5,5,205,201.7,1199,1158.35,2753165.76,571290.2,57721,389257.89,746811.82,341235.5,4859482.17,1478965.39,0,1478965.39,6338447.56,
