,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other,Fast Streamers -BEIS paid,  unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,Grand Total,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,Total costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",88,83.63,438,427.69,2148,2117.01,2234,2171.41,297,283.82,103,73.89,5308,5157.45,7,7,0,0,58,51.6,9,2.26,74,60.86,"5,382","5,218.31","£19,470,228.13","£1,118,126.22","£313,750.00","£127,410.15","£5,471,251.91","£2,334,352.80","£28,835,119.21","£857,257.00","-£5,478,448.00","-£4,621,191.00","£24,213,928.21",,,
Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",55,49.07,353,332.51,567,526.59,55,50.56,6,6.00,0,0,1036,964.73,18,18,5,5,0,0,18,18,41,41.00,"1,077","1,005.73","£2,519,580.72","£21,989.54","£33,800.00","£8,027.25","£672,178.70","£253,229.46","£3,508,805.67",£0.00,£0.00,£0.00,"£3,508,805.67",,,
Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1478,1450.10,152,147.65,29,27.80,0,0.00,0,0.00,0,0,1659,1625.55,0,0,0,0,0,0,0,0,0,0.00,"1,659","1,625.55","£4,937,416.61","£111,926.77","£24,902.37","£491,790.02","£924,310.57","£613,616.92","£7,103,963.26",,,£0.00,"£7,103,963.26",,,
Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",14,12.80,26,25.20,168,164.00,60,60.00,2,2.00,0,0,270,264.00,12,11.5,0,0,0,0,0,0,12,11.50,282,275.50,"£851,813.44","£15,277.73","£4,674.70",£283.15,"£231,211.04","£92,792.26","£1,196,052.32","£81,202.18",£0.00,"£81,202.18","£1,277,254.50",,,
Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1,1.00,1,1.00,12,11.00,18,15.96,5,4.90,0,0,37,33.86,,,,,,,,,0,0.00,37,33.86,"£160,230.00",£0.00,£0.00,£0.00,"£39,029.00","£18,442.00","£217,701.00",,,£0.00,"£217,701.00",,,
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",450,392.86,284,268.08,287,276.62,69,67.83,6,6.00,0,0,1096,1011.39,3,3,0,0,31,31,0,0,34,34.00,"1,130","1,045.39","£2,475,778.10","£23,054.56",£0.00,"£26,928.17","£668,903.84","£236,822.10","£3,431,486.77","£16,647.00","£248,394.00","£265,041.00","£3,696,527.77",,,
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",5,5.00,0,0.00,4,3.72,7,7.00,0,0.00,1,1,17,16.72,0,0,0,0,0,0,2,2,2,2.00,19,18.72,"£69,675.69",£216.66,£0.00,£0.00,"£19,487.53","£7,927.82","£97,307.70",£0.00,"£1,400.00","£1,400.00","£98,707.70",,,
HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",1581,1492.87,2154,1875.53,1966,1765.58,273,256.17,27,27.00,0,0,6001,5417.15,0,0,0,0,0,0,0,0,0,0.00,"6,001","5,417.15","£13,724,472.53","£184,951.38",£0.00,"£1,315,380.28","£3,694,607.62","£11,697,782.30","£30,617,194.11","£353,800.43","-£276,994.08","£76,806.35","£30,694,000.46",,,
Insolvency Service,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",555,519.58,206,195.22,799,766.71,145,142.02,9,9.00,0,0,1714,1632.54,0,0,0,0,0,0,0,0,0,0.00,"1,714","1,632.54","£4,425,274.22","£16,069.77","£74,150.00","£10,952.00","£1,211,090.57","£463,619.93","£6,201,156.49","£530,159.02",£0.00,"£530,159.02","£6,731,315.51",,,
UK Intellectual Property Office,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",206,188.53,423,397.87,450,431.71,340,320.37,25,24.70,0,0,1444,1363.18,0,0,0,0,0,0,0,0,0,0.00,"1,444","1,363.18","£4,297,590.00","£177,674.00","£36,844.00","£126,540.00","£1,227,194.00","£484,593.00","£6,350,435.00","£418,686.00",£0.00,"£418,686.00","£6,769,121.00",,,
Met Office,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",99,98.68,198,189.38,1259,1178.88,562,522.43,10,10.00,0,0,2128,1999.37,0,0,0,0,128,126.77,6,6,134,132.77,"2,262","2,132.14","£6,430,299.09","£1,100,402.22",£0.00,£0.00,"£787,379.75","£1,786,308.45","£10,104,389.51","£1,131,039.25","£15,785.00","£1,146,824.25","£11,251,213.76",,,
Nuclear Decommissioning Authority (NDA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,337,327.11,337,327.11,1,1,24,22.99,0,0,0,0,25,23.99,362,351.10,"£2,006,910.20","£76,179.95","£1,426.66",£0.00,"£535,694.18","£252,200.66","£2,872,411.65",£0.00,"£248,564.78","£248,564.78","£3,120,976.43",,,
UKAEA,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",77,71.97,218,214.51,771,756.30,287,276.71,14,13.50,91,91,1458,1423.99,0,0,0,0,464,464,0,0,464,464.00,"1,922","1,887.99","£5,405,458.06",£0.00,"£213,684.53","£165,945.89","£940,125.68","£658,508.29","£7,383,722.45","£1,240,144.52",£0.00,"£1,240,144.52","£8,623,866.97",,,
UK Space Agency,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",1,1.00,15,15.00,107,104.50,107,105.20,11,10.80,0,0,241,236.50,1,1,0,0,47,47,14,14,62,62.00,303,298.50,"£926,462.35","£29,696.68",£0.00,£0.00,"£261,852.93","£112,773.40","£1,330,785.36","£15,671.56","£67,382.40","£83,053.96","£1,413,839.32",,,
