,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,Grand Total,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,Total Pay costs,
Economic & Social Research Council (ESRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",14,12.33,29,25.86,99,94.94,17,16.23,1,0.6,0,0,160,149.96,,,,,,,,,0,0,160,150,"£423,536.83","£5,834.77","£3,900.00", £-   ,"£103,341.91","£42,657.68","£579,271.19",,, £-   ,"£579,271.19",
Engineering & Physical Sciences Research Council (EPSRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",62,57.42,48,44.2,160,151.58,44,40.92,1,1,0,0,315,295.12,,,,,,,,,0,0,315,295,"£1,171,226.56","£26,046.78","£33,300.00",£146.22,"£288,314.86","£117,064.94","£1,636,099.36",,, £-   ,"£1,636,099.36",
HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)","1,093","1,053.30","2,097","1,819.24","1,811","1,639.07",231,214.26,21,20.84,0,0,"5,253","4,746.71",0,0,22,22,0,0,0,0,22,22,"5,275","4,769",,"£242,585.67","£4,260,458.00","£582,427.82","£2,360,272.30","£1,864,531.85","£9,310,275.64","£174,054.12","£18,140.09","£192,194.21","£9,502,469.85",
Innovate UK,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,, £-   ,,, £-   , £-   ,
Insolvency Service,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",544,508.33,201,192.09,710,678.33,115,112.88,10,10,0,0,1580,1501.63,43,43,0,0,18,18,0,0,61,61,"1,641","1,563","£3,970,973.00","£10,943.00","£35,400.00","£20,070.00","£823,863.00","£413,054.00","£5,274,303.00","-£146,503.00", £-   ,"-£146,503.00","£5,127,800.00",
Intellectual Property Office (IPO),Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",198,180,378,349.18,366,351.5,283,267.3,28,28,,,"1,253","1,176",20,20,,,17,16.6,,,37,36.6,"1,290","1,213","£3,315,745.00","£139,120.00","£12,240.00","£72,077.00","£735,670.00","£367,856.00","£4,642,708.00","£255,810.00",,"£255,810.00","£4,898,518.00",
Medical Research Council (MRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",188,173,261,248,693,678,99,96,59,56,63,52,"1,363","1,303.00",5,5,22,22,1,1,0,0,28,28,"1,391","1,331","£3,874,495.00","£220,387.00", £-   ,"£10,540.00","£572,478.00","£434,756.00","£5,112,656.00","£131,739.00", £-   ,"£131,739.00","£5,244,395.00",
Met Office,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",,,,,,,,,,,1945,1852.5,1945,1852.5,31,25.2,,,61,58,33,15.1,125,98,"2,070","1,951","£5,723,017.00","£362,091.00", £-   , £-   ,"£1,248,388.00","£627,362.00","£7,960,858.00","£540,651.00","£364,420.00","£905,071.00","£8,865,929.00",
Natural Environment Research Council (NERC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",219,188.22,401,370.82,"1,205","1,149.55",340,325.16,21,20.66,268,264.8,"2,454","2,319.21",1,1,0,0,1,1,0,0,2,2,"2,456","2,321","£6,876,517.00","£195,404.00","£18,590.00","£33,380.00","£1,698,415.00","£708,620.00","£9,530,926.00","£88,857.74", £-   ,"£88,857.74","£9,619,783.74",
Nuclear Decommissioning Authority (NDA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",,,,,,,,,,,219,208.61,219,208.61,7,7,25,25,,,,,32,32,251,241,"£1,136,295.78","£58,329.21","£3,916.73",,"£234,298.96","£145,495.27","£1,578,335.95","£519,000.00",,"£519,000.00","£2,097,335.95",
Science & Technology Facilities Council (STFC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",155,147.9,322,311.1,"1,242","1,207.30",417,396.9,42,38,67,67,"2,245","2,168.20",31,31,0,0,20,20,0,0,51,51,"2,296","2,219","£6,723,238.00","£348,630.46",£725.00,"£72,379.57","£1,765,186.00","£759,378.27","£9,669,537.30","£171,000.00", £-   ,"£171,000.00","£9,840,537.30",
UK Atomic Energy Authority (UKAEA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",58,54.44,127,123.85,521,512.06,180,171.26,13,12.3,44,44,943,917.91,4,4,0,0,298,298,0,0,302,302,"1,245","1,220","£3,418,453.73", £-   ,"£139,960.05","£56,218.48","£588,066.10","£409,932.17","£4,612,630.53","£1,476,478.43", £-   ,"£1,476,478.43","£6,089,108.96",Allowances included in salary costs.
UK Space Agency,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",4,4,10,10,82,81.52,62,58.26,8,7.4,0,0,166,161.18,,,0,0,3,0.9,0,0,3,1,169,162,"£605,716.23","£10,165.60", £-   , £-   ,"£129,076.96","£68,498.43","£813,457.22","£11,477.38", £-   ,"£11,477.38","£824,934.60",
