Organisation Name,,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Foreign and Commonwealth Office,Ministerial Department,Foreign and Commonwealth Office,427,415.3,629,617.9,1930,1913,1434,1409.4,419,412.7,,,4839,4768.3,45,44.8,,,31,30,6,5.8,82,80.6,4921,4848.9,15575509.72,1039051.34,15051,119841.94,3202394.68,1527056.54,21478905.22,379621.63,256303.64,635925.27,22114830.49,
Wilton Park Executive Agency,Executive Agency,Foreign and Commonwealth Office,39,34.19,22,20.55,15,13.68,10,9.81,1,1,1,0,88,79.23,,,,,,,,,0,0,88,79.23,208859.85,8752.62,,1906.5,41320.22,21702.71,282541.9,,,0,282541.9,
British Council,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,15,14.67,186,181.93,766,751.94,311,309.6,96,95.8,,,1374,1353.94,488,378.29,73,73.43,,,,,561,451.72,1935,1805.66,4518264.56,1140470.39,871,37116.95,993412.19,421679.41,7111814.5,450804.02,,450804.02,7562618.52,
Great Britain - China Centre,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,4.5,4,2,2,1,1,,,7.5,7,,,,,,,,,0,0,7.5,7,23792.2,,,,1277.58,2421.92,27491.7,,,0,27491.7,
Marshall Aid Commemoration Commission,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,0,,,0,0,
Westminster Foundation for Democracy,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,12,12,15,15,17,17,2,2,,,46,46,2,2,,,,,,,2,2,48,48,186135.42,,,,29291.52,19079.41,234506.35,2028.37,,2028.37,236534.72,
FCO Services,Executive Agency,Foreign and Commonwealth Office,117,115.63,187,182.05,409,401.42,194,173.24,10,7.03,60,60,977,939.37,41,41,6,6,159,154.9,4,4,210,205.9,1187,1145.27,2601648.2,984521.02,4090,175942.06,544659.69,329761.69,4640622.66,1613360.61,0,1613360.61,6253983.27,
