Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,145,140.96,403,395.73,740,726.86,1133,1113.59,260,253.55,174,170.70,"2,855","2,801",3,3,171,171,194,194,2,2,370,370,"3,225","3,171","£10,194,176.58","£465,738.85","£39,447.00","£101,267.60","£2,270,192.42","£1,231,163.15","£14,301,985.60","£3,651,363.47","£1,279,797.00","£4,931,160.47","£19,233,146.07"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.56,1,1.00,7,6.60,5,5.00,1,1.00,0,0.00,15,14,0,0,0,0,0,0,0,0,0,0,15,14,"£52,880.56",£166.67,£0.00,£0.00,"£11,650.48","£5,921.23","£70,618.94",£0.00,£0.00,£0.00,"£70,618.94"
Crown Commercial Services,Executive Agency,Cabinet Office,25,23.32,110,105.19,320,306.65,212,202.47,67,66.00,0,0.00,734,704,0,0,57,57,0,0,0,0,57,57,791,761,"£2,673,743.87","£2,015.35",£0.00,£0.00,"£555,374.25","£300,699.84","£3,531,833.31","£712,593.52","£136,862.54","£849,456.06","£4,381,289.37"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,105,99.00,448,412.00,247,230.00,67,66.00,18,18.00,0,0.00,885,825,8,8,0,0,2,1,0,0,10,9,895,834,"£1,979,503.08","£37,890.00",£0.00,"£12,219.90","£403,105.26","£197,094.83","£2,629,813.07","£53,000.09",£0.00,"£53,000.09","£2,682,813.16"
