Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Ministry of Justice,Ministerial Department,Ministry of Justice,1004,933.07,912,875.92,1601,1554.39,784,761.12,124,121.55,0,0.00,"4,425","4,246.06",167,164.84,16,16.00,191,190.00,0,0.00,374,370.84,"4,799","4,616.90","£11,330,862.28","£232,435.32","£591,738.05","£52,011.40","£2,170,653.13","£997,019.70","£15,374,719.88","£2,472,288.42","£1,479,929.04","£3,952,217.46","£19,326,937.34",
HM Courts and Tribunals Service,Executive Agency,Ministry of Justice,13595,11887.23,3018,2818.07,2495,2315.78,626,610.16,34,34.00,0,0.00,"19,768","17,665.24",(..),609.50,0,0.00,0,0.00,0,0.00,0,609.50,"19,768","18,274.74","£33,827,261.19","£413,347.78","£476,750.27","£392,486.08","£5,666,074.69","£2,320,918.78","£43,096,838.79","£1,474,946.68",£0.00,"£1,474,946.68","£44,571,785.47",Only Agency FTE available. Agency HC not collected.
National Archives,Executive Agency,Ministry of Justice,192,172.02,131,125.62,261,253.28,60,59.33,6,6.00,0,0.00,650,616.25,9,7.60,0,0.00,15,14.00,0,0.00,24,21.60,674,637.85,"£1,528,256.70","£5,767.83","£2,600.00","£16,987.80","£268,612.47","£127,384.73","£1,949,609.53","£134,215.86",,"£134,215.86","£2,083,825.39",
National Offender Management Service,Executive Agency,Ministry of Justice,33941,32378.36,6189,5922.91,3637,3409.01,611,595.51,39,38.88,0,0.00,"44,417","42,344.67",349.41,349.41,0,0,19.25,19.25,4.57,4.57,373.23,373.23,"44,790","42,718","£97,609,122.10",£0.00,£0.00,"£4,800,737.02","£19,762,244.86","£7,651,980.69","£129,824,084.67","£2,395,523.38","£19,737.50","£2,415,260.88","£132,239,345.55",
The Office of the Public Guardian,Executive Agency,Ministry of Justice,286,269.94,142,134.64,62,60.09,9,8.82,2,1.78,0,0.00,501,475.27,202,134.34,0,0.00,0,0.00,0,0.00,202,134.34,703,609.61,"£848,806.01","£17,126.37","£57,750.00","£33,101.52","£139,072.48","£65,618.89","£1,161,475.27","£204,937.85",£0.00,"£204,937.85","£1,366,413.12",Campaign to move roles from agency to FTC is underway.
Criminal Cases Review Commission,Executive Non-Departmental Public Body,Ministry of Justice,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,74,68.32,74,68.32,4,4.00,0,0.00,0,0.00,0,0.00,4,4.00,78,72.32,"£192,060.00",£57.00,£0.00,£0.00,"£35,701.00","£15,632.00","£243,450.00","£4,423.00",£0.00,"£4,423.00","£247,873.00","This data does not include Commissioners and Non-Executive Directors as they are office holders and not employees.
The Commission employees are not Civil Servants and therefore Civil Service grades are not applied to their roles."
Information Commissioner's Office,Executive Non-Departmental Public Body,Ministry of Justice,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,367,343.89,367,343.89,23,22.40,0,0.00,0,0.00,0,0.00,23,22.40,390,366.29,"£767,730.01",£857.65,£0.00,"£6,335.42","£140,183.94","£54,413.01","£969,520.03","£51,631.08",£0.00,"£51,631.08","£1,021,151.11",
Judicial Appointments Commission,Executive Non-Departmental Public Body,Ministry of Justice,11,11.00,17,16.50,25,24.69,12,11.20,3,3.00,1,0.40,69,66.79,8,8.00,0,0.00,0,0.00,0,0.00,8,8.00,77,74.79,"£191,211.79","£1,958.02","£6,700.00",£0.00,"£36,013.84","£17,158.85","£253,042.50","£22,337.00",£0.00,"£22,337.00","£275,379.50",
Legal Services Board,Executive Non-Departmental Public Body,Ministry of Justice,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,29,28.80,29,28.80,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,29,28.80,"£140,606.20",£0.00,£0.00,£0.00,"£31,691.53","£16,906.37","£189,204.10",£0.00,£0.00,£0.00,"£189,204.10","LSB staff are not civil servants, so do not enjoy civil service terms and conditions neither do they have a defined benefit pension provision"
Legal Services Commission,Executive Non-Departmental Public Body,Ministry of Justice,810,765.63,264,254.21,396,378.97,114,111.87,19,13.20,0,0.00,"1,603","1,523.88",31,25.40,0,0.00,75,73.70,0,0.00,106,99.10,"1,709","1,622.98","£3,505,121.93",£0.00,£0.00,"£73,006.36",£0.00,"£277,377.53","£3,855,505.82","£1,048,429.29",£0.00,"£1,048,429.29","£4,903,935.11",
