Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,142,137.07,382,373.40,664,649.98,1117,1096.97,284,277.59,191,187.60,"2,780","2,723",5,5,150,150,140,140,0,0,295,295,"3,075","3,018","£10,655,218.10","£441,817.45","£7,550.00","£69,435.42","£2,322,919.89","£1,278,196.36","£14,775,137.22","£2,879,511.00","£237,385.00","£3,116,896.00","£17,892,033.22"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.56,5,5.00,7,6.60,5,5.00,1,1.00,0,0.00,19,18,0,0,0,0,0,0,0,0,0,0,19,18,"£60,445.82",£166.67,£0.00,£0.00,"£13,203.96","£6,581.55","£80,398.00",£0.00,£0.00,£0.00,"£80,398.00"
Crown Commercial Services,Executive Agency,Cabinet Office,23,22.59,109,103.02,321,307.92,219,211.82,51,49.00,0,0.00,723,694,29,29,0,0,0,0,0,0,29,29,752,723,"£2,584,424.13","£2,215.32",£0.00,£0.00,"£520,915.53","£288,960.46","£3,396,515.44","£347,448.77","£29,508.47","£376,957.24","£3,773,472.68"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,94,88.00,440,402.00,249,232.00,73,72.00,18,18.00,0,0.00,874,812,11,11,0,0,2,0,0,0,13,11,887,823,"£2,004,339.71","£35,100.36",£0.00,"£3,080.26","£400,124.74","£199,088.77","£2,641,733.84","£31,547.83",£0.00,"£31,547.83","£2,673,281.67"
