Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)",,,
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,,
"Department for Business, Energy & Industrial Strategy (BEIS)",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",144,139.4,319,311,980,959.4,1157,1118.7,196,188.6,,,2796,2717.1,11,11,,,41,40,,,52,41,2848,2768.1,"£10,715,947.50","£386,639.25","£52,667.99","£48,576.70","£2,321,621.20","£1,232,010.73","£14,757,463.37","£378,091.04","£3,496,561.36","£3,874,652.40","£18,632,115.77",,,,
Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",63,56.60,235,213.60,478,439.70,40,36.40,3,3.00,1,0.60,820,749.90,7,7.00,0,0.00,0,0.00,0,0.00,7,7,827,757,"£2,120,640.21","£19,183.87",£0.00,"£12,225.41","£420,847.93","£205,528.67","£2,778,426.09","£83,175.00",£0.00,"£83,175.00","£2,861,601.09",,,,
Arts & Humanities Research Council (AHRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",7,6.49,37,35.90,70,65.88,14,14.00,1,1.00,0,0.00,129,123.27,2,2.00,0,0.00,1,1.00,0,0.00,3,3,132,126,"£331,698.19","£7,787.10","£1,121.50",£128.49,"£86,349.97","£32,724.55","£459,809.80","£26,919.27",£0.00,"£26,919.27","£486,729.07",,,,
Biotechnology & Biological Sciences Research Council (BBSRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",35,30.64,49,46.05,138,131.94,42,40.23,11,10.51,0,0.00,275,259.37,1,1.00,0,0.00,0,0.00,0,0.00,1,1,276,260,"£759,616.20","£23,386.60","£2,000.00","£1,049.02","£195,590.68","£79,110.79","£1,060,753.29",£0.00,£0.00,£0.00,"£1,060,753.29",,,,
Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1104,1088.2,297,286.31,131,130.3,20,19.81,5,5,0,0,1557,1529.62,0,0,0,0,0,0,0,0,0,0,1557,1529.62,"£4,399,843.40","£303,404.85","£539,955.08","£1,124,261.64","£836,414.80","£747,109.26","£7,950,989.03",£0.00,£0.00,£0.00,"£7,950,989.03",,,,
Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",17,16.60,22,20.90,130,128.90,47,46.50,3,3.00,0,0.00,219,215.90,3,3.00,0,0.00,10,9.80,0,0.00,13,13,232,229,"£658,238.67","£11,783.73","£2,056.20",£170.78,"£142,527.64","£71,847.81","£886,624.83","£107,293.22",£0.00,"£107,293.22","£993,918.05",Figures are correct.,,,
Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,1,1.00,6,5.71,15,14.83,5,4.30,0,0.00,27,25.84,0,0.00,0,0.00,0,0.00,0,0.00,0,0,27,26,"£116,223.23",£216.00,£0.00,£0.00,"£23,999.18","£15,182.74","£155,621.15",£0.00,£0.00,£0.00,"£155,621.15",,,,
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",463,406.00,246,234.00,167,162.00,38,37.00,4,3.00,0,0.00,918,842.00,3,3.00,0,0.00,0,0.00,19,19.00,22,22,940,864,"£1,853,891.32","£29,743.92","£1,098,118.32","£44,236.29","£385,949.92","£327,046.12","£3,738,985.89","£5,562.00","£197,991.00","£203,553.00","£3,942,538.89",,,,
