Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Science & Technology Facilities Council,STFC,"Department for Business, Innovation & Skills",132,127.21,260,246.19,1056,1033.44,353,343.05,31,28.28,42,42,"1,874","1,820",12,12,0,0,48,48,0,0,60,60,"1,934","1,880","£5,342,466.37","£184,918.13",£100.00,"£86,496.72","£1,366,838.41","£464,904.13","£7,445,723.76","£33,524.63","£363,919.00","£397,443.63","£7,843,167.39",
Skills Funding Agency ,SFA,"Department for Business, Innovation & Skills",79,74.51,19,18.52,657,645.4,102,101.65,26,25,0,0,883,865,17,17,,,40,40,,,57,57,940,922,"£2,886,097.87","£73,969.80","£1,620.00","£2,844.55","£579,740.94","£285,092.21","£3,829,365.37","£980,240.00",,"£980,240.00","£4,809,605.37",
Student Loans Company Ltd,SLCL,"Department for Business, Innovation & Skills",1877,1753.4696,729,695.5369067,106,102.6261333,19,19,7,7,6,0.853333333,"2,744","2,578",39,39,,,16,16,,,55,55,"2,799","2,633","£4,497,370.91","£162,771.72","£8,133.65","£87,249.36","£524,226.00","£343,884.67","£5,623,636.31","£347,878.69","£20,990.00","£368,868.69","£5,992,505.00",
Technology Strategy Board,TSB,"Department for Business, Innovation & Skills",,,60,60,56,56,180,180,7,7,2,2,305,305,22,22,,,,,,,22,22,327,327,"£1,119,377.63","£161,009.05",,,"£271,814.94","£122,284.38","£1,674,486.00","£220,937.30",,"£220,937.30","£1,895,423.30",Now Innovate UK
UK Commission for Employment & Skills,UKCES,"Department for Business, Innovation & Skills",28,27.3,9,8.8,65,62.3,13,12.6,6,6,,,121,117,,,,,,,,,0,0,121,117,"£364,954.86",,,,"£70,295.25","£30,906.08","£466,156.19",,,£0.00,"£466,156.19",
UK Intellectual Property Office,UKIPO,"Department for Business, Innovation & Skills",242,216.48,286,271.24,299,291.5,240,226.26,28,27.77,,,"1,095","1,033",7,7,,,18,18,,,25,25,"1,120","1,058","£2,710,216.00","£119,589.00","£13,048.00","£92,139.00","£564,169.00","£239,705.00","£3,738,866.00","£378,891.00",,"£378,891.00","£4,117,757.00",
UK Space Agency,UKSA,"Department for Business, Innovation & Skills",0,0,6,6,24,24,24,23.2,6,5.7,0,0,60,59,0,0,0,0,1,0.4,0,0,1,0.4,61,59,"£197,171.25","£2,294.34",£0.00,£228.91,"£39,834.37","£17,067.43","£256,596.30","£1,512.00",£0.00,"£1,512.00","£258,108.30",
United Kingdom Atomic Energy Authority,UKAEA,"Department for Business, Innovation & Skills",51,48.72,96,93.91,376,372.15,127,125.02,11,10.6,20,20,681,670,4,4,0,0,458,458,0,0,462,462,"1,143","1,132","£2,350,278.00",£0.00,"£102,471.00","£33,439.00","£308,858.00","£217,111.00","£3,012,157.00","£1,921,775.00",£0.00,"£1,921,775.00","£4,933,932.00",Allowances are included within Salary Costs. Performance Payments are accrued through the year for payment once a year.
Ordnance Survey ,OS,"Department for Business, Innovation & Skills",30,26.43,557,543.34,450,441.56,172,169.59,4,4,4,0.97,"1,217","1,186",41,41,4,4,75,75,,,120,120,"1,337","1,306","£3,299,181.00","£102,220.00","£45,673.00","£6,077.00","£645,502.00","£277,307.00","£4,375,960.00","£755,899.54",,"£755,899.54","£5,131,859.54",
Met Office,MO,"Department for Business, Innovation & Skills",,,,,,,,,1,1,2062,1984.5,"2,063","1,986",64,64,,,11,11,,,75,75,"2,138","2,061","£5,391,396.00","£345,532.00",£0.00,"£196,131.00","£1,112,208.00","£465,725.00","£7,510,992.00","£373,882.00",,"£373,882.00","£7,884,874.00",
