Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
"Department for Business, Energy & Industrial Strategy (BEIS)",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",111.0,106.7,337.0,329.0,1191.0,1168.6,1337.0,1296.5,210.0,203.2,,,3186.0,3104.0,5,5,,,48,47.2,,,53,52.2,3239.0,3156.2,"£15,168,268.13","£526,341.54",£0.00,"£602,313.66","£2,868,682.72","£1,659,183.49","£20,824,789.54","£416,542.91",£0.00,"£416,542.91","£20,824,789.54",
Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",62,55.9,272,249.2,464,426.5,40,36.9,5,5,2,1.6,845.0,775.1,12,12,,,,,0,0,12,12,857,787.1,"£2,419,111.13","£18,379.12",,"£14,066.34","£459,878.09","£243,800.91","£3,155,235.59","£71,688.92","£133,524.49","£205,213.41","£3,155,235.59",
Arts & Humanities Research Council (AHRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",8,7.61,53,51.70,82,77.71,20,19.81,1,1.00,0,0.00,164.0,157.8,0,0.00,0,0.00,11,11.00,0,0.00,11,11,175.0,168.8,"£438,118.45","£14,514.99",£100.00,,"£113,201.91","£44,987.44","£610,922.79","£114,304.68",£0.00,"£114,304.68","£610,922.79",
Biotechnology & Biological Sciences Research Council (BBSRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",33,29.06,48,44.35,151,144.10,45,42.64,11,10.51,0,0.00,288.0,270.7,0,0.00,0,0.00,0,0.00,0,0.00,0,0,288.0,270.7,"£797,669.81","£25,695.40","£2,000.00","£3,342.37","£208,543.03","£79,626.74","£1,116,877.35",£0.00,£0.00,£0.00,"£1,116,877.35",
Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)","1,125","1,107.85",298,290.09,143,141.53,21,20.81,6,6.00,0,0.00,1593.0,1566.3,0,0.00,0,0.00,0,0.00,0,0.00,0,0,1593.0,1566.3,"£4,678,280.27","£123,746.84","£36,337.52","£902,591.18","£849,352.78","£657,745.09","£7,248,053.68",£0.00,£0.00,£0.00,"£7,248,053.68",
Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",13,12.6,23,22.2,137,136.1,52,51.5,4,4,,,229.0,226.4,8,8,,,9,5.3,,,17,13.3,246.0,239.7,"£714,107.77","£10,327.13",£588.18,£513.83,"£153,526.47","£78,529.08","£957,592.46","£58,588.96",,"£58,588.96","£957,592.46",
Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0,1,1,6,6,17,15.54,5,4.88,,,29.0,27.4,,,,,,,,,0,0,29.0,27.4,"£133,992.49",£216.00,,,"£28,284.63","£16,383.42","£178,876.54",,,,"£178,876.54",
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,
