Organisation Name,,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
"Foreign, Commonwealth & Development Office",Ministerial Department,"Foreign, Commonwealth & Development Office",463,449.68,745,722.77,2713,"2,675.40",3023,2961.35,542,535.55,28,28,"7,514","7,373",61,61,0,0,33,32.29,8,7.44,102,100.73,"7,616","7,473","£24,326,698.99","£872,188.97","£93,929.35","-£61,075.72","£6,792,331.58","£2,351,612.27","£34,375,685.44","£2,162,581.63","£333,298.69","£2,495,880.32","£36,871,565.76",
Wilton Park Executive Agency,Executive Agency,"Foreign, Commonwealth & Development Office",24,21.28,31,29.06,22,20.19,12,11.51,1,1,0,0,90,83,0,0,0,0,0,0,0,0,0,0,90,83,"£224,589.55","£8,653.42",£0.00,£0.00,"£63,054.68","£23,321.51","£319,619.16",£0.00,£0.00,£0.00,"£319,619.16",
British Council,Executive Non-Departmental Public Body,"Foreign, Commonwealth & Development Office",10,10,161,155.31,731,704.81,310,303.47,102,101,0,0,"1,314","1,275",74,36.4,17,8.78,0,0,0,0,91,45.18,"1,405","1,320","£4,509,482.99","£964,635.44",£0.00,"£16,635.09","£1,271,723.16","£440,038.06","£7,202,514.74","£2,046,503.35",£0.00,"£2,046,503.35","£9,249,018.09",
Great Britain - China Centre,Executive Non-Departmental Public Body,"Foreign, Commonwealth & Development Office",0,0,1,1,5,5,3,2.13,1,1,0,0,10,9,0,0,1,1,0,0,0,0,1,1,11,10,"£32,398.07",£0.00,£0.00,£0.00,"£1,838.53","£3,421.25","£37,657.85",£0.00,£0.00,£0.00,"£37,657.85",
Marshall Aid Commemoration Commission,Executive Non-Departmental Public Body,"Foreign, Commonwealth & Development Office",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,
Westminster Foundation for Democracy,Executive Non-Departmental Public Body,"Foreign, Commonwealth & Development Office",0,0,7,6.3,25,25,19,18.2,3,3,0,0,54,53,1,0.6,0,0,0,0,0,0,1,0.6,55,53,"£220,810.79",£0.00,£0.00,£0.00,"£50,298.10","£23,418.55","£294,527.44","£4,500.00",£0.00,"£4,500.00","£299,027.44",
FCDO Services,Executive Agency,"Foreign, Commonwealth & Development Office",130,128.19,214,208.73,443,435.31,219,196.9,6,6,49,49,"1,061","1,024",14,14,3,3,108,102.26,0,0,125,119.26,"1,186","1,143","£3,261,698.69","£744,613.73","£19,190.00","£280,591.44","£869,348.88","£390,666.12","£5,566,108.86","£1,160,016.70",£0.00,"£1,160,016.70","£6,726,125.56",
Independent Commission for Aid Impact,Executive Non-Departmental Public Body,"Foreign, Commonwealth & Development Office",0,0,0,0,0,0,0,0,0,0,10,6,10,6,0,0,0,0,0,0,0,0,0,0,10,6,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,
Commonwealth Scholarship Commission,Executive Non-Departmental Public Body,"Foreign, Commonwealth & Development Office",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,
