Organisation Name,,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Foreign and Commonwealth Office,Ministerial Department,Foreign and Commonwealth Office,410,399.56,606,594.46,2108,2088.98,1627,1602.09,433,429.73,,,"5,184","5,115",55,55,0,0,31,30.29,7,6.44,93,91.73,"5,277","5,207","£17,305,201.99","£1,092,514.51","£18,443.21","£568,279.43","£4,789,831.48","£1,761,471.81","£25,535,742.43","£2,129,258.68","£186,184.69","£2,315,443.37","£27,851,185.80",
Wilton Park Executive Agency,Executive Agency,Foreign and Commonwealth Office,28,25.28,30,27.38,20,18.22,12,11.51,,,,,90,82,0,0,0,0,0,0,0,0,0,0,90,82,"£214,249.92","£8,641.84",,£0.00,"£59,718.03","£21,611.76","£304,221.55",£0.00,£0.00,£0.00,"£304,221.55",
British Council,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,11,10.97,169,162.55,754,725.94,319,310.87,101,100,,,"1,354","1,310",57,20.46,20,7.35,0,0,0,0,77,27.81,"1,431","1,338","£5,207,960.45","£657,094.66",£0.00,"£12,862.63","£1,292,852.18","£435,661.50","£7,606,431.42","£918,111.96",£0.00,"£918,111.96","£8,524,543.38",
Great Britain - China Centre,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,0,0,1,1,5,5,3,2.13,1,1,0,0,10,9,0,0,1,1,0,0,0,0,1,1,11,10,"£31,464.91",,,,"£2,105.98","£3,266.06","£36,836.95",£0.00,£0.00,£0.00,"£36,836.95",
Marshall Aid Commemoration Commission,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,
Westminster Foundation for Democracy,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,7,6.6,23,23,19,18.2,2,2,,,51,50,3,3,,,,,,,3,3,54,53,"£200,255.57",,,,"£44,218.82","£21,295.28","£265,769.67","£13,257.55",£0.00,"£13,257.55","£279,027.22",
FCO Services,Executive Agency,Foreign and Commonwealth Office,135,133.19,211,205.91,427,420.57,216,198.59,6,6,63,63,"1,058","1,027",16,15,3,3,114,106.95,0,0,133,124.95,"1,191","1,152","£2,997,450.55","£553,908.88","£4,139.00","£113,318.37","£819,844.61","£324,378.08","£4,813,039.49","£1,430,524.43",£0.00,"£1,430,524.43","£6,243,563.92",
