Year,Month,Organisation name,Organisation type,"Main, parent or sponsoring department:","Payroll staff;
AO/AA;
Headcount","Payroll staff;
AO/AA;
Full-time equivalent","Payroll staff;
EO;
Headcount","Payroll staff;
EO;
Full-time equivalent","Payroll staff;
SEO/HEO;
Headcount","Payroll staff;
SEO/HEO;
Full-time equivalent","Payroll staff;
Grade 6/7;
Headcount","Payroll staff;
Grade 6/7;
Full-time equivalent","Payroll staff;
SCS;
Headcount","Payroll staff;
SCS;
Full-time equivalent","Payroll staff;
Other, unknown, unspecified;
Headcount","Payroll staff;
Other, unknown, unspecified;
Full-time equivalent","Payroll staff;
Total;
Headcount","Payroll staff;
Total;
Full-time equivalent","Non-payroll staff;
Admin and Clerical;
Headcount","Non-payroll staff;
Admin and Clerical;
Full-time equivalent","Non-payroll staff;
Interim Managers & Specialist Contractors & Medical;
Headcount","Non-payroll staff;
Interim Managers & Specialist Contractors & Medical;
Full-time equivalent","Non-payroll staff;
Other Contingent labour;
Headcount","Non-payroll staff;
Other Contingent labour;
Full-time equivalent","Non-payroll staff;
Total Contingent labour:
Headcount","Non-payroll staff;
Total Contingent labour:
Full-time equivalent","Non-payroll staff;
Consultancy;
Number of Contracts","Grand Total (workforce numbers);
Headcount","Grand Total (workforce numbers);
Full-time equivalent","Payroll staff costs;
Salary","Payroll staff costs;
Allowances","Payroll staff costs;
Non-consolidated performance payments","Payroll staff costs;
Overtime","Payroll staff costs;
Employer pension contributions","Payroll staff costs;
Employer national insurance contributions","Payroll staff costs;
Total paybill","Non-Payroll staff costs;
Contingent labour","Non-Payroll staff costs;
Consultancy","Non-Payroll staff costs;
Total staff costs",Grand Total paybill/staffing (payroll and non-payroll) costs
2022,April,Office of Qualifications and Examinations Regulation,Non-Ministerial Department,Office of Qualifications and Examinations Regulation,3.00,3.00,31.00,29.80,134.00,128.50,109.00,107.00,18.00,17.50,0.00,0.00,295,286,3,3.00,7,7.00,0.00,0.00,10,10,0.00,305,296,"£1,047,320.65","£3,604.00",£0.00,"£3,907.00","£285,422.00","£124,570.00","£1,464,822.59","£53,073.00",£0.00,"£53,073.42","£1,517,896.01"
2022,May,Office of Qualifications and Examinations Regulation,Non-Ministerial Department,Office of Qualifications and Examinations Regulation,4.00,4.00,33.00,31.85,140.00,134.17,113.00,110.49,18.00,17.50,0.00,0.00,308,298,3,3.00,7,7.00,0.00,0.00,10,10,0.00,318,308,"£1,064,207.00","£3,585.00",£0.00,"£6,522.00","£291,501.00","£126,758.00","£1,492,573.07","£130,176.00",£0.00,"£130,176.31","£1,622,749.38"
2022,June,Office of Qualifications and Examinations Regulation,Non-Ministerial Department,Office of Qualifications and Examinations Regulation,4.00,4.00,32.00,30.85,144.00,137.80,120.00,117.36,17.00,17.00,0.00,0.00,317,307,1,1.00,6,6.00,0.00,0.00,7,7,0.00,324,314,"£1,103,447.00","£3,425.00","£161,781.00","£2,973.00","£300,935.00","£154,069.00","£1,726,629.17","£52,650.00",£0.00,"£52,650.00","£1,779,279.17"
2022,July,Office of Qualifications and Examinations Regulation,Non-Ministerial Department,Office of Qualifications and Examinations Regulation,4.00,4.00,31.00,30.00,144.00,137.80,121.00,118.40,17.00,17.00,0.00,0.00,317,307,1,1.00,5,5.00,0.00,0.00,6,6,0.00,323,313,"£1,111,930.00","£3,375.00",£0.00,"£2,875.00","£303,246.00","£131,514.00","£1,552,940.16","£50,906.00",£0.00,"£50,906.11","£1,603,846.27"
2022,August,Office of Qualifications and Examinations Regulation,Non-Ministerial Department,Office of Qualifications and Examinations Regulation,4.00,4.00,32.00,31.00,149.00,142.80,122.00,119.40,17.00,17.00,0.00,0.00,324,314,7,7.00,5,5.00,0.00,0.00,12,12,0.00,336,326,"£1,250,368.00","£3,556.00",£0.00,£958.00,"£339,813.00","£151,164.00","£1,745,858.68","£40,039.00",£0.00,"£40,039.34","£1,785,898.02"
2022,September,Office of Qualifications and Examinations Regulation,Non-Ministerial Department,Office of Qualifications and Examinations Regulation,7.00,7.00,31.00,30.00,159.00,151.30,124.00,121.40,18.00,18.00,0.00,0.00,339,328,7,7.00,5,5.00,0.00,0.00,12,12,0.00,351,340,"£1,194,044.45","£3,465.28",£0.00,"£3,037.76","£325,253.84","£141,254.26","£1,667,055.59","£70,188.26",£0.00,"£70,188.26","£1,737,243.85"
2022,October,Office of Qualifications and Examinations Regulation,Non-Ministerial Department,Office of Qualifications and Examinations Regulation,7.00,7.00,29.00,28.50,165.00,157.30,126.00,123.40,17.00,17.00,0.00,0.00,344,333,6,6.00,1,1.00,0.00,0.00,7,7,0.00,351,340,"£1,210,215.71","£2,943.02",£0.00,"£1,546.92","£328,092.25","£143,652.98","£1,686,450.88","£12,156.31",£0.00,"£12,156.31","£1,698,607.19"
