Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,332,308.83,564,549.63,1220,1194.69,1865,1828.99,407,396.23,2125,2114.84,"6,513","6,393",39,37.57,351,350.22,114,109.91,0,0,504,497.7,"7,017","6,891","£23,234,619.82","£768,205.67","£88,860.84","£132,402.46","£6,102,862.06","£2,698,801.24","£33,025,752.09","£4,856,198.24",£0.00,"£4,856,198.24","£37,881,950.33"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.60,4,4.00,8,7.80,5,4.80,0,0.00,1,1.00,19,18,0,0,0,0,0,0,0,0,0,0,19,18,"£60,880.23",£166.67,£0.00,£0.00,"£16,983.27","£6,539.25","£84,569.42",£0.00,£0.00,£0.00,"£84,569.42"
Crown Commercial Services,Executive Agency,Cabinet Office,30,29.00,107,101.00,307,297.00,185,177.00,23,22.00,0,0.00,652,626,48,47.4,0,0,0,0,0,0,48,47.4,700,673,"£1,974,475.78","£39,416.88",£0.00,£0.00,"£528,780.04","£214,405.56","£2,757,078.26","£514,217.17","£48,144.19","£562,361.36","£3,319,439.62"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,79,73.00,463,427.00,240,226.00,72,70.00,19,19.00,0,0.00,873,815,2,2,0,0,6,4,0,0,8,6,881,821,"£2,148,967.10","£37,732.29",£0.00,"£2,200.30","£567,309.90","£213,404.40","£2,969,613.99","£42,343.09",£0.00,"£42,343.09","£3,011,957.08"
Government Property Agency,Executive Agency,Cabinet Office,1,1.00,15,14.69,32,31.28,59,58.39,10,10.00,0,0.00,117,115,0,0,0,0,23,23,0,0,23,23,140,138,"£449,892.00","£17,735.00",£500.00,"£1,107.00","£124,567.00","£53,030.00","£646,831.00","£264,403.61",£0.00,"£264,403.61","£911,234.61"
Equality & Human Rights Commission,Executive Non-Departmental Public Body,Cabinet Office,0,0.00,14,13.60,105,100.50,54,50.80,12,12.00,0,0.00,185,177,2,2,4,4,0,0,0,0,6,6,191,183,"£628,989.00","£14,531.00",£0.00,£0.00,"£177,052.00","£19,994.00","£840,566.00","£28,152.00",£0.00,"£28,152.00","£868,718.00"
