Organisation Name,,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
"Foreign, Commonwealth & Development Office",Ministerial Department,"Foreign, Commonwealth & Development Office",436,423.84,719,696.61,2683,"2,647.50",3039,"2,975.41",548,541.92,14,14,"7,439","7,299",70,70,0,0,37,36.15,8,7.44,115,113.5972222,"7,554","7,413","£28,978,115.16","£1,257,360.22","£146,219.14","£404,234.81","£8,663,598.07","£3,037,553.46","£42,487,080.86","£2,866,604.46","£101,464.27","£2,968,068.73","£45,455,149.59",
Wilton Park Executive Agency,Executive Agency,"Foreign, Commonwealth & Development Office",24,20.63,24,20.63,23,20.3,15,13.81,1,1,0,0,87,76,0,0,0,0,0,0,0,0,0,0,87,76,"£610,930.60","£8,096.55",£0.00,£0.00,"£57,921.23","£45,113.40","£722,061.78",£0.00,£0.00,£0.00,"£722,061.78",
British Council,Executive Non-Departmental Public Body,"Foreign, Commonwealth & Development Office",8,8,154,147.33,707,685.51,312,307.03,103,101.61,0,0,"1,284","1,249",35,18.63,17,6.66,0,0,0,0,52,25.29,"1,336","1,275","£4,439,832.82","£750,636.08",£0.00,"£12,145.14","£1,252,379.58","£402,893.76","£6,857,887.38","£1,401,463.51",£0.00,"£1,401,463.51","£8,259,350.89",
Great Britain - China Centre,Executive Non-Departmental Public Body,"Foreign, Commonwealth & Development Office",0,0,1,1,5,5,3,2.13,1,1,0,0,10,9,0,0,1,1,0,0,0,0,1,1,11,10,"£31,987.42",£0.00,£0.00,£0.00,"£1,856.22","£3,310.32","£37,153.96",£0.00,£0.00,£0.00,"£37,153.96",
Marshall Aid Commemoration Commission,Executive Non-Departmental Public Body,"Foreign, Commonwealth & Development Office",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,
Westminster Foundation for Democracy,Executive Non-Departmental Public Body,"Foreign, Commonwealth & Development Office",0,0,7,6.3,23,22.8,20,19.56,3,3,0,0,53,52,2,1.8,0,0,0,0,0,0,2,1.8,55,53,"£206,546.37",£0.00,£0.00,£0.00,"£50,221.08","£21,776.86","£278,544.31","£5,229.60",£0.00,"£5,229.60","£283,773.91",
FCDO Services,Executive Agency,"Foreign, Commonwealth & Development Office",130,128.19,209,204.22,449,441.41,213,190.49,6,6,47,47,"1,054","1,017",12,12,2,2,105,99.26,0,0,119,113.26,"1,173","1,131","£4,129,688.64","£618,771.34","£2,200.00","£221,185.25","£854,354.76","£715,822.92","£6,542,022.91","£1,302,475.16",£0.00,"£1,302,475.16","£7,844,498.07",
Independent Commission for Aid Impact,Executive Non-Departmental Public Body,"Foreign, Commonwealth & Development Office",0,0,0,0,0,0,0,0,0,0,10,6,10,6,0,0,0,0,0,0,0,0,0,0,10,6,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,
Commonwealth Scholarship Commission,Executive Non-Departmental Public Body,"Foreign, Commonwealth & Development Office",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,
