Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll staff Agency staff (clerical/admin) Headcount,Non-payroll staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll staff Intermin managers Headcount,Non-payroll staff Interim managers Full-time Equivalent,Non-payroll staff Specialist Contractors Headcount,Non-payroll staff Specialist Contractors Full-time Equivalent,Non-payroll staff Consultants/consultancy Headcount,Non-payroll staff Consultants/consultancy Full-time Equivalent,Non-payroll staff Total Employees Headcount,Non-payroll staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll staff costs Salary,Payroll staff costs Allowances,Payroll staff costs Non-consolidated performance payments,Payroll staff costs Overtime,Payroll staff costs Employer pension contributions,Payroll staff costs Employer national insurance contributions,Payroll staff costs Total paybill for payroll staff,"Non-payroll staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll staff Total cost of consultants/consultancy,Non-payroll staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Ministry of Justice,Ministerial Department,Ministry of Justice,242,232.08697,739,720.31252,2354,2301.48219,1275,1238.9494,148,141.72419,26,26,4784,4660.55527,14,14,5,5,160,155.18,2,0.4,181,174.58,4965,4835.13527,18112118.6,493815.32,193900.4,155977.29,4741313.43,2682896.85,26380021.89,2001041.56,1190937.68,3191979.24,29572001.13,None
Criminal Injuries Compensation Authority,Executive Agency,Ministry of Justice,130,117.74165,79,74.31839,71,68.52162,19,13.75677,1,1,0,0,300,275.33843,0,0,0,0,0,0,0,0,0,0,300,275.33843,782198.34,0,0,0,0,0,782198.34,0,0,0,782198.34,None
HM Courts and Tribunals Service,Executive Agency,Ministry of Justice,10197,8891.22064,2551,2390.85075,2513,2346.5402,629,613.48991,79,77.51352,1,0.86486,15970,14320.47988,0,1911.32,0,0,0,38.26,0,0,0,1949.58,15970,16270.05988,29426930.99,427515.54,10446.77,634895.19,8050341.62,2755400.9,41305531.01,-1111999.09,-19276,-1131275.09,40174255.92,None
Legal Aid Agency,Executive Agency,Ministry of Justice,466,430.52509,326,304.84786,287,275.39896,93,92.07358,11,9.65001,0,0,1183,1112.4955,22,20.59,0,0,0,0,0,0,22,20.59,1205,1133.0855,3207573.06,9772.74,31365,30181.56,686295.96,265275.21,4230463.53,48667.67,0,48667.67,4279131.2,None
Her Majesty’s Prison & Probation Service,Executive Agency,Ministry of Justice,28627,27141.52787,6172,5914.53032,6377,6081.3157,737,720.52916,77,75.37554,11381,10463.74125,53371,50397.01984,930.39,930.39,8,8,1.4,1.4,45.8,45.8,985.59,985.59,54356.59,51382.60984,123469513.7,13707797.53,30214489.37,7522829.58,33899972.8,17275553.94,226090156.9,4302042.46,-2118944.25,2183098.21,228273255.1,None
The Office of the Public Guardian,Executive Agency,Ministry of Justice,930,843.20682,399,379.61591,183,173.43269,20,20,6,6,0,0,1538,1422.25542,141,129.3,0,0,0,0,0,0,141,129.3,1679,1551.55542,2614378.53,72919.78,46942.32,82231.05,682743.62,238526.71,3737742.01,330301.45,0,330301.45,4068043.46,None
Children and Family Court Advisory and Support Services,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,2036,1871.360979,2036,1871.360979,43,43,0,0,2,2,0,0,45,45,2081,1916.360979,8274257.76,0,0,0,0,0,8274257.76,377349.17,0,377349.17,8651606.93,None
Criminal Cases Review Commission,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,96,90.69,96,90.69,0,0,0,0,0,0,0,0,0,0,96,90.69,439672,0,1900,0,0,0,441572,0,0,0,441572,The Commission employees are not Civil Servants and therefore Civil Service grades are not applied to their roles
Judicial Appointments Commission,Executive Non-Departmental Public Body,Ministry of Justice,3,2.8,17,16.2,45,44.6,8,7.6,1,1,1,0.4,75,72.6,3,3,0,0,7,8,7,0.1,17,11.1,92,83.7,233719.49,2460.23,2075,1739.28,55540.9,24759.3,320294.2,98997.71,2352,101349.71,421643.91,None
Legal Services Board,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,36,32.95,36,32.95,0,0,0,0,0,0,0,0,0,0,36,32.95,231148,0,0,0,0,0,231148,0,2489,2489,233637,None
Parole Board,Executive Non-Departmental Public Body,Ministry of Justice,10,9.1,99,97.2,39,37.8,9,8.4,1,1,0,0,158,153.5,2,2,0,0,0,0,1,0.6,3,2.6,161,156.1,372873.78,4080.17,3820,11118.22,90239.74,40685.93,522817.84,13880.12,0,13880.12,536697.96,None
Youth Justice Board for England and Wales,Executive Non-Departmental Public Body,Ministry of Justice,3,2.1,13,12.4,41,39.97,35,35.38,2,2,0,0,94,91.85,3,3,0,0,0,0,0,0,3,3,97,94.85,325544.44,3002.76,-1358,0,87979.12,38833.55,454001.87,5362.58,0,5362.58,459364.45,None
