Organisation Name,,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
"Foreign, Commonwealth & Development Office",Ministerial Department,"Foreign, Commonwealth & Development Office",441,428.12,730,707.21,2695,"2,657.61",3036,"2,973.14",552,546.1,17,17,"7,471","7,329",68,68,0,0,37,36.15,9,8.44,114,112.5972222,"7,585","7,442","£30,503,494.18","£1,200,138.82","£171,369.14","£197,407.44","£7,846,775.86","£2,772,549.50","£42,691,734.94","£3,451,112.53","£263,815.19","£3,714,927.72","£46,406,662.66",
Wilton Park Executive Agency,Executive Agency,"Foreign, Commonwealth & Development Office",24,21.28,25,22.44,22,20.3,14,13.81,1,1,0,0,86,79,0,0,0,0,0,0,0,0,0,0,86,79,"£222,819.47","£8,494.35",£0.00,£0.00,"£67,274.51","£23,479.29","£322,067.62",£0.00,£0.00,£0.00,"£322,067.62",
British Council,Executive Non-Departmental Public Body,"Foreign, Commonwealth & Development Office",8,8,162,154.91,704,682.62,314,308.1,103,101.78,0,0,"1,291","1,255",69,24.57,17,8.25,0,0,0,0,86,32.82,"1,377","1,288","£4,457,031.64","£940,786.63",£0.00,"£13,183.11","£1,259,500.23","£418,368.03","£7,088,869.64","£1,663,127.74",£0.00,"£1,663,127.74","£8,751,997.38",
Great Britain - China Centre,Executive Non-Departmental Public Body,"Foreign, Commonwealth & Development Office",0,0,1,1,5,5,3,2.13,1,1,0,0,10,9,0,0,1,1,0,0,0,0,1,1,11,10,"£33,333.42",£0.00,£0.00,£0.00,"£1,856.22","£3,447.27","£38,636.91",£0.00,£0.00,£0.00,"£38,636.91",
Marshall Aid Commemoration Commission,Executive Non-Departmental Public Body,"Foreign, Commonwealth & Development Office",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,
Westminster Foundation for Democracy,Executive Non-Departmental Public Body,"Foreign, Commonwealth & Development Office",0,0,8,7.3,24,23.8,20,19.56,3,3,0,0,55,54,2,1.2,0,0,0,0,0,0,2,1.2,57,55,"£205,865.75",£0.00,£0.00,£0.00,"£51,189.49","£22,672.95","£279,728.19","£8,015.76",£0.00,"£8,015.76","£287,743.95",
FCDO Services,Executive Agency,"Foreign, Commonwealth & Development Office",133,131.19,213,208.23,445,439,221,199.41,6,6,47,47,"1,065","1,031",12,12,3,3,105,99.26,0,0,120,114.26,"1,185","1,145","£3,177,270.13","£732,661.13","£70,550.00","£161,195.13","£873,136.81","£356,772.77","£5,371,585.97","£1,375,939.59",£0.00,"£1,375,939.59","£6,747,525.56",
Independent Commission for Aid Impact,Executive Non-Departmental Public Body,"Foreign, Commonwealth & Development Office",0,0,0,0,0,0,0,0,0,0,10,6,10,6,0,0,0,0,0,0,0,0,0,0,10,6,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,
Commonwealth Scholarship Commission,Executive Non-Departmental Public Body,"Foreign, Commonwealth & Development Office",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,
