Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll staff Agency staff (clerical/admin) Headcount,Non-payroll staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll staff Intermin managers Headcount,Non-payroll staff Interim managers Full-time Equivalent,Non-payroll staff Specialist Contractors Headcount,Non-payroll staff Specialist Contractors Full-time Equivalent,Non-payroll staff Consultants/consultancy Headcount,Non-payroll staff Consultants/consultancy Full-time Equivalent,Non-payroll staff Total Employees Headcount,Non-payroll staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll staff costs Salary,Payroll staff costs Allowances,Payroll staff costs Non-consolidated performance payments,Payroll staff costs Overtime,Payroll staff costs Employer pension contributions,Payroll staff costs Employer national insurance contributions,Payroll staff costs Total paybill for payroll staff,"Non-payroll staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll staff Total cost of consultants/consultancy,Non-payroll staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Ministry of Justice,Ministerial Department,Ministry of Justice,233,222.88697,717,697.78667,2270,2219.85251,1178,1142.31163,145,138.83591,40,39.8,4583,4461.47369,24,24,5,5,169,162.68,2,0.4,200,192.08,4783,4653.55369,16466959.83,395370.65,259072.6,84608.35,4276021.15,1757242.76,23239275.34,1741440.43,579132.62,2320573.05,25559848.39,None
Criminal Injuries Compensation Authority,Executive Agency,Ministry of Justice,127,115.1957,83,78.31839,79,76.27837,18,12.75677,1,1,0,0,308,283.54923,0,0,0,0,0,0,0,0,0,0,308,283.54923,761669.16,0,0,0,0,0,761669.16,0,0,0,761669.16,None
HM Courts and Tribunals Service,Executive Agency,Ministry of Justice,10039,8722.61231,2568,2402.24452,2469,2296.86241,617,600.30135,79,77.83784,2,1.86486,15774,14101.72329,,2125.83,,,,38.7,,,0,2164.53,15774,16266.25329,29323136.17,399106.49,531052.65,655661.68,7853698.54,2821815.08,41584470.61,8782185.86,755318.55,9537504.41,51121975.02,None
Legal Aid Agency,Executive Agency,Ministry of Justice,468,431.47932,325,303.677,290,279.86943,91,90.45195,12,10.94167,0,0,1186,1116.41937,41,39.72,,,,,,,41,39.72,1227,1156.13937,3303972.94,14810.5,46635,63401.06,636696.53,237263.63,4302779.66,66759.41,0,66759.41,4369539.07,None
Her Majesty’s Prison & Probation Service,Executive Agency,Ministry of Justice,28479,27038.19198,6035,5793.29754,6280,5997.62701,724,706.51198,72,71.49459,11382,10480.32572,52972,50087.44882,1208.54,1208.54,7,7,1.26,1.26,1.03,1.03,1217.83,1217.83,54189.83,51305.27882,111824993.3,13194446.48,650222.25,6511494.88,32892726.87,13724057.49,178797941.3,4174482.82,796112.59,4970595.41,183768536.7,None
The Office of the Public Guardian,Executive Agency,Ministry of Justice,949,867.04085,403,383.80349,177,167.55701,20,20,4,4,0,0,1553,1442.40135,148,138.65,0,0,0,0,0,0,148,138.65,1701,1581.05135,2508503.85,28565.66,43608.34,98475.92,789276.91,210988.52,3679419.2,255478.04,0,255478.04,3934897.24,None
Children and Family Court Advisory and Support Services,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,2025,1851.217844,2025,1851.217844,46,46,0,0,2,2,0,0,48,48,2073,1899.217844,9245766.12,0,0,0,0,0,9245766.12,416936.93,0,416936.93,9662703.05,None
Criminal Cases Review Commission,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,92,86.58,92,86.58,0,0,0,0,0,0,0,0,0,0,92,86.58,416370,0,300,0,0,0,416670,0,0,0,416670,The Commission employees are not Civil Servants and therefore Civil Service grades are not applied to their roles
Judicial Appointments Commission,Executive Non-Departmental Public Body,Ministry of Justice,3,2.8,17,16.2,43,42.4,8,7.6,1,1,1,0.4,73,70.4,10,10,0,0,4,4,1,0.1,15,14.1,88,84.5,268484.89,2736.24,2330,594.06,55974.76,27259.86,357379.81,42237.94,1848,44085.94,401465.75,None
Legal Services Board,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,36,31.81,36,31.81,0,0,0,0,0,0,0,0,0,0,36,31.81,227732,0,0,0,0,0,227732,0,705,705,228437,None
