Year,Month,Organisation Name,Organisation Type,"Main , parent or sponsoring department",Payroll Staff; AO/AA; Headcount,Payroll Staff; AO/AA; Full-Time Equivalent,Payroll Staff; EO; Headcount,Payroll Staff; EO; Full-Time Equivalent,Payroll Staff; SEO/HEO; Headcount,Payroll Staff; SEO/HEO; Full-Time Equivalent,Payroll Staff; Grade 6/7; Headcount,Payroll Staff; Grade 6/7; Full-Time Equivalent,Payroll Staff; SCS; Headcount,Payroll Staff; SCS; Full-Time Equivalent,"Payroll Staff; Other, unknown, unspecified; Headcount","Payroll Staff; Other, unknown, unspecified; Full-Time Equivalent","Payroll Staff, Total; Headcount","Payroll Staff, Total; Full-Time Equivalent","Non-payroll staff, Admin and Clerical; Headcount","Non-payroll staff, Admin and Clerical; Full-Time Equivalent","Non-payroll staff, Interim Managers, Specialist Contractors & Medical; Headcount","Non-payroll staff, Interim Managers, Specialist Contractors & Medical; Full-Time Equivalent","Non-payroll staff, Other Contingent Labour; Headcount","Non-payroll staff, Other Contingent Labour; Full-Time Equivalent","Non-payroll staff, Total Contingent labour, Headcount","Non-payroll staff, Total Contingent labour, Full-Time Equivalent","Non-payroll staff, Consultancy; Number of Contracts",Grand Total (workforce numbers); Headcount,Grand Total (workforce numbers); Full-Time Equivalent,Payroll staff costs; Salary,Payroll staff costs; Allowances,Payroll staff costs; Non-Consolidated performance payments,Payroll staff costs; Overtime,Payroll staff costs; Employer Pension Contributions,Payroll staff costs; Employer National Insurance contributions,Payroll staff costs; Total paybill,Non-Payroll staff costs; Contingent labour,Non-Payroll staff costs; Consultancy,Non-Payroll staff costs; Total staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,
2022,October,"Department for Business, Energy and Industrial Strategy",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",74,72.77,372,361.41,2355,2325.66,2738,2667.9,337,322.54,0,0,5876,5750.28,5,5,189,161.6,0,0,194,166.6,5,6070,5916.9,23455662.83,871888.58,355750,90744.94,6582267.01,3041479.7,34397793.06,108401,2265730,2374131,36771924.06,
2022,October,Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",47,39.9,303,285.26,616,571.54,54,50.9,8,8,0,0,1028,955.6,0,0,0,0,0,0,0,0,0,1028,955.6,2697733.63,22061.15,0,3200.21,723918.94,295925.93,3742839.86,0,0,0,3742839.86,
2022,October,Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1430,1401.51,166,161.14,33,31.69,0,0,0,0,0,0,1629,1594.34,0,0,0,0,0,0,0,0,0,1629,1594.3,5217793,251539,0,13374978,1052600,877280,20774190,0,0,0,20774190,
2022,October,Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",10,9.19,26,24.82,201,195.15,81,79.71,3,3,0,0,321,311.87,13,11.9,0,0,0,0,13,11.9,0,334,323.8,1037705.69,14332.53,3973.63,0,281767.67,122936.43,1460715.95,104627,0,104627,1565342.95,
2022,October,Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0,1,1,16,16,26,24.6,5,5,0,0,48,46.6,0,0,0,0,0,0,0,0,0,48,46.6,215718,0,0,0,38049,17159,270926,0,0,0,270926,
2022,October,Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",432,381.48,329,310.38,349,336.93,99,97.29,7,7,0,0,1216,1133.08,1,1,43,43,0,0,44,44,0,1260,1177.1,2980732.65,100297.19,0,52308.27,814803.08,331843.66,4279984.85,608278.8,0,608278.8,4888263.65,
2022,October,Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",6,6,1,1,4,3.8,8,8,0,0,1,1,20,19.8,0,0,0,0,0,0,0,0,2,20,19.8,82272,216.66,0,0,22954.31,10132.9,115575.87,0,4200,4200,119775.87,
2022,October,HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",1730,1625.05,2343,2087.13,2281,2059.09,320,304.42,25,24.61,0,0,6699,6100.31,0,0,0,0,0,0,0,0,3,6699,6100.3,16505165.17,237431.45,18824.94,1476566.71,4461536.64,13923053.12,36622578.03,926328.2,13289.75,939617.95,37562195.98,
2022,October,Insolvency Service,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",508,471.18,201,190.42,774,742.4,155,151.08,12,12,0,0,1650,1567.07,0,0,0,0,0,0,0,0,0,1650,1567.1,4422993.42,23251.06,35600,14244.19,1204619.04,501271.62,6201979.33,1052647.77,0,1052647.77,7254627.1,
2022,October,UK Intellectual Property Office,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",224,204.64,447,417.78,616,593,399,378.05,24,23.7,0,0,1710,1617.17,0,0,0,0,0,0,0,0,0,1710,1617.2,5294143,200053,66644,155470,1515999,656137,7888446,916277,0,916277,8804723,
