Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll staff Agency staff (clerical/admin) Headcount,Non-payroll staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll staff Intermin managers Headcount,Non-payroll staff Interim managers Full-time Equivalent,Non-payroll staff Specialist Contractors Headcount,Non-payroll staff Specialist Contractors Full-time Equivalent,Non-payroll staff Consultants/consultancy Headcount,Non-payroll staff Consultants/consultancy Full-time Equivalent,Non-payroll staff Total Employees Headcount,Non-payroll staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll staff costs Salary,Payroll staff costs Allowances,Payroll staff costs Non-consolidated performance payments,Payroll staff costs Overtime,Payroll staff costs Employer pension contributions,Payroll staff costs Employer national insurance contributions,Payroll staff costs Total paybill for payroll staff,"Non-payroll staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll staff Total cost of consultants/consultancy,Non-payroll staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Ministry of Justice,Ministerial Department,Ministry of Justice,325,311.68775,799,775.27721,2628,2567.77688,1384,1346.85094,155,150.17254,25,25,5316,5176.76532,30,29.4,5,5,196,193.08,1,0.2,232,227.68,5548,5404.44532,17271615.32,565473.71,605213,123078.73,5086441.22,3574054.69,27225876.67,2367670.15,314472.49,2682142.64,29908019.31,None
Criminal Injuries Compensation Authority,Executive Agency,Ministry of Justice,118,107.20542,93,87.9265,86,84.46081,19,13.94594,2,2,0,0,318,295.53867,0,0,0,0,0,0,0,0,0,0,318,295.53867,809613.63,0,0,0,0,0,809613.63,0,0,0,809613.63,None
HM Courts and Tribunals Service,Executive Agency,Ministry of Justice,10272,8996.41486,2557,2398.93236,2671,2512.3702,646,630.46267,76,74.96397,0,0,16222,14613.14406,0,2327.24,0,0,0,52.82,0,0,0,2380.06,16222,16993.20406,31117032.93,494282.63,382378.03,1131004.26,8428496.43,3044765.77,44597960.05,6980602.87,49515.73,7030118.6,51628078.65,None
Legal Aid Agency,Executive Agency,Ministry of Justice,461,425.66188,329,307.51542,303,291.59896,95,93.92114,11,9.75278,0,0,1199,1128.45018,15,14.35,0,0,0,0,0,0,15,14.35,1214,1142.80018,3230005.86,10861.75,29885,57645.32,677366.79,262003.8,4267768.52,27615.17,0,27615.17,4295383.69,None
Her Majesty’s Prison & Probation Service,Executive Agency,Ministry of Justice,28261,26734.65369,6185,5930.78227,6350,6061.53933,752,734.35723,78,76.92381,11692,10773.32842,53318,50311.58475,992.45,992.45,0,0,0.4,0.4,1,1,993.85,993.85,54311.85,51305.43475,117218018.7,13615744.03,462873.36,7273541.28,34928141.71,13325000,186823319,4039408.57,94061.68,4133470.25,190956789.3,None
The Office of the Public Guardian,Executive Agency,Ministry of Justice,886,804.71248,376,357.87187,175,166.14269,22,22,3,3,0,0,1462,1353.72704,117,107,0,0,0,0,0,0,117,107,1579,1460.72704,2519201.4,80893.54,32140.16,33847.07,644847.74,225046.15,3535976.06,251364.58,0,251364.58,3787340.64,None
Children and Family Court Advisory and Support Services,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,2073,1915.72,2073,1915.72,115,115,1,1,2,2,0,0,118,118,2191,2033.72,8600673.34,0,0,0,0,0,8600673.34,692349.02,0,692349.02,9293022.36,None
Criminal Cases Review Commission,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,90,84.61,90,84.61,0,0,0,0,0,0,0,0,0,0,90,84.61,463959,0,300,0,0,0,464259,0,0,0,464259,The Commission employees are not Civil Servants and therefore Civil Service grades are not applied to their roles
Judicial Appointments Commission,Executive Non-Departmental Public Body,Ministry of Justice,3,2.8,14,13.2,48,47.4,8,7.6,1,1,1,0.4,75,72.4,19,17,0,0,3,3,1,0.1,23,20.1,98,92.5,246078.82,12136.96,2550,1813.47,58704.34,27111.34,348394.93,-258632.84,22860,-235772.84,112622.09,None
Legal Services Board,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,38,35.06,38,35.06,0,0,0,0,0,0,0,0,0,0,38,35.06,252299,0,0,0,0,0,252299,0,705,705,253004,None
Parole Board,Executive Non-Departmental Public Body,Ministry of Justice,10,8.7,96,93.2,38,37.2,9,8.4,1,1,0,0,154,148.5,0,0,0,0,0,0,1,0.6,1,0.6,155,149.1,360281.33,1943.54,23080,2730.03,92421.94,41075.66,521532.5,21027.68,0,21027.68,542560.18,None
Youth Justice Board for England and Wales,Executive Non-Departmental Public Body,Ministry of Justice,3,2.7,17,16.4,40,38.77,35,34.38,2,2,0,0,97,94.25,1,1,0,0,0,0,0,0,1,1,98,95.25,374261.57,9013.63,14784,0,96025.43,42289.59,536374.22,3166.81,0,3166.81,539541.03,None
