Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Department for Transport ,Ministerial Department,Department for Transport,165,152.18,259,250.19,761,745.96,762,739.19,137,134.33,0,0,"2,084","2,022",24,24,0,0,84,84,0,0,108,108,"2,192","2,130","£8,026,028.54","£93,863.93","£284,839.19","£74,979.06","£1,740,160.32","£1,038,906.71","£11,258,777.75","£1,207,961.62","£1,610,759.57","£2,818,721.19","£14,077,498.94",
Driver and Vehicle Licensing Agency,Executive Agency,Department for Transport,4463,3865.3,821,767.29,745,707.97,206,198.65,9,9,0,0,"6,244","5,548",0,0,0,0,1,0.95,0,0,1,0.95,"6,245","5,549","£10,924,760.00","£16,443.00","£67,175.00","£56,553.00","£2,300,726.00","£918,109.00","£14,283,766.00","£24,120.00","-£2,850.00","£21,270.00","£14,305,036.00",
Driver and Vehicle Standards Agency,Executive Agency,Department for Transport,1182,1088.63,2533,2387.46,722,708.33,86,84.75,4,4,0,0,"4,527","4,273",61,60.2,2,2,57,57,0,0,120,119.2,"4,647","4,392","£9,291,008.28","£597,991.57","£2,300.00","£139,961.63","£1,994,538.18","£970,261.40","£12,996,061.06","£536,291.96","-£78,637.94","£457,654.02","£13,453,715.08",
Maritime and Coastguard Agency,Executive Agency,Department for Transport,290,268.46,192,181.69,415,398.2,112,109.94,6,5.54,0,0,"1,015",964,13,13,0,0,0,0,0,0,13,13,"1,028",977,"£2,480,612.98","£234,654.55","£39,850.00","£84,959.54","£563,140.34","£293,555.69","£3,696,773.10","£54,739.15",,"£54,739.15","£3,751,512.25",
Vehicle Certification Agency,Executive Agency,Department for Transport,39,35.14,34,31.74,73,70,8,8,1,1,0,0,155,146,4,4,0,0,0,0,0,0,4,4,159,150,"£436,995.00","£10,296.00","£10,000.00","£29,501.00","£86,702.00","£48,295.00","£621,789.00","£19,839.00",,"£19,839.00","£641,628.00",
British Transport Police Authority,Executive Non-Departmental Public Body,Department for Transport,0,0,0,0,5,5,5,4.6,3,3,0,0,13,13,0,0,0,0,0,0,0,0,0,0,13,13,"£49,857.00","£3,973.00",,,"£5,984.00","£4,633.00","£64,447.00",£0.00,"£13,792.00","£13,792.00","£78,239.00",
High Speed 2,Executive Non-Departmental Public Body,Department for Transport,86,85.01,31,31,323,322.72,257,255.68,146,146,136,129.8,979,970,43,43,181,181,136,136,0,0,360,360,"1,339","1,330","£6,466,941.67",£0.00,£0.00,£0.00,"£414,502.19","£559,229.90","£7,440,673.76","£2,876,144.46",,"£2,876,144.46","£10,316,818.22",
Northern Lighthouse Board,Executive Non-Departmental Public Body,Department for Transport,28,9.6,19,19,64,62.8,12,11.8,4,4,71,65.7,198,173,8,3.8,0,0,0,0,0,0,8,3.8,206,177,"£263,849.00","-£20,549.16",£0.00,"£46,230.63","£107,857.66","£30,663.58","£428,051.71","£33,548.36",,"£33,548.36","£461,600.07",
