Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)",
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,
Department for Transport ,Ministerial Department,Department for Transport,147,131.16,327,318.44,934,916.08,926,903.51,162,157.84,0,0,"2,496","2,427",21,20.62,0,0,63,62.82,0,0,84,83.44,"2,580","2,510","£9,541,635.96","£134,283.18","-£434,911.10","£80,171.08","£2,057,670.32","£1,115,621.70","£12,494,471.14","£1,013,332.03","£4,788,787.80","£5,802,119.83","£18,296,590.97",,
Driver and Vehicle Licensing Agency,Executive Agency,Department for Transport,4097,3479.13,825,777.11,822,788.84,237,228.87,7,7,0,0,"5,988","5,281",0,0,0,0,1,0.71,0,0,1,0.71,"5,989","5,282","£10,812,060.00","£159,368.00","£36,203.00","£79,913.00","£2,227,033.00","£1,005,376.00","£14,319,953.00","£14,958.00","£11,871.00","£26,829.00","£14,346,782.00",,
Driver and Vehicle Standards Agency,Executive Agency,Department for Transport,1100,1033.52,2701,2531.26,812,793.09,97,96.55,6,6,0,0,"4,716","4,460",57,57,13,12.6,31,30.2,0,0,101,99.8,"4,817","4,560","£9,858,195.81","£698,724.57","£40,720.91","£264,658.65","£2,087,170.79","£1,094,714.26","£14,044,184.99","£521,277.82",£0.00,"£521,277.82","£14,565,462.81",,
Maritime and Coastguard Agency,Executive Agency,Department for Transport,269,251.56,255,246.35,450,432.3,142,138.44,7,6.65,0,0,"1,123","1,075",9,9,0,0,0,0,0,0,9,9,"1,132","1,084","£2,857,437.00","£367,921.25","£11,673.00","£91,080.65","£643,390.11","£344,406.88","£4,315,908.89","£49,335.13",,"£49,335.13","£4,365,244.02",,
Vehicle Certification Agency,Executive Agency,Department for Transport,37,33.86,40,37.14,86,82.6,12,11.2,1,1,0,0,176,166,1,1,0,0,0,0,0,0,1,1,177,167,"£517,926.00","£11,003.00","£13,930.00","£53,669.00","£100,124.00","£60,806.00","£757,458.00","£1,343.00",,"£1,343.00","£758,801.00",,
British Transport Police Authority,Executive Non-Departmental Public Body,Department for Transport,0,0,0,0,3,3,4,3.69,3,3,0,0,10,10,2,2,0,0,0,0,0,0,2,2,12,12,"£51,114.00","£3,041.00",,,"£6,495.00","£5,728.00","£66,378.00","£19,044.00","-£37,441.00","-£18,397.00","£47,981.00",,
High Speed 2,Executive Non-Departmental Public Body,Department for Transport,77,77,73,73,387,384.66,463,461.99,212,210.8,0,0,"1,212","1,207",13,13,83,83,297,295.97,0,0,393,391.97,"1,605","1,599","£8,419,160.49",£0.00,£0.00,£0.00,"£677,504.72","£762,986.63","£9,859,651.84","£1,030,586.68",,"£1,030,586.68","£10,890,238.52",,
Northern Lighthouse Board,Executive Non-Departmental Public Body,Department for Transport,23,5.31,17,17,60,59.15,15,11.8,3,3,73,67.6,191,164,15,10.27,0,0,0,0,0,0,15,10.27,206,174,"£585,470.60","£10,062.34",£0.00,"£24,449.17","£90,027.13","£60,243.17","£770,252.41","£58,299.38",,"£58,299.38","£828,551.79",,
