Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,138,133.70,443,432.18,807,790.62,1337,1314.83,325,319.20,1862,1855.62,"4,912","4,846",8,7.2,153,141.2,190,182.8,1,1,352,332.2,"5,264","5,178","£17,195,432.28","£584,517.49","£318,988.06","£112,201.12","£3,673,248.59","£2,036,001.18","£23,920,388.72","3,117,155.32","789,209.72","£3,906,365.04","£27,826,753.76"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.56,3,3.00,8,7.20,5,5.00,0,0.00,1,1.00,18,17,0,0,0,0,0,0,0,0,0,0,18,17,"£59,681.90",£833.35,£0.00,£0.00,"£13,213.93","£6,661.97","£80,391.15",£0.00,£0.00,£0.00,"£80,391.15"
Crown Commercial Services,Executive Agency,Cabinet Office,24,22.09,98,92.69,307,294.50,189,180.20,25,23.00,0,0.00,643,612,29,29,0,0,0,0,0,0,29,29,672,641,"£2,179,838.37","£41,093.40","£288,583.00",£777.97,"£441,018.70","£284,842.08","£3,236,153.52","£436,204.98","£190,926.75","£627,131.73","£3,863,285.25"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,81,75.00,402,367.00,244,228.00,84,83.00,18,18.00,0,0.00,829,771,19,19,0,0,10,4,0,0,29,23,858,794,"£1,993,964.55","£25,623.50",£0.00,"£7,583.29","£407,275.02","£201,548.69","£2,635,995.05","£73,383.44",£0.00,"£73,383.44","£2,709,378.49"
