Organisation name,Organisation type,"Main, parent or sponsoring department",AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,Grand Total,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,Grand total Paybill/Staffing (payroll and non-payroll) costs,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
"Department for Business, Energy & Industrial Strategy (BEIS)",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",134,128.3,377,370,1258,1239.2,1336,1301.6,204,198.1,,,3309,3237.1,5,5,,,61,60.1,,,66,65,"3,375","3,302","£12,888,094.83","£433,311.69","£130,026.35","£43,860.35","£2,677,360.47","£1,531,308.87","£17,703,962.56","£486,408.87","£1,506,613.55","£1,993,022.42","£19,696,984.98",
Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",61,54.9,268,245.6,465,426.4,40,36.9,5,5,2,1.6,841,770.4,12,12,,,,,,,12,12,853,782,"£2,399,166.81","£18,400.52",£0.00,"£20,643.50","£435,086.16","£213,284.49","£3,086,581.48","£113,918.36","£193,202.80","£307,121.16","£3,393,702.64",
Arts & Humanities Research Council (AHRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",9,8.6,54,52.7,83,78.7,20,19.8,1,1,,,167,160.8,,,,,14,14,,,14,14,181,175,"£481,513.21","£11,113.39","£2,783.00",£702.05,"£117,325.31","£49,687.20","£663,124.16","£118,779.28",£0.00,"£118,779.28","£781,903.44",
Biotechnology & Biological Sciences Research Council (BBSRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",34,30.1,48,44.4,151,143.7,44,41.7,11,10.5,,,288,270.4,,,,,,,,,0,0,288,270,"£867,535.29","£21,948.95","£67,035.16","£1,217.76","£223,379.01","£100,123.88","£1,281,240.05",£0.00,£0.00,£0.00,"£1,281,240.05",Pay Award and Arrears processed this month 
Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1109,1092.8,286,280.9,148,146.5,21,20.8,6,6,,,1570,1547,,,,,,,,,0,0,"1,570","1,547","£4,657,575.90","£155,450.24","£35,594.25","£571,091.45","£850,047.32","£598,078.18","£6,867,837.34",£0.00,£0.00,£0.00,"£6,867,837.34",
Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",15,14.6,23,22.2,143,142.1,52,51.5,4,4,,,237,234.4,5,5,,,8,3.5,,,13,9,250,243,"£730,830.31","£12,938.87",£0.00,£0.00,"£155,930.18","£79,843.79","£979,543.15","£93,182.80",,"£93,182.80","£1,072,725.95",
Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0,1,1,6,6,17,16.5,5,4.9,,,29,28.4,,,,,,,,,0,0,29,28,"£162,292.62",,,,"£26,217.31","£15,702.43","£204,212.36",,,£0.00,"£204,212.36",
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",465,413,237,223,206,200,41,40,6,6,,,955,882,1,1,,,,,22,22,23,23,978,905,"£1,987,835.45","£29,396.09","£2,000.00","£30,436.08","£414,700.26","£191,807.42","£2,656,175.30","£2,886.66","£194,593.88","£197,480.54","£2,853,655.84",
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",4,4,2,2,4,3.7,7,7,1,1,,,18,17.7,,,,,,,1,1,1,1,19,19,"£65,366.93",,"£1,500.00",,"£14,094.50","£7,521.41","£88,482.84",,"£5,400.00","£5,400.00","£93,882.84",
