Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary (£),Payroll Staff Costs Allowances (£),Payroll Staff Costs Non-consolidated performance payments (£),Payroll Staff Costs Overtime (£),Payroll Staff Costs Employer pension contributions (£),Payroll Staff Costs Employer national insurance contributions (£),Payroll Staff Costs Total paybill for payroll staff (£),"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors (£)",Non-payroll Staff Total cost of consultants/consultancy (£),Non-payroll Staff Total non-payroll (CCL) staff costs(£),Grand Total paybill/staffing (payroll and non-payroll) costs (£),Comments
Foreign and Commonwealth Office,Ministerial Department,Foreign and Commonwealth Office,574,559,715,699,1576,1563,1222,1195,382,377,0,0,4469,4393,61,61,,,35,34,6,6,102,101,4571,4494,12445469.38,939044.09,224816.44,242107.23,7593273.15,887141.18,22331851.47,351970.79,177199.43,529170.22,22861021.69,The allowance figure does not include any compensatory allowances paid to staff due to their overseas commitments.
Wilton Park Executive Agency,Executive Agency,Foreign and Commonwealth Office,35,32.85,18,16.76,14,11.75,9,9,1,1,4,4,81,75,0,0,0,0,0,0,0,0,0,0,81,75,165206,10094,0,5459,31892,13289,225940,4063,0,4063,230003,
British Council,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,14,13.83,194,188.16,771,755.05,277,274.73,67,66.2,0,0,1323,1298,84,83.06,87,85.61,0,0,0,0,171,168.67,1494,1467,4127651.94,965792.02,10578.17,22885.72,839165.12,317922.43,6283995.4,0,0,0,6283995.4,
Great Britain - China Centre,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,0,0,0,0,3,2.5,2,2,1,1,0,0,6,6,0,0,0,0,0,0,0,0,0,0,6,6,20950.73,647.67,0,0,2150.32,2178.31,25927.03,0,0,0,25927.03,
Marshall Aid Commemoration Commission,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Westminster Foundation for Democracy,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,0,0,6,6,10,10,2,2,2,2,0,0,20,20,0,0,0,0,0,0,0,0,0,0,20,20,78138.17,0,0,0,12349.97,7756.77,98244.91,0,0,0,98244.91,
FCO Services,Executive Agency,Foreign and Commonwealth Office,168,166.52,187,180.98,479,462.93,144,141.58,6,5.57,0,0,984,958,52,51.59,12,12,199,197.4,0,0,263,260.99,1247,1219,2670251.5,570591.37,57870,248971.43,495438.34,261073.65,4304196.29,2473519.04,0,2473519.04,6777715.33, 
