Year,Month,Organisation name,Organisation type,"Main, parent or sponsoring department:",Payroll Staff; AO/AA; Headcount,Payroll Staff; AO/AA; Full-Time Equivalent,Payroll Staff; EO; Headcount,Payroll Staff; EO; Full-Time Equivalent,Payroll Staff; SEO/HEO; Headcount,Payroll Staff; SEO/HEO; Full-Time Equivalent,Payroll Staff; Grade 6/7; Headcount,Payroll Staff; Grade 6/7; Full-Time Equivalent,Payroll Staff; SCS; Headcount,Payroll Staff; SCS; Full-Time Equivalent,"Payroll Staff; Other, unknown, unspecified; Headcount","Payroll Staff; Other, unknown, unspecified; Full-Time Equivalent","Payroll Staff, Total; Headcount","Payroll Staff, Total; Full-Time Equivalent","Non-payroll staff, Admin and Clerical; Headcount","Non-payroll staff, Admin and Clerical; Full-Time Equivalent","Non-payroll staff, Interim Managers, Specialist Contractors & Medical; Headcount","Non-payroll staff, Interim Managers, Specialist Contractors & Medical; Full-Time Equivalent","Non-payroll staff, Other Contingent Labour; Headcount","Non-payroll staff, Other Contingent Labour; Full-Time Equivalent",Headcount,Full-Time Equivalent,"Non-payroll staff, Consultancy; Number of Contracts",Grand Total (workforce numbers); Headcount,Grand Total (workforce numbers); Full-Time Equivalent,Payroll staff costs; Salary,Payroll staff costs; Allowances,Payroll staff costs; Non-Consolidates performance payments,Payroll staff costs; Overtime,Payroll staff costs; Employer Pension Contributions,Payroll staff costs; Employer National Insurance contributions,Total payroll staff costs; Total paybill,Non-Payroll staff costs; Contingent labour,Non-Payroll staff costs; Consultancy,Non-Payroll staff costs; Total staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Notes
2022,May,"Department for Business, Energy and Industrial Strategy",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",69,67.17,411,401.32,2468,2434.23,2628,2558.27,330,316.6,0,0,5906,5777.59,10,10,269,211.14,0,0,279,221.1,0,6185,5998.7,"£22,517,439.74","£925,437.51","£57,466.45","£63,042.91","£6,297,615.78","£2,859,368.75","£32,720,371.14","£1,017,299.00","£361,005.00","£1,378,304.00","£34,098,675.14",Unable to provide the  number of Consultancy/Consultants contracts. On going discussions between HR & Finance to provide this data
2022,May,Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",47,39.9,306,287.11,599,557.11,58,53.56,7,7,0,0,1017,944.68,0,0,0,0,0,0,0,0,0,1017,944.7,"£2,591,944.05","£21,557.78","£38,310.00","£3,361.44","£700,661.83","£288,243.92","£3,644,079.02",£0.00,£0.00,£0.00,"£3,644,079.02",
2022,May,Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1413,1385.2,167,162.85,32,30.4,0,0,0,0,0,0,1612,1578.45,0,0,0,0,0,0,0,0,0,1612,1578.5,"£5,004,322.38","£100,386.80","£23,026.32","£807,766.66","£1,076,970.11","£736,570.02","£7,749,042.29",£0.00,£0.00,£0.00,"£7,749,042.29",
2022,May,Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",10,8.8,29,27.17,194,189.17,75,75,3,3,0,0,311,303.14,7,6.5,6,6,0,0,13,12.5,0,324,315.6,"£1,029,263.77","£18,652.40","£13,021.76",£808.05,"£277,272.19","£124,564.85","£1,463,583.02","£57,297.13",£0.00,"£57,297.13","£1,520,880.15",
2022,May,Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0,1,1,16,14.9,24,21.43,5,5,0,0,46,42.33,0,0,0,0,0,0,0,0,0,46,42.3,"£157,250.00",£0.00,£0.00,£0.00,"£42,419.00","£17,302.00","£216,971.00",£0.00,£0.00,£0.00,"£216,971.00",
2022,May,Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",455,402.51,319,300.45,336,324.36,92,90.47,6,6,0,0,1208,1123.79,11,11,27,27,0,0,38,38,0,1246,1161.8,"£2,923,677.48","£75,184.75",£0.00,"£34,854.14","£794,055.36",£0.00,"£3,827,771.73","£433,475.93",£0.00,"£433,475.93","£4,261,247.66",
2022,May,Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",5,5,1,1,4,3.72,9,9,0,0,1,1,20,19.72,0,0,0,0,0,0,0,0,2,20,19.7,"£86,677.65",£216.66, £                              -  , £                -  ,"£3,275.00","£10,784.65","£100,953.96",£0.00,"£3,275.00","£3,275.00","£104,228.96",
2022,May,HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",1697,1592.69,2375,2115.3,2246,2028.45,316,300.96,27,27,0,0,6661,6064.39,0,0,0,0,0,0,0,0,2,6661,6064.4,"£15,918,048.69","£259,885.73",£0.00,"£2,162,947.21","£4,302,440.39","£13,995,931.25","£36,639,253.27","£299,328.14","£13,403.79","£312,731.93","£36,951,985.20",
2022,May,Insolvency Service,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",563,525.29,203,193.49,774,743.61,147,143.18,12,12,0,0,1699,1617.57,0,0,0,0,0,0,0,0,0,1699,1617.6,"£4,489,684.60","£21,011.77",£250.00,"£1,956.07","£1,225,865.05","£502,378.52","£6,241,146.01","£845,118.37",£0.00,"£845,118.37","£7,086,264.38",
2022,May,UK Intellectual Property Office,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",244,222.97,481,452.13,596,572.59,380,359.18,24,23.7,0,0,1725,1630.57,0,0,0,0,0,0,0,0,0,1725,1630.6,"£5,056,139.00","£209,292.00","£91,641.00","£91,740.00","£1,431,449.00","£612,191.00","£7,492,452.00",£0.00,£0.00,£0.00,"£7,492,452.00",
