Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary (£),Payroll Staff Costs Allowances (£),Payroll Staff Costs Non-consolidated performance payments (£),Payroll Staff Costs Overtime (£),Payroll Staff Costs Employer pension contributions (£),Payroll Staff Costs Employer national insurance contributions (£),Payroll Staff Costs Total paybill for payroll staff (£),"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors (£)",Non-payroll Staff Total cost of consultants/consultancy (£),Non-payroll Staff Total non-payroll (CCL) staff costs (£),Grand Total paybill/staffing (payroll and non-payroll) costs (£),Comments
Foreign and Commonwealth Office,Ministerial Department,Foreign and Commonwealth Office,605,588.4,722,706.4,1607,1592.8,1216,1189,403,400,0,0,4553,4477,54,54,0,0,36,36,6,6,96,96,4649,4573,13299991.04,964708.33,56868.52,160337.33,2548419.89,1009419.54,18039744.65,404638.02,123398.05,528036.07,18567780.72,The allowance figure does not include any compensatory allowances paid to staff due to their overseas commitments.
Wilton Park Executive Agency,Executive Agency,Foreign and Commonwealth Office,35,33.25,18,16.76,14,11.75,9,9,1,1,3,3,80,75,0,0,0,0,0,0,0,0,0,0,80,75,167595,8007,650,1837,31447,12998,222534,990,0,990,223524,
British Council,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,10,9.83,191,184.66,778,761.45,282,276.23,67,66.2,0,0,1328,1298,86,85.06,88,86.61,0,0,0,0,174,171.67,1502,1470,4125404.66,830999.61,6425,16880.72,848399.1,311087.05,6139196.14,833284.57,0,833284.57,6972480.71,
Great Britain - China Centre,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,0,0,0,0,3,2.5,2,2,1,1,0,0,6,6,0,0,0,0,0,0,0,0,0,0,6,6,20432.12,647.67,0,0,2150.32,2132.9,25363.01,,0,0,25363.01,
Marshall Aid Commemoration Commission,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Westminster Foundation for Democracy,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,0,0,6,6,10,10,2,2,2,2,0,0,20,20,0,0,0,0,0,0,0,0,0,0,20,20,75177.4,0,0,0,11730.87,5169.15,92077.42,0,0,0,92077.42,
FCO Services,Executive Agency,Foreign and Commonwealth Office,167,165.52,189,183.17,474,460.64,141,139.39,6,5.57,0,0,977,954,55,54.59,11,11,208,206.4,0,0,274,271.99,1251,1226,2524472.14,446201.92,30283.33,187101.54,494172.95,232677.58,3914909.46,2105602.15,0,2105602.15,6020511.61,
