,,,Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,Grand Total (workforce numbers),,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,,
Organisation name,Organisation type,"Main, parent or sponsoring department: ",AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,Total Employees,,Agency staff (clerical/admin),,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total Employees,,,,,,,,,,,,,,,Comments(NB: These will be published alongside your row of information),Notes for Cabinet Office(Not for publication)
,,,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Salary,Allowances,Non-consolidated performance payments,Overtime, Employer pension contributions, Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Total monthly cost of consultants/consultancy,Total non-payroll (CCL) staff costs,,,
ACAS,Crown Non Departmental Public Body,"Department for Business, Innovation and Skills",51,44.7,283,260.2,487,446.5,40,37.7,2,2,2,1.2,865,792.3,19,19,0,0,0,0,4,4,23,23,888,815,"£2,123,619.77","£18,367.80",£0.00,"£14,464.91","£432,693.16","£162,207.14","£2,751,352.78","£28,928.58","£42,218.75","£71,147.33","£2,822,500.11",,
Arts and Humanities Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",5,4.68,32,30.4,56,53.71,11,10.87,3,3,0,0,107,102.66,0,0,0,0,3,2.5,0,0,3,3,110,105,"£286,331.00","£1,359.20","£1,000.00",£0.00,"£75,025.00","£20,854.00","£384,569.20","£20,036.31",£0.00,"£20,036.31","£404,605.51",,
Biotechnology and Biological Sciences Research Council,Crown Non Departmental Public Body,"Department for Business, Innovation and Skills",37,32.56,50,45.79,155,150.03,45,43.62,11,10.31,0,0,298,282.31,4,2.8,0,0,0,0,0,0,4,3,302,285,"£819,954.91","£28,079.86","£5,250.00","£1,759.77","£207,739.64","£64,678.15","£1,127,462.33","£7,421.75",£0.00,"£7,421.75","£1,134,884.08",,
"Business, Innovation and Skills (Core)",Ministerial Department,"Department for Business, Innovation and Skills",110,103.99,322,311.62,938,914.57,971,929.61,188,179.97,0,0,"2,529","2,439.76",18,18,3,3,37,37,12,11.26,70,69,"2,599","2,509","£8,749,295.08","£338,049.28","£55,750.00","£51,578.21","£1,953,302.49","£826,024.31","£11,973,999.37","£240,370.00","£192,559.00","£432,929.00","£12,406,928.37",,
"Business, Innovation and Skills (UKTI)",Non-Ministerial Department,"Department for Business, Innovation and Skills",40,38.68,83,82.07,258,253.41,181,179.13,23,21.83,7,7,592,582.12,18,18,1,1,79,78.65,11,11,109,109,701,691,"£1,700,811.74","£36,623.42","£10,250.00","£4,046.45","£361,888.23","£152,726.19","£2,266,346.03","£286,007.00","£55,262.00","£341,269.00","£2,607,615.03",,
Companies House,Executive Agency,"Department for Business, Innovation and Skills",454,397,261,248,132,128,33,32,5,5,0,0,885,810,3,3,0,0,0,0,17,17,20,20,905,830,"£1,758,168.69","£29,824.62",£0.00,"£44,860.00","£369,655.68","£126,189.14","£2,328,698.13","£11,806.67","£176,091.63","£187,898.30","£2,516,596.43",,
Competition Service,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",4,4,1,1,6,5.6,3,3,1,1,0,0,15,14.6,0,0,0,0,0,0,0,0,0,0,15,15,"£55,003.88",£0.00,"£7,465.00",£0.00,"£12,181.79","£5,981.62","£80,632.29",£0.00,£0.00,£0.00,"£80,632.29",,
Construction Industry Training Board,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",455,425.36,645,629.76,334,328.36,22,22,5,5,0,0,"1,461","1,410.48",79,61.16,0,0,52,43.54,1,0.78,132,105,"1,593","1,516","£3,579,196.56","£182,752.55",£0.00,"£55,815.53","£462,258.29","£302,851.17","£4,582,874.10","£448,880.70","£6,544.92","£455,425.62","£5,038,299.72",,
ECITB,NDPB,BIS,19,16,38,36,19,19,5,5,0,0,1,0.01,82,76.01,0,0,0,0,0,0,0,0,0,0,82,76,"£260,034.00","£24,866.00",£0.00,£0.00,"£63,028.00","£26,348.00","£374,276.00",£0.00,£0.00,£0.00,"£374,276.00",,
Economic and Social Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",18,15.01,34,32.76,79,74.28,16,15.91,2,1.95,0,0,149,139.91,0,0,0,0,2,2,0,0,2,2,151,142,"£374,400.00","£4,871.00","£4,600.00",£0.00,"£92,485.00","£28,834.00","£505,190.00","£4,369.68",£0.00,"£4,369.68","£509,559.68",,
Engineering and Physical Sciences Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",40,37.36,35,33.03,136,127.43,33,31.91,3,3,0,0,247,232.73,1,1,0,0,2,2,0,0,3,3,250,236,"£619,835.00","£18,145.00","£1,700.00","£2,557.00","£160,026.00","£44,482.00","£846,745.00","£17,970.12",£0.00,"£17,970.12","£864,715.12",,
Higher Education Funding Council for England,Executive Non Departmental Public Body,"Department for Business, Innovation & Skills",27,23,9,8,156,139,80,74,32,31,0,0,304,275,11,11,0,0,1,1,0,0,12,12,316,287,"£946,381.42","£2,438.04","£105,995.00","£4,601.50","£186,461.23","£92,292.18","£1,338,169.37","£21,525.05","£15,400.44","£36,925.49","£1,375,094.86",Included within the cost of consultants is project management of ROBO project,
Insolvency Service,Executive Agency,"Department for Business, Innovation and Skills",524,483.71,232,218.73,648,619.35,92,91.84,8,7.68,0,0,"1,504","1,421.30",97,97,0,0,16,16,0,0,113,113,"1,617","1,534","£3,656,217.55","£9,795.83",£0.00,"£7,309.81","£753,040.93","£284,110.96","£4,710,475.08","£547,360.32",£0.00,"£547,360.32","£5,257,835.40",,
Land Registry,Non-Ministerial Department,"Department for Business, Innovation & Skills",302,281.38,"2,249","1,977.20","1,727","1,585.09",194,179.22,14,14,0,0,"4,486","4,036.89",0,0,24,24,0,0,0,0,24,24,"4,510","4,061","£9,709,821.32","£171,119.65",£0.00,"£542,569.42","£2,033,363.19","£755,225.69","£13,212,099.27","£464,072.47","£158,146.00","£622,218.47","£13,834,317.74",,Agreed overtime to address operations backlog.
Medical Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",229,210,399,382,"1,071","1,048.00",142,136,88,83,23,12,"1,952","1,871.00",4,4,11,11,3,3,0,0,18,18,"1,970","1,889","£5,509,844.00","£333,901.00",£0.00,"£12,481.00","£716,941.00","£483,764.00","£7,056,931.00","£332,187.00",£0.00,"£332,187.00","£7,389,118.00",,
Met Office,Executive Agency,"Department for Business, Innovation and Skills",0,0,0,0,0,0,0,0,0,0,"2,154","2,072.60","2,154","2,072.60",149,119.4,0,0,0,0,0,0,149,119,"2,303","2,192","£5,605,796.00","£350,928.00",£0.00,"£164,667.00","£1,251,115.00","£466,868.00","£7,839,374.00","£665,071.00",£0.00,"£665,071.00","£8,504,445.00",,"Met Office do not have Grades, but instead have generic Roles"
National Measurement and Regulation Office,Executive Agency,"Department for Business, Innovation and Skills",4,3.29,24,23.5,40,38.33,14,12.9,0,0,0,0,82,78.02,3,2.2,0,0,0,0,0,0,3,2,85,80,"£243,927.96",£440.32,"£3,200.00",£205.41,"£47,778.57","£19,484.85","£315,037.11","£5,863.65",£0.00,"£5,863.65","£320,900.76",,
Natural Environment Research Council,Executive Non-Departmental Public Body,Dept for Business Innovation & Skills,223,201,380,356,"1,037",987,332,318,23,22.5,618,601,"2,613","2,485.50",6,6,0,0,1,1,0,0,7,7,"2,620","2,493","£6,884,063.78","£199,622.72","£31,970.00","£28,972.04","£1,714,985.25","£547,101.12","£9,406,714.91","£134,022.10",£0.00,"£134,022.10","£9,540,737.01",,
