Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Foreign and Commonwealth Office,Ministerial Department,Foreign and Commonwealth Office,668,651.47,728,716,1606,1592.25,1194,1169.47,404,401.48,,,"4,600","4,531",40,40,,,38,37.25,6,6,84,83.25,"4,684","4,614","£12,012,989.81","£977,644.76","£39,658.51","£221,637.00","£2,568,545.41","£915,842.26","£16,736,317.75","£312,463.27","£ 41,272.92. ","£312,463.27","£17,048,781.02",The allowance figure does not include any compensatory allowances paid to staff due to their overseas commitments
Wilton Park Executive Agency,Executive Agency,Foreign and Commonwealth Office,35,32.06,17,15.41,13,11.95,9,9,1,1,4,4,79,73,,,,,,,,,0,0,79,73,"£160,460.00","£9,914.00",£0.00,"£2,211.00","£28,670.00","£12,493.00","£213,748.00",71,,£71.00,"£213,819.00",
British Council,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,14,14,168,160.51,758,741.55,282,279.26,56,55.2,,,"1,278","1,251",117,115.24,79,76.69,,,,,196,191.93,"1,474","1,442","£4,007,349.55","£857,691.39","£12,935.00","£21,342.89","£822,675.02","£308,636.59","£6,030,630.44",,,£0.00,"£6,030,630.44",
Great Britain - China Centre,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,3,2.5,2,2,1,1,,,6,6,,,,,,,,,0,0,6,6,"£21,277.79",£647.67,,,"£2,793.69","£2,032.93","£26,752.08",,,£0.00,"£26,752.08",
Marshall Aid Commemoration Commission,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,
Westminster Foundation for Democracy,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,6,6,9,9,2,2,1,1,,,18,18,,,,,,,,,0,0,18,18,"£62,396.14",,,,"£10,006.62","£5,919.12","£78,321.88",,,£0.00,"£78,321.88",
FCO Services,Executive Agency,Foreign and Commonwealth Office,153,151.04,198,193.63,467,449.48,138,137.19,9,9,0,0,965,965,61,61,13,13,254,254,0,0,328,328,"1,293","1,268","£2,460,007.96","£462,261.67","£8,300.00","£301,445.25","£469,770.00","£245,891.73","£3,947,676.61","£2,901,309.71",0,"£2,901,309.71","£6,848,986.32","No contingent labour costs available, Apr costs used as indicative value"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
