Organisation name,Organisation type,"Main, parent or sponsoring department: ",Payroll staff,.,.,.,.,.,.,.,.,.,.,.,.,.,Number of non-payroll staff (contingent labour and consultants/consultancy),.,.,.,.,.,.,.,.,.,Grand Total (workforce numbers),.,Payroll staff costs,.,.,.,.,.,.,Non-Payroll staff (contingent labour/consultancy - CCL) costs,.,.,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments and notes,
.,.,.,Admin officers/admin assistants,.,Executive Officers,.,Higher Executive Officers/Senior Executive Officers,.,Grade 6/7,.,Senior Civil Service,.,"Other, unknown, or unspecified",.,Total Employees,.,Agency staff (clerical/admin),.,Interim managers,.,Specialist Contractors,.,Consultants/consultancy,.,Total,.,.,.,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions*,Total paybill for payroll staff,"Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Total cost of consultants/consultancy,Total non-payroll (CCL) staff costs,.,.,
.,.,.,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,.,.,.,.,.,.,.,.,.,.,.,.,
HM Land Registry,Non-Ministerial Department,"Department for Business, Innovation & Skills",1016,986.24,2133,1858.67,1762,1599.73,211,194.97,19,18.92,0,0,"5,141","4,658.53",0,0,26,26,0,0,0,0,26,26,"5,167","4,685","£10,874,326.64","£233,461.66",£500.00,"£691,153.60","£2,295,848.08","£1,236,768.99","£15,332,058.97","£273,307.23",,"£273,307.23","£15,605,366.20",,"Total monthly cost of consultants/consultancy £-98,285.45 is due to adjustment made to some transactions which were reported as Consultancy but are not"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*includes apprenticeship levies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
