,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,
Department for Transport ,Ministerial Department,Department for Transport,151,133.14,351,339.33,"1,389.00","1,366.97","1,234.00","1,207.01",195,188.09,0,0,"3,320","3,235",13,13,0,0,25,25,0,0,38,38,"3,358","3,273","£14,110,277.91","£157,143.82","£33,550.59","£19,462.73","£3,488,404.43","£1,554,058.43","£19,362,897.91","£926,257.17","£6,995,812.27","£7,922,069.44","£27,284,967.35"
Driver and Vehicle Licensing Agency,Executive Agency,Department for Transport,"4,155.00","3,515.36",898,837.22,928,890.72,280,269.44,7,7,0,0,"6,268","5,520",0,0,0,0,12,11.64285714,0,0,12,11.64285714,"6,280","5,531","£11,724,281.16","£323,182.24","£115,221.91","£121,205.84","£3,190,950.32","£1,141,142.99","£16,615,984.46","£380,044.99","£16,996,029.45","£17,376,074.44","£33,992,058.90"
Driver and Vehicle Standards Agency,Executive Agency,Department for Transport,1123,1051.23,2561,2381.67,923,898.37,117,115.92,9,8.75,0,0,"4,733","4,456",33,33,9,9,10,10,0,0,52,52,"4,785","4,508","£10,405,870.57","£704,160.07","£82,725.00","£190,509.44","£2,851,227.23","£1,138,716.24","£15,373,208.55","£294,553.22","£88,437.97","£382,991.19","£15,756,199.74"
Maritime and Coastguard Agency,Executive Agency,Department for Transport,271,250.11,236,226.83,527,511.54,149,143.47,6,5.65,0,0,"1,189","1,138",25,25,0,0,0,0,0,0,25,25,"1,214","1,163","£3,226,388.39","£314,588.70","£18,000.00","£42,604.24","£891,151.73","£381,052.80","£4,873,785.86","£208,843.06",,"£208,843.06","£5,082,628.92"
Vehicle Certification Agency,Executive Agency,Department for Transport,48,43.65,45,41.84,101,97.69,16,16,1,1,0,0,211,200,7,7,0,0,0,0,0,0,7,7,218,207,"£647,159.00","£14,896.00","£1,000.00","-£13,393.00","£163,704.00","£66,950.00","£880,316.00","£17,094.00",,"£17,094.00","£897,410.00"
British Transport Police Authority,Executive Non-Departmental Public Body,Department for Transport,0,0,0,0,4,5,6,5,3,3,0,0,13,13,2,1.025,0,0,0,0,0,0,2,1.025,15,14,"£63,894.00","£3,582.00",,,"£8,147.00","£7,274.00","£82,897.00","£12,330.00","£61,388.00","£73,718.00","£156,615.00"
High Speed 2,Executive Non-Departmental Public Body,Department for Transport,89,88.56666667,65,64.4,418,413.5266667,587,583.4866667,242,240.5055556,0,0,"1,401","1,390",83,83,52,52,221,221,0,0,356,356,"1,757","1,746","£7,983,449.81",£0.00,£0.00,£0.00,"£877,603.03","£893,136.35","£9,754,189.19","£1,845,009.72",,"£1,845,009.72","£11,599,198.91"
Northern Lighthouse Board,Executive Non-Departmental Public Body,Department for Transport,22,5.96,18,17.4,70,68.13,16,15.8,3,3,76,70.7,205,181,12,6.72,0,0,0,0,0,0,12,6.72,217,188,"£658,768.61","£12,820.04",£0.00,"£28,602.60","£180,733.72","£79,256.95","£960,181.92","£997,400.72",,"£997,400.72","£1,957,582.64"
Transport Focus,Executive Non-Departmental Public Body,Department for Transport,0,0,5,4.8,23,23,11,9.95,4,4,0,0,43,42,1,1,0,0,5,1.4,0,0,6,2.4,49,44,"£172,000.00","£2,014.00","£2,050.00",,"£46,555.00","£20,280.00","£242,899.00","£10,343.00",,"£10,343.00","£253,242.00"
Trinity House,Executive Non-Departmental Public Body,Department for Transport,0,0,0,0,0,0,0,0,0,0,304,291,304,291,11,11,0,0,0,0,0,0,11,11,315,302,"£911,061.26","£2,186.65",£0.00,"£18,391.43","£246,004.15","£100,643.14","£1,278,286.63","£32,658.47",,"£32,658.47","£1,310,945.10"
