Organisation name,Organisation type,"Main, parent or sponsoring department",AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,Grand Total,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,Grand total Paybill/Staffing (payroll and non-payroll) costs,Comments
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
"Department for Business, Energy & Industrial Strategy (BEIS)",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",105,99.69035,364,357.22834,1262,1236.75913,1482,1439.45781,222,215.48313,,,3435,3348.61876,6,6,,,62,61.1,,,68,67.1,3503,3415.71876,"£12,278,101.76","£407,388.20","£63,237.19","£60,067.01","£2,764,129.17","£1,351,238.00","£16,924,161.33","238,131.38","£1,142,165.01","£1,380,296.39","£18,304,457.72",
Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",63,58.1,273,253.4,496,458.3,51,48.3,6,5.6,,,889,824,,,,,,,,,0,0,889,824,"£2,161,373.79","£17,664.59",,"£39,306.68","£441,877.74","£222,907.40","£2,883,130.20",,,£0.00,"£2,883,130.20",
Arts & Humanities Research Council (AHRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",10,10,58,55.59,84,78.59,24,23.62,2,2,0,0,178,169.8,0,0,0,0,12,11.8,0,0,12,11.8,190,181.6,"£462,504.23","£10,269.69","£3,979.30",£181.70,"£118,922.00","£48,368.40","£644,225.32","£103,668.98",£0.00,"£103,668.98","£747,894.30",
Biotechnology & Biological Sciences Research Council (BBSRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",34,30.85,48,44.1,153,146.31,44,41.9,10,9.51,0,0,289,272.67,0,0,0,0,0,0,0,0,0,0,289,272.67,"£805,248.02","£23,994.79","£5,450.00","£1,489.39","£208,220.63","£80,795.41","£1,125,198.24",£0.00,£0.00,£0.00,"£1,125,198.24",
Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1121,1110.2,299,291.7,145,143,19,18,6,6,,,1590,1568.9,,,,,,,,,0,0,1590,1568.9,"£4,520,466.15","£125,799.43","£35,274.91","£736,681.84","£864,141.70","£622,203.47","£6,904,567.50",,,£0.00,"£6,904,567.50",
Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",14,13.6,24,23.2,144,143.1,52,51.5,4,4,0,0,238,235.4,18,12.6,,,,,,,18,12.6,256,248,"£755,075.97","£11,357.31","£2,756.57","£3,540.00","£157,839.26","£83,490.87","£1,014,059.98","£90,851.88",,"£90,851.88","£1,104,911.86",
Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0,1,1,5,5,19,18.53,6,5.88,,,31,30.41,,,,,,,1,1,1,1,32,31.41,"£193,371.84",,,,"£29,263.68","£19,278.59","£241,914.11",,,£0.00,"£241,914.11",
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",453,398,241,227,219,212,36,35,6,6,,,955,878,2,2,,,,,12,12,14,14,969,892,"£2,127,272.13","£41,407.09",,"£21,819.08","£444,977.41","£208,843.32","£2,844,319.03","£2,494.80","£97,751.93","£100,246.73","£2,944,565.76",
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",4,4,2,2,4,3.72,7,7,1,1,,,18,17.72,,,,,,,1,1,1,1,19,18.72,"£65,366.93",,,,"£14,099.32","£7,259.72","£86,725.97",,"£5,800.00","£5,800.00","£92,525.97",
Economic & Social Research Council (ESRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",15,13.33,32,29.45,90,85.52,17,16.33,0,0,0,0,154,144.63,0,0,0,0,0,0,0,0,0,0,154,144.63,"£397,206.08","£4,956.08",£100.00,£149.06,"£99,513.69","£38,963.06","£540,887.97",£0.00,£0.00,£0.00,"£540,887.97",
Engineering & Physical Sciences Research Council (EPSRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",53,49.36,46,42.4,152,143.76,45,41.72,1,1,0,0,297,278.24,0,0,0,0,1,1,0,0,1,1,298,279.24,"£1,075,956.47","£32,445.30","£2,900.00",£59.25,"£270,896.73","£113,373.22","£1,495,630.97","£2,872.80",£0.00,"£2,872.80","£1,498,503.77",
HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",1076,1041,2093,1815,1803,1634.5,224,207.6,20,19.92,0,0,5216,4718.02,0,0,31,31,0,0,0,0,31,31,5247,4749.02,,"£240,439.43",£0.00,"£467,340.66","£2,354,889.98","£1,254,845.43","£4,317,515.50","£204,923.87","£216,997.68","£421,921.55","£4,739,437.05",
Innovate UK,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0,64,61.7,94,92.07,202,198.35,20,18.88,0,0,380,371,36,28.14,0,0,0,0,0,0,36,28.14,416,399.14,"£1,464,626.50","£240,076.26",£0.00,£0.00,"£361,162.15","£260,260.58","£2,326,125.49","-£60,609.76",£0.00,"-£60,609.76","£2,265,515.73",
Insolvency Service,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,
Intellectual Property Office (IPO),Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",203,183.46,346,320.2,358,345.1,287,270.61,26,26,,,1220,1145.37,23,22.6,,,17,16.6,,,40,39.2,1260,1184.57,"£3,186,033.00","£138,616.00","£9,224.00","£45,729.00","£712,638.00","£350,657.00","£4,442,897.00",,,£0.00,"£4,442,897.00",
Medical Research Council (MRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",180,166,262,249,688,674,95,92,59,56,53,42,1337,1279,4,4,23,23,0,0,0,0,27,27,1364,1306,"£3,808,756.00","£225,015.00",£0.00,"£10,752.00","£569,124.00","£426,712.00","£5,040,359.00","£344,865.00",£0.00,"£344,865.00","£5,385,224.00",
Met Office,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,
Natural Environment Research Council (NERC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",226,194.8,427,396.4,1238,1179.9,357,341.2,22,21.8,215,211.8,2485,2345.9,1,1,0,0,1,1,0,0,2,2,2487,2347.9,"£6,755,975.86","£218,960.43","£15,590.00","£32,246.98","£1,739,816.51","£692,455.82","£9,455,045.60","£98,913.46",£0.00,"£98,913.46","£9,553,959.06",
Nuclear Decommissioning Authority (NDA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",,,,,,,,,,,221,210.5,221,210.5,8,8,19,19,,,,,27,27,248,238,"£1,199,775.52","£72,016.39",,,"£237,047.60","£152,702.35","£1,661,541.86","£414,488.00",,"414,488.00","£2,706,029.86",
Science & Technology Facilities Council (STFC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",150,143.1,301,290.1,1193,1160,408,389.4,41,37.2,52,45,2145,2064.8,30,30,0,0,20,20,0,0,50,50,2195,2114.8,"£6,398,580.00","£360,630.55",£0.00,"£104,908.91","£1,668,089.76","£728,316.68","£9,260,525.90","£182,265.70",£0.00,"£182,265.70","£9,442,791.60",
UK Atomic Energy Authority (UKAEA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",58,54.36,104,100.25,515,505.31,175,168.32,11,10.5,34,34,897,872.74,4,4,0,0,288,288,0,0,292,292,1189,1164.74,"£3,356,819.38",£0.00,"£114,848.78","£46,974.52","£565,423.10","£398,337.69","£4,482,403.47","£1,173,811.24",£0.00,"£1,173,811.24","£5,656,214.71",
UK Space Agency,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",5,5,8,8,84,83.52,60,57.26,8,7.2,0,0,165,160.98,1,0.1,0,0,5,3.57,0,0,6,3.67,171,164.65,"£532,861.45","£8,499.07",,£0.00,"£116,160.25","£61,341.98","£718,862.75","£44,348.25",£0.00,"£44,348.25","£763,211.00",
