Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,
Department for Transport ,Ministerial Department,Department for Transport,147,127.39,345,334.24,"1,259.00","1,238.97","1,126.00","1,095.19",182,176.63,0,0,"3,059","2,972",2,2,5,0,5,5,0,0,12,7,"3,071","2,979","£11,914,892.09","£131,892.34","£8,260.63","£39,338.22","£3,185,560.34","£1,424,055.64","£16,703,999.26","£398,540.90","£4,935,776.58","£5,334,317.48","£22,038,316.74"
Driver and Vehicle Licensing Agency,Executive Agency,Department for Transport,"4,154.00","3,526.13",859,796.33,908,871.23,279,268.98,7,7,0,0,"6,207","5,470",0,0,0,0,13,13,0,0,13,13,"6,220","5,483","11,260,929","195,401","6,754","121,470","3,081,171","1,068,788","£15,734,513.50","£270,791.00","£1,195.00","£271,986.00","£16,006,499.50"
Driver and Vehicle Standards Agency,Executive Agency,Department for Transport,1100,1028.48,2608,2420.4,903,877.49,106,104.67,8,8,0,0,"4,725","4,439",27,27,8,8,16,16,0,0,51,51,"4,776","4,490","£10,068,153.65","£686,605.41","£34,140.00","£63,197.43","£2,767,908.03","£1,073,113.31","£14,693,117.83","£517,078.93","£49,415.03","£566,493.96","£15,259,611.79"
Maritime and Coastguard Agency,Executive Agency,Department for Transport,277,257.9,243,235.15,506,489.78,143,138.55,6,5.65,0,0,"1,175","1,127",28,28,0,0,0,0,0,0,28,28,"1,203","1,155","£3,118,437.17","£318,594.62","£39,300.00","£21,654.86","£849,558.20","£363,906.32","£4,711,451.17","£197,120.89",£0.00,"£197,120.89","£4,908,572.06"
Vehicle Certification Agency,Executive Agency,Department for Transport,45,40.35,41,37.84,102,98.11,17,17,1,1,0,0,206,194,10,10,0,0,0,0,0,0,10,10,216,204,"£593,437.00","£18,624.00","£11,900.00","£6,212.00","£150,854.00","£64,176.00","£845,203.00","£43,318.00",£0.00,"£43,318.00","£888,521.00"
British Transport Police Authority,Executive Non-Departmental Public Body,Department for Transport,0,0,0,0,4,4,5,4,3,3,0,0,12,11,2,1.1,0,0,0,0,0,0,2,1.1,14,12,"£55,483.00","£3,113.00",,,"£7,224.00","£6,321.00","£72,141.00","£11,891.00","-£15,381.00","-£3,490.00","£68,651.00"
High Speed 2,Executive Non-Departmental Public Body,Department for Transport,66,65.67777778,50,49.6,390,386.55,518,515.8444444,237,236.4888889,0,0,"1,261","1,254",69,69,45,45,223,223,0,0,337,337,"1,598","1,591","£7,906,942.18",£0.00,£0.00,£0.00,"£814,468.25","£916,533.89","£9,637,944.32","£1,214,722.45",£0.00,"£1,214,722.45","£10,852,666.77"
Northern Lighthouse Board,Executive Non-Departmental Public Body,Department for Transport,22,5.96,18,17.4,69,67.13,14,13.8,3,3,77,71.7,203,179,12,7.38,0,0,0,0,0,0,12,7.38,215,186,"£599,338.78","£10,954.59",£0.00,"£18,432.16","£164,892.92","£69,889.09","£863,507.54","£45,130.18",£0.00,"£45,130.18","£908,637.72"
