Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)"
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",469,412.00,262,252.00,139,135.00,36,35.00,4,3.00,0,0.00,910,837.00,1,1.00,0,0.00,0,0.00,18,18.00,19,19,929,856,"£1,809,421.67","£25,635.25",£75.00,"£18,359.14","£376,298.01","£168,442.85","£2,398,231.92","£1,385.00","£179,809.00","£181,194.00","£2,579,425.92",
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",5,5.00,1,1.00,7,6.60,4,4.00,1,1.00,0,0.00,18,17.60,0,0.00,0,0.00,0,0.00,1,1.00,1,1,19,19,"£60,893.46",£0.00,£0.00,£0.00,"£13,131.98","£6,698.45","£80,723.89",£0.00,"£1,525.00","£1,525.00","£82,248.89",
Construction Industry Training Board (CITB)**,Executive non-departmental public body,Department for Education (DfE),411,380.90,593,579.30,289,283.30,17,17.00,4,4.00,0,0.00,"1,314","1,264.50",95,69.97,0,0.00,79,39.01,2,1.75,176,111,"1,490","1,375","£3,216,579.64","£165,364.28",£0.00,"£57,841.83","£440,826.33","£320,641.40","£4,201,253.48","£647,681.78","£8,958.27","£656,640.05","£4,857,893.53",
Economic & Social Research Council (ESRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",14,12.35,33,30.78,76,71.66,17,16.72,2,2.00,0,0.00,142,133.51,0,0.00,0,0.00,0,0.00,0,0.00,0,0,142,134,"£379,177.86",£716.00,"£1,300.00",£136.50,"£95,760.75","£38,251.72","£515,342.83",£0.00,£0.00,£0.00,"£515,342.83",
Engineering Construction Industry Training Board (ECITB)**,Executive non-departmental public body,Department for Education (DfE),12,11.00,25,25.00,21,21.00,5,5.00,0,0.00,0,0.00,63,62.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,63,62,"£244,505.00","£19,321.00",£0.00,£0.00,"£292,613.00","£28,338.00","£584,777.00",£0.00,£0.00,£0.00,"£584,777.00",
Engineering & Physical Sciences Research Council (EPSRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",41,38.01,27,24.46,143,134.12,29,27.72,4,4.00,0,0.00,244,228.31,0,0.00,0,0.00,2,2.00,0,0.00,2,2,246,230,"£647,547.61","£7,215.47","£2,400.00","£5,581.28","£168,951.22","£63,727.50","£895,423.08","£1,719.36",£0.00,"£1,719.36","£897,142.44",
Higher Education Funding Council for England (HEFCE)**,Executive non-departmental public body,Department for Education (DfE),29,24.00,6,5.00,184,169.00,98,88.00,33,32.00,0,0.00,350,318.00,20,20.00,0,0.00,0,0.00,0,0.00,20,20,370,338,"£1,017,618.28","£3,113.56",£0.00,£195.26,"£211,098.02","£107,487.06","£1,339,512.18","£131,903.49",£0.00,"£131,903.49","£1,471,415.67",
Innovate UK / Technology Strategy Board (TSB),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,36,36.00,61,61.00,168,168.00,8,8.00,0,0.00,273,273.00,16,16.00,0,0.00,0,0.00,0,0.00,16,16,289,289,"£1,098,295.96","£128,272.29",£0.00,£0.00,"£267,518.82","£190,014.74","£1,684,101.81","£377,447.97",£0.00,"£377,447.97","£2,061,549.78",
Insolvency Service,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",487,453.83,181,172.73,612,583.14,96,94.53,8,8.00,0,0.00,"1,384","1,312.23",45,45.00,0,0.00,9,9.00,0,0.00,54,54,"1,438","1,366","£3,360,313.00","£7,692.00",£0.00,£913.00,"£704,945.00","£348,337.00","£4,422,200.00","£339,914.84",£0.00,"£339,914.84","£4,762,114.84",
Intellectual Property Office (IPO),Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",206,183.54,376,358.17,287,280.17,273,255.78,25,25.00,0,0.00,"1,167","1,102.66",20,20.00,0,0.00,17,17.00,0,0.00,37,37,"1,204","1,140","£3,031,197.00","£140,714.00","£16,245.00","£52,961.00","£681,106.00","£342,322.00","£4,264,545.00","£279,834.00",£0.00,"£279,834.00","£4,544,379.00",
Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",578,553.28,"2,202","1,923.02","1,706","1,561.52",198,184.04,16,16.00,0,0.00,"4,700","4,237.86",0,0.00,16,16.00,0,0.00,0,0.00,16,16,"4,716","4,254",,198787.07,1475,757507.72,2125970.72,1061952.35,4145692.86,167609.3,0,167609.3,4313302.16,Salary staff data missing.
Medical Research Council (MRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",216,200.00,331,317.00,934,914.00,124,119.00,83,78.00,31,18.00,"1,719","1,646.00",7,7.00,23,23.00,2,2.00,0,0.00,32,32,"1,751","1,678","£4,893,363.00","£321,817.00",£0.00,"£15,015.00","£651,834.00","£540,455.00","£6,422,484.00","£438,743.00",£0.00,"£438,743.00","£6,861,227.00",
Met Office,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,"2,102","2,012.40","2,102","2,012.40",11,6.54,0,0.00,99,99.00,0,0.00,110,106,"2,212","2,118","£5,581,628.00","£310,603.00",£0.00,"£139,677.00","£1,237,094.00","£617,838.00","£7,886,840.00","£522,255.00",£0.00,"£522,255.00","£8,409,095.00",
Natural Environment Research Council (NERC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",234,206.50,416,390.10,"1,193","1,139.40",366,347.10,23,22.50,333,330.80,"2,565","2,436.40",5,4.70,0,0.00,2,2.00,0,0.00,7,7,"2,572","2,443","£6,848,645.53","£283,647.25","£27,803.02","£22,370.66","£1,695,948.58","£721,577.94","£9,599,992.98","£66,812.90",£0.00,"£66,812.90","£9,666,805.88",
Nuclear Decommissioning Authority (NDA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,208,199.52,208,199.52,3,3.00,33,33.00,3,3.00,0,0.00,39,39,247,239,"£1,066,887.00","£66,345.00","£254,276.00",£0.00,"£232,379.00","£173,116.00","£1,793,003.00","£393,699.00",£0.00,"£393,699.00","£2,186,702.00",
Oil & Gas Authority (OGA),Other,"Department for Business, Energy & Industrial Strategy (BEIS)",9,8.42,10,9.92,69,67.87,42,42,7,6.9,,,137,135.11,2,2,0,0,18,18,0,0,20,20,157,155.11,"£508,998.38","£124,198.87","£44,387.64","£1,426.98","£120,586.95","£82,280.08","£881,878.90","£132,298.12",£0.00,"£132,298.12","£1,014,177.02",
Science & Technology Facilities Council (STFC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",150,144.96,284,274.04,"1,136","1,111.47",393,377.30,38,35.28,57,57.00,"2,058","2,000.05",6,6.00,0,0.00,70,70.00,0,0.00,76,76,"2,134","2,076","£6,088,272.00","£327,403.40","£1,350.00","£92,930.67","£1,562,667.00","£691,530.30","£8,764,153.37","£296,187.34",£0.00,"£296,187.34","£9,060,340.71",
Student Loans Company Ltd**,Executive non-departmental public body,Department for Education (DfE),"1,973","1,860.13",747,714.67,151,147.33,20,20.00,6,6.00,0,0.00,"2,897","2,748.12",1,1.00,0,0.00,25,25.00,0,0.00,26,26,"2,923","2,774","£5,215,646.45","£163,042.74","£7,634.25","£158,675.78","£581,420.58","£484,066.40","£6,610,486.20","£175,861.00",£0.00,"£175,861.00","£6,786,347.20",No error.
UK Atomic Energy Authority (UKAEA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",53,49.34,90,86.74,412,406.57,149,145.11,10,10.00,25,25.00,739,722.76,5,5.00,0,0.00,378,378.00,0,0.00,383,383,"1,122","1,106","£2,565,038.18",£0.00,"£83,363.99","£41,401.66","£368,816.86","£301,132.78","£3,359,753.47","£1,420,984.05",£0.00,"£1,420,984.05","£4,780,737.52",Allowances included in Salary cost.
UK Commission for Employment & Skills (UKCES)**,Executive non-departmental public body,Department for Education (DfE),1,1.00,8,7.70,16,14.60,4,4.00,2,2.00,0,0.00,31,29.30,2,2.00,0,0.00,2,2.00,0,0.00,4,4,35,33,"£173,185.03",£0.00,£0.00,£0.00,"£28,839.21","£20,032.58","£222,056.82","£23,266.59",£0.00,"£23,266.59","£245,323.41",UKCES is closing staff members are being made redundant therefore staff numbers are dropping.
UK Space Agency,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",2,2,4,4,38,35,43,39.95,7,6.3,0,0,94,87,1,1,0,0,7,5,0,0,8,6,102,93,"£305,283.75","£7,041.25",£150.00,,"£67,179.46","£35,117.61",414772.07,"£135,874.98",£0.00,135874.98,550647.05,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* BEIS replaced the Department for Business, Innovation and Skills (BIS) and the Department of Energy and Climate Change (DECC) in July 2016. The department continued to report former BIS and DECC data separately until March 2017 as staff who moved departments due to the machinery of government changes were still on the payroll.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"** Responsibility for CITB, ECITB, HEFCE, OFFA, SFA, SLC & UKCES passed to DfE in July 2016 as part of the machinery of government changes. The department continued to report on these partner organisations until they were officially handed over.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
