Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,337,315.17,593,575.5,1300,1273.64,2137,2091.42,369,361.03,2720,2705.82,"7,456","7,323",49,47.19,333,329.57,171,169.38,553,546.14,"8,009","7,869","£29,060,910.51","£935,344.98","£370,405.17","£145,785.97","£7,575,462.92","£3,469,705.55","£41,557,615.10","£4,410,823.03","£45,968,438.13"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.6,6,6,6,5.8,6,5.93,0,0,1,1,20,19,0,0,0,0,0,0,0,0,20,19,"£71,993.09","£1,039.77","£4,266.00",£0.00,"£20,301.52","£8,682.75","£106,283.13",£0.00,"£106,283.13"
Crown Commercial Services,Executive Agency,Cabinet Office,24,24,100,93,446,427,46,43,21,20,0,0,637,607,50,49.6,0,0,0,0,50,49.6,687,657,"£2,009,388.49","£38,699.23","£258,279.93",£762.70,"£533,894.63","£255,474.49","£3,096,499.47","£564,763.52","£3,661,262.99"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,29,28,474,441,246,233,73,71,18,18,0,0,840,791,5,5,0,0,6,3,11,8,851,799,"£2,370,431.00","£42,303.49",£0.00,"£7,133.85","£571,304.73","£218,858.78","£3,210,031.85","£48,878.67","£3,258,910.52"
Government Property Agency,Executive Agency,Cabinet Office,3,2.43,19,18.29,49,48.06,66,65.24,12,12,0,0,149,146,0,0,0,0,7,7,7,7,156,153,"£613,532.64","£23,024.01","£26,418.00",£30.89,"£177,081.47","£76,968.80","£917,055.81","£168,141.69","£1,085,197.50"
Equality & Human Rights Commission,Executive Non-Departmental Public Body,Cabinet Office,0,0,15,14.6,105,100.3,65,61.2,12,11.2,0,0,197,187,4,4,2,2,0,0,6,6,203,193,"£682,087.00","£13,742.00",£0.00,£280.00,"£187,438.00","£73,659.00","£957,206.00","£42,058.00","£999,264.00"
