Organisation Name,,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Foreign and Commonwealth Office,Ministerial Department,Foreign and Commonwealth Office,441,430,619,608,1949,1931,1450,1428.6,417,413,,,4876,4810.6,53,52.8,,,30,29.4,7,6.8,90,89,4966,4899.6,14111419.08,1003888.19,24111.13,121815.7,3112968.59,1413561.68,19787764.37,530597.96,149974.33,680572.29,,
Wilton Park Executive Agency,Executive Agency,Foreign and Commonwealth Office,37,32.18,22,21.1,17,14.99,10,9.8,1,1,1,0,88,79.07,,,,,,,,,0,0,88,79.07,204647.88,8209.9,,716.31,42192.21,21053.79,276820.09,,,0,,
British Council,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,15,14.67,187,182.73,781,766.65,315,312.61,96,95.8,,,1394,1372.46,75,74.2,66,69.3,,,,,141,143.5,1535,1515.96,4546270.35,928755.54,0,24022.98,1002469.35,424234.79,6925753.01,554003.59,,554003.59,,
Great Britain - China Centre,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,1,1,6,5,2,1.125,1,1,,,10,8.125,,,,,,,,,0,0,10,8.125,26859.43077,,,,1277.58,2845.2,30982.21077,,,0,,
Marshall Aid Commemoration Commission,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,0,,,0,,
Westminster Foundation for Democracy,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,9,9,20,20,17,17,2,2,,,48,48,2,2,,,,,,,2,2,50,50,183636.22,,,,31467.15,19575.97,234679.34,2739.29,,2739.29,,
FCO Services,Executive Agency,Foreign and Commonwealth Office,119,117.24,193,188.34,412,404.18,195,175.04,7,6.01,59,59,985,949.81,37,37,6,6,156,151.6,4,4,203,198.6,1188,1148.41,2542175.42,501720.48,8768,223647.72,540133.08,284591.18,4101035.88,2234407.79,,2234407.79,,
