Organisation Name,,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Foreign and Commonwealth Office,Ministerial Department,Foreign and Commonwealth Office,432,420,617,605,1782,1766,1306,1285,417,414,,,4554,4490,36,36,,,28,27.4,6,5.8,70,69.2,4624,4559.2,13868673.62,923490.03,-1039319.53,8745.23,2976190.51,1311111.38,18048891.24,329174.17,208388.61,537562.78,18586454.02,
Wilton Park Executive Agency,Executive Agency,Foreign and Commonwealth Office,32,28.14,24,22.61,1773.7,15.04,12,11.8,1,1,7,7,1849.7,85.59,,,,,,,,,0,0,1849.7,85.59,197142,8664,,2759,41185,19301,269051,393,,393,269444,
British Council,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,24,23.67,190,186.03,778,760.87,318,317.31,85,84.81,,,1395,1372.69,223,213.84,83,79.87,,,,,306,293.71,1701,1666.4,4488031.72,980345.55,0,23873.21,984908.36,423757.85,6900916.69,350589.55,,350589.55,7251506.24,
Great Britain - China Centre,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,7.5,7,2,2,1,1,,,10.5,10,,,,,,,,,0,0,10.5,10,34683.13,273.31,,,3113.34,3660.07,41729.85,,,0,41729.85,
Marshall Aid Commemoration Commission,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,0,,,0,0,
Westminster Foundation for Democracy,Executive Non-Departmental Public Body,Foreign and Commonwealth Office,,,12,12,13,13,14,14,2,2,,,41,41,,,,,,,,,0,0,41,41,137173.68,,,,23804.49,14499.59,175477.76,,,0,175477.76,
FCO Services,Executive Agency,Foreign and Commonwealth Office,101,98.97,187,182.96,393,384.99,174,154.93,4,4,37,37,896,862.85,45,45,9,9,152,147.9,4,4,210,205.9,1106,1068.75,2367815.95,544142.05,4850,463144.17,500384.91,310515,4190852.08,1417677.29,0,1417677.29,5608529.37,
