Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,352,328.21,578,562.04,1271,1245.52,2086,2045.21,372,364.19,2472,2458.52,"7,131","7,004",32,30.81,337,328.81,117,102.81,486,462.43,"7,617","7,466","£26,056,135.73","£896,286.03","£3,192,025.28","£121,268.46","£6,794,877.79","£3,469,762.44","£40,530,355.73","£4,279,011.00","£44,809,366.73"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1,0.6,3,3,6,5.8,6,5.93,0,0,1,1,17,16,0,0,0,0,0,0,0,0,17,16,"£58,654.07",£466.08,"£9,296.00",£0.00,"£16,520.35","£7,754.63","£92,691.13",£0.00,"£92,691.13"
Crown Commercial Services,Executive Agency,Cabinet Office,25,25,101,93,327,314,153,146,21,20,0,0,627,598,43,43,0,0,0,0,43,43,670,641,"£1,809,967.54","£42,968.64",£0.00,£879.50,"£493,437.48","£196,388.80","£2,543,641.96","£550,933.01","£3,094,574.97"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,68,62,461,427,238,225,73,71,17,17,0,0,857,802,5,5,0,0,9,6.5,14,11.5,871,814,"£2,138,745.87","£48,469.53",£0.00,"£6,045.50","£558,164.52","£225,531.34","£2,976,956.76","£73,282.12","£3,050,238.88"
Government Property Agency,Executive Agency,Cabinet Office,2,1.89,21,20.29,45,43.94,65,64.44,11,11,0,0,144,142,0,0,0,0,7,7,7,7,151,149,"£536,869.00","£17,182.00","£52,999.00",£124.00,"£151,553.00","£69,348.00","£828,075.00","£406,965.00","£1,235,040.00"
Equality & Human Rights Commission,Executive Non-Departmental Public Body,Cabinet Office,0,0,16,15.6,104,99.7,62,58.9,12,11.2,0,0,194,185,2,2,2,2,0,0,4,4,198,189,"£652,706.00","£14,267.00",£0.00,£0.00,"£180,398.00","£70,696.00","£918,067.00","£32,545.00","£950,612.00"
