Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)",,,
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",4,4,2,2,4,3.72,7,7,1,1,,,18,17.72,,,,,,,1,1,1,1,19,18.72," £65,291.93 ",,,," £14,078.82 "," £7,304.06 "," £86,674.81 ",," £4,325.00 "," £4,325.00 "," £90,999.81 ",,,,
Economic & Social Research Council (ESRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",14,12.54,30,27.90,84,80.11,16,15.53,1,1.00,0,0.00,145,137.08,0,0.00,0,0.00,0,0.00,0,0.00,0,0,145,137," £355,451.38 "," £4,872.84 ", £400.00 , £-   ," £93,995.67 "," £32,065.05 "," £486,784.94 ", £-   , £-   , £-   ," £486,784.94 ",,,,
Engineering & Physical Sciences Research Council (EPSRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",60,55.84,35,31.79,155,146.87,41,39.35,3,3.00,0,0.00,294,276.85,0,0.00,0,0.00,0,0.00,0,0.00,0,0,294,277," £748,214.20 "," £15,986.49 "," £2,100.00 "," £4,429.79 "," £196,753.58 "," £73,611.15 "," £1,041,095.21 ", £-   , £-   , £-   ," £1,041,095.21 ",,,,
HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)","1,016",986.24,"2,133","1,858.67","1,762","1,599.73",211,194.97,19,18.92,0,0.00,"5,141","4,658.53",0,0.00,26,26.00,0,0.00,0,0.00,26,26,"5,167","4,685"," £10,874,326.64 "," £233,461.66 ", £500.00 ," £691,153.60 "," £2,295,848.08 "," £1,236,768.99 "," £15,332,058.97 "," £273,307.23 ",," £273,307.23 "," £15,605,366.20 ",,,,
Innovate UK,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,59,59.00,88,88.00,193,193.00,13,13.00,0,0.00,353,353.00,25,25.00,0,0.00,0,0.00,0,0.00,25,25,378,378," £1,333,019.29 "," £194,830.39 ", £-   , £-   ," £329,867.67 "," £179,645.81 "," £2,037,363.16 "," £167,352.08 ", £-   ," £167,352.08 "," £2,204,715.24 ",,,,
Insolvency Service,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",526,491.96,195,187.22,713,681.52,116,112.81,10,10.00,0,0.00,"1,560","1,483.51",56,56.00,0,0.00,8,8.00,0,0.00,64,64,"1,624","1,548"," £3,935,818.00 "," £9,704.00 "," £66,475.00 "," £26,097.00 "," £818,679.00 "," £416,204.00 "," £5,272,977.00 "," £268,708.00 ", £-   ," £268,708.00 "," £5,541,685.00 ",,,,
Intellectual Property Office (IPO),Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",186,166.51,374,348.71,325,314.40,282,263.86,27,27.00,0,0.00,"1,194","1,120.48",40,40.00,0,0.00,15,15.00,0,0.00,55,55,"1,249","1,175"," £3,110,626.00 "," £141,247.00 "," £6,744.00 "," £50,730.00 "," £698,797.00 "," £348,407.00 "," £4,356,551.00 "," £341,499.00 ", £-   ," £341,499.00 "," £4,698,050.00 ",,,,
Medical Research Council (MRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",204,188.00,277,265.00,802,785.00,106,101.00,73,68.00,30,17.00,"1,492","1,424.00",6,6.00,17,17.00,1,1.00,0,0.00,24,24,"1,516","1,448"," £4,576,061.00 "," £283,216.00 ", £-   ," £12,532.00 "," £623,902.00 "," £508,180.00 "," £6,003,891.00 "," £359,797.00 ", £-   ," £359,797.00 "," £6,363,688.00 ",Salary and allowances are higher due to 1% pay award back-dated to 01.04.2017,,,
Met Office,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
Natural Environment Research Council (NERC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",227,194.80,417,387.40,"1,218","1,159.50",370,353.90,23,22.70,324,320.30,"2,579","2,438.60",5,4.70,0,0.00,2,2.00,0,0.00,7,7,"2,586","2,445"," £7,027,527.78 "," £199,621.70 "," £17,143.36 "," £28,060.17 "," £1,729,759.39 "," £741,007.46 "," £9,743,119.86 "," £96,772.72 ", £-   ," £96,772.72 "," £9,839,892.58 ",,,,
Nuclear Decommissioning Authority (NDA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,219,209.29,219,209.29,7,7.00,24,23.09,0,0.00,0,0.00,31,30,250,239," £1,127,015.15 "," £69,955.24 "," £283,897.76 ", £-   ," £238,718.38 "," £177,435.76 "," £1,897,022.29 "," £234,601.59 ", £-   ," £234,601.59 "," £2,131,623.88 ",,,,
Science & Technology Facilities Council (STFC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",151,145.06,290,279.57,"1,174","1,140.22",403,388.01,39,34.78,57,57.00,"2,114","2,044.64",28,28.00,0,0.00,37,37.00,0,0.00,65,65,"2,179","2,110"," £6,241,394.00 "," £405,495.00 "," £120,350.00 "," £119,616.43 "," £1,617,186.00 "," £737,919.00 "," £9,241,960.43 "," £162,023.67 ", £-   ," £162,023.67 "," £9,403,984.10 ",,,,
UK Atomic Energy Authority (UKAEA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",59,56.12,98,94.82,485,476.67,164,159.10,10,10.00,34,34.00,850,830.71,4,4.00,0,0.00,330,330.00,0,0.00,334,334,"1,184","1,165"," £2,985,683.84 ", £-   ," £104,294.69 "," £83,297.94 "," £512,713.20 "," £366,798.60 "," £4,052,788.27 "," £1,442,129.02 ", £-   ," £1,442,129.02 "," £5,494,917.29 ",Allowances are included in salary costs.,,,
UK Space Agency,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",5,5,6,6,59,58.55,53,50.06,7,6.1,0,0,130,125.71,2,0.25,0,0,3,2.25,0,0,5,2.5,135,128.21," £453,350.31 "," £14,912.90 "," £1,550.00 "," £2,844.73 "," £98,620.35 "," £52,501.72 "," £623,780.01 "," £32,299.85 ", £-   ," £32,299.85 "," £656,079.86 ",,,,
