Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Ministry of Justice,Ministerial Department,Ministry of Justice,968,905.56,939,905.39,1675,1631.48,799,779.82,124,121.56,0,0.00,"4,505","4,343.81",145,140.05,2,2.00,229,229.00,0,0.00,376,371.05,"4,881","4,714.86","£12,336,811","£227,546","£17,980","£57,573","£2,557,226","£1,087,813","£16,284,948","£2,482,342","£1,106,804","£3,589,146","£19,874,094",
HM Courts and Tribunals Service,Executive Agency,Ministry of Justice,13338,11639.31,2877,2698.35,2464,2291.62,505,492.19,31,31.00,0,0.00,"19,215","17,152.48",(..) ,752.98,(..) ,(..) ,(..) ,(..) ,(..) ,(..) ,0,752.98,"19,215","17,905.46","£31,075,277","£500,879","£36,102","£253,267","£5,700,874","£2,102,962","£39,669,361","£1,698,374",(..) ,"£1,698,374","£41,367,735",Only Agency FTE available. Agency HC not collected.
National Archives,Executive Agency,Ministry of Justice,176,156.44,121,115.65,260,254.14,60,59.33,5,5.00,0,0.00,622,590.56,2,2.00,(..) ,(..) ,10,10.00,(..) ,(..) ,12,12.00,634,602.56,"£1,429,762.30","£17,659.95",(..) ,"£10,102.34","£252,496.93","£136,918.26","£1,846,940","£42,760",(..) ,"£42,760","£1,889,700",
National Offender Management Service,Executive Agency,Ministry of Justice,30634,29225.73,5488,5271.69,4615,4407.88,575,564.67,37,37.00,0,0.00,"41,349","39,506.96",(..) ,616.34,(..) ,13.56,(..) ,28.54,(..) ,0,0,658.44,"41,349","40,165.40","£95,496,970",£0,£0,"£4,048,742","£17,579,606","£7,463,078","£124,588,396","£2,882,317",(..) ,"£2,882,317","£127,470,714",CCL staff only collected as FTE. Headcount not available.
The Legal Aid Agency (formerly LSC),Executive Non-Departmental Public Body,Ministry of Justice,707,670.19,372,352.79,382,366.57,82,81.06,13,12.97,0,0.00,"1,556","1,483.59",33,33.00,(..) ,(..) ,44,43.30,(..) ,(..) ,77,76.30,"1,633","1,559.89","£3,435,760","£42,940",(..) ,"£123,144","£591,791","£323,650","£4,517,284","£590,911",(..) ,"£590,911","£5,108,195",
The Office of the Public Guardian,Executive Agency,Ministry of Justice,310,291.95,137,130.55,74,72.39,10,9.82,2,1.78,0,0.00,533,506.48,216,162.46,0,0.00,3,3.00,0,0.00,219,165.46,752,671.95,"£894,775","£14,578",-£150,"£61,629","£155,343","£61,722","£1,187,897","£401,634",(..) ,"£401,634","£1,589,531",Payroll rose by 10 FTEs (£50k higher) but one-off salary adjustmts in May mean June looks lower.
Criminal Cases Review Commission,Executive Non-Departmental Public Body,Ministry of Justice,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,79,72.96,79,72.96,2,2.00,2,2.00,(..) ,(..) ,(..) ,(..) ,4,4.00,83,76.96,"£205,414",£57,(..) ,"£1,262","£35,764","£16,987","£259,484","£23,688",(..) ,"£23,688","£283,172","This data does not include Commissioners and Non-Executive Directors as they are office holders and not employees.
The Commission employees are not Civil Servants and therefore Civil Service grades are not applied to their roles."
Information Commissioner's Office,Executive Non-Departmental Public Body,Ministry of Justice,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,395,363.6,395,363.60,10,9.20,(..) ,(..) ,1,1.00,0,0.00,11,10.20,406,373.80,"£808,385","£1,335",(..) ,"£6,608","£146,139","£54,907","£1,017,373","£31,735",(..) ,"£31,735","£1,049,108",
Judicial Appointments Commission,Executive Non-Departmental Public Body,Ministry of Justice,15,14.54,16,14.94,24,23.69,12,10.95,3,3.00,1,0.40,71,67.52,11,7.10,(..) ,(..) ,(..) ,(..) ,(..) ,(..) ,11,7.10,82,74.62,"£183,421","£1,250",£100,,"£34,861","£15,137","£234,769","£18,563",(..) ,"£18,563","£253,333",
Legal Services Board,Executive Non-Departmental Public Body,Ministry of Justice,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,31,30.80,31,30.80,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,31,30.80,"£143,345",,,,"£27,453","£17,122","£187,920",(..) ,(..) ,£0,"£187,920","LSB staff are not civil servants, so do not enjoy civil service terms and conditions neither do they have a defined benefit pension provision"
