Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)",,,
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",4,4,2,2,4,3.72,7,7,1,1,,,18,17.72,,,,,,,1,1,0,0,18,17.72,"£65,339.24",,"£1,000.00",,"£14,088.71","£7,448.59","£87,876.54",,"£2,850.00"," £2,850.00 "," £90,726.54 ",,,,
Economic & Social Research Council (ESRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",14,12.54,28,25.9,88,84.1,17,16.33,,,,,147,138.87,,,,,,,,,0,0,147,138.87,"366,737.46","5,093.17",700.00,,"97,034.37","33,509.14","£503,074.14",,, £-   ," £503,074.14 ",,,,
Engineering & Physical Sciences Research Council (EPSRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",57,52.84,36,32.79,155,146.88,42,39.75,4,4,,,294,276.26,,,,,,,,,0,0,294,276.26,"761,430.52","15,022.32","3,600.00","3,018.08","203,998.49","77,036.45","£1,064,105.86",,, £-   ," £1,064,105.86 ",,,,
HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",1022,992.29,2129,1853.75,1762,1598.8,210,193.97,20,19.92,0,0,5143,4658.73,0,0,24,24.00,0,0.00,0,0,24,24,5167,4682.73,"£10,877,883.79","£228,202.76",,"£353,926.34","£2,285,288.15","£1,176,862.53","£14,922,163.57","£273,805.54","£17,078.01"," £290,883.55 "," £15,213,047.12 ",,,,
Innovate UK,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,61,61.00,90,90.00,196,196.00,13,13.00,0,0.00,360,360.00,22,22.00,0,0.00,0,0.00,0,0.00,22,22,382,382,"£1,369,669.86","£153,472.35",£0.00,£0.00,"£332,215.64","£175,815.16","£2,031,173.01","£336,035.60",£0.00,"£336,035.60","£2,367,208.61",,,,
Insolvency Service,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",521,487.00,194,186.22,718,686.77,118,114.80,10,10.00,0,0.00,"1,561","1,484.79",55,55.00,0,0.00,10,10.00,0,0.00,65,65,"1,626","1,550","£3,961,567.00","£9,704.00","£16,287.00","£20,819.00","£827,852.00","£414,452.00","£5,250,681.00","£441,341.00",£0.00,"£441,341.00","£5,692,022.00",,,,
Intellectual Property Office (IPO),Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",186,166.98,356,331.25,339,328.07,281,262.9,27,27,,,1189,1116.2,38,38,,,13,13,,,51,51,1240,1167.2,"£3,595,360.00","£149,882.00","£15,639.00","£43,022.00","£713,403.00","£421,215.00","£4,938,521.00","£414,426.00",," £414,426.00 "," £5,352,947.00 ",,,,
Medical Research Council (MRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",197,181.00,278,266.00,791,774.00,106,101.00,70,66.00,23,11.00,"1,465","1,399.00",6,6.00,18,18.00,1,1.00,0,0.00,25,25,"1,490","1,424","£4,242,295.00","£277,203.00",£0.00,"£9,275.00","£582,503.00","£468,671.00","£5,579,947.00","£525,995.00",£0.00,"£525,995.00","£6,105,942.00",,,,
Met Office,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
Natural Environment Research Council (NERC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",227,194.90,410,379.90,"1,224","1,166.30",319,304.00,22,21.70,321,317.30,2523,2384.1,4,3.70,0,0.00,2,2.00,0,0.00,6,5.7,2529,2389.8,"£6,613,943.06","£243,030.49","£22,350.00","£36,830.55","£1,645,656.71","£709,247.59","£9,271,058.40","£53,159.73",£0.00," £53,159.73 "," £9,324,218.13 ",,,,
Nuclear Decommissioning Authority (NDA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",,,,,,,,,,,221,211.29,221,211.29,5,5,29,29,,,,,34,34,255,245.29,"£1,172,262.00","£66,196.00","£284,972.00",,"£241,639.00","£198,009.00","£1,963,078.00","£175,435.00",," £175,435.00 "," £2,138,513.00 ",,,,
Science & Technology Facilities Council (STFC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",152,145.06,293,282.11,"1,167","1,133.67",401,386.01,39,34.78,58,58.00,"2,110","2,039.63",27,27.00,0,0.00,38,38.00,0,0.00,65,65,"2,175","2,105","£6,267,933.00","£397,504.62","£15,350.00","£95,826.74","£1,631,209.00","£733,449.46","£9,141,272.82","£337,039.60",£0.00,"£337,039.60","£9,478,312.42",,,,
UK Atomic Energy Authority (UKAEA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",57,54.12,102,98.82,487,479.00,165,159.91,10,10.00,34,34.00,855,835.85,4,4.00,0,0.00,323,323.00,0,0.00,327,327,"1,182","1,163","£3,046,632.37",£0.00,"£114,929.23","£48,033.46","£520,491.69","£364,450.19","£4,094,536.94","£1,302,191.32",£0.00,"£1,302,191.32","£5,396,728.26",Allowances included within salary costs.,,,
UK Space Agency,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",5,5,6,6,65,64.47,53,51.06,7,6.1,0,0,136,132.63,3,2.24,0,0,3,1.37,0,0,6,3.61,142,136.24,"£464,836.73","£11,244.75",£950.00,£0.00,"£99,508.84","£52,386.47","£628,926.79","£21,686.94",£0.00," £21,686.94 "," £650,613.73 ",,,,
