Organisation name,Organisation type,"Main, parent or sponsoring department",AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,Grand Total,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,Grand total Paybill/Staffing (payroll and non-payroll) costs,Comments
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
"Department for Business, Energy & Industrial Strategy (BEIS)",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",132,126.271,371,364.02511,1270,1251.119,1318,1283.98476,217,210.16441,0,0,3308,3235.56428,6,6,0,0,76,75.1,0,0,82,81.1,3390,3316.66428,"£11,892,462.39","£407,771.96","-£256,455.34","£37,053.89","£2,006,549.99","£1,943,425.33","£16,030,808.22","£180,026.71","-£91,965.02","£88,061.69","£16,118,869.91",
Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",53,48.1,241,221.7,489,452.3,48,45.3,6,5.6,0,0,837,773,0,0,0,0,0,0,0,0,0,0,837,773,"£2,094,222.63","£21,887.05",,"£39,301.60","£432,407.27","£218,977.79","£2,806,796.34",,,,"£2,806,796.34",
Arts & Humanities Research Council (AHRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",10,10,53,51.37,79,74.29,23,22.61,1,1,0,0,166,159.27,0,0,0,0,13,12.8,0,0,13,12.8,179,172.07,"£400,239.37","£8,968.68","£36,151.41",£139.91,"£122,352.96","£43,388.00","£611,240.33","£113,549.21",£0.00,"£113,549.21","£724,789.54",
Biotechnology & Biological Sciences Research Council (BBSRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",34,30.06,46,42.62,148,141.12,44,41.72,11,10.51,0,0,283,266.03,0,0,0,0,0,0,0,0,0,0,283,266.03,"£799,003.13","£30,566.35","£5,450.00","£1,416.34","£211,640.41","£82,106.42","£1,130,182.65",£0.00,£0.00,£0.00,"£1,130,182.65",
Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1092,1075.1,286,280.21,145,144,21,20.41,6,6,0,0,1550,1525.18,0,0,0,0,0,0,0,0,0,0,1549.74,1525.18,"£4,625,050.72","£170,586.36","£35,569.10","£668,227.35","£860,442.33","£628,605.09","£6,988,480.95",,,£0.00,"£6,988,480.95",
Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",15,14.6,22,21.2,140,139.1,53,52.5,4,4,0,0,234,231.4,11,7,0,0,11,7,0,0,22,14,256,245.4,"£730,830.31","£12,938.87",£0.00,£0.00,"£155,930.18","£79,843.79","£979,543.15","£82,503.76",,"£82,503.76","£1,062,046.91",
Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0,1,1,6,5.13,16,15.53,6,5.41,0,0,29,27.07,0,0,0,0,0,0,1,1,1,1,30,28.07,"£69,606.01",,,,"£28,853.38","£21,240.88","£119,700.27",,,£0.00,"£119,700.27",
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",463,407,233,219,209,203,41,40,6,6,0,0,952,875,3,3,0,0,0,0,16,16,19,19,971,894,"£2,055,206.99","£38,409.25",,"£36,445.10","£417,853.44","£192,142.28","£2,740,057.06","£3,472.43","£147,741.57","£151,214.00","£2,891,271.06",
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",4,4,2,2,4,3.72,7,7,1,1,0,0,18,17.72,0,0,0,0,0,0,1,1,1,1,19,18.72,"£65,366.93",,,,"£14,094.50","£4,259.72","£83,721.15",,"£2,975.00","£2,975.00","£86,696.15",
