Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs
Cabinet Office,Ministerial Department,Cabinet Office,147,142.68,361,350.45,525,514.02,789,774.92,230,224.39,126,124.51,"2,178","2,131",4,4.00,167,167.00,26,25.00,5,1.00,0,0,"2,178","2,131","£7,554,806.18","£411,626.58","£32,890.00","£67,127.09","£1,735,132.06","£751,552.04","£10,553,133.95","£6,022,874.41","£1,181,188.00",£0.00,"£10,553,133.95"
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,2,1.56,3,3.00,5,4.80,5,5.00,1,1.00,0,0.00,16,15,0,0.00,0,0.00,0,0.00,0,0.00,0,0,16,15,"£46,668.02",£250.00,£0.00,£0.00,"£10,083.15","£3,954.32","£60,955.49",£0.00,£0.00,£0.00,"£60,955.49"
Crown Commercial Services,Executive Agency,Cabinet Office,30,28.33,118,115.47,324,315.64,181,177.96,61,58.63,0,0.00,714,696,59,58.00,0,0.00,0,0.00,0,0.00,59,58,773,754,"£2,522,145.39","£3,346.64","£2,345.00",£60.48,"£523,003.15","£231,351.60","£3,282,252.26","£210,613.48",£0.00,"£210,613.48","£3,492,865.74"
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,93,88.00,479,440.00,252,237.00,67,65.00,16,16.00,0,0.00,907,846,28,28.00,0,0.00,2,0.50,0,0.00,30,28.5,937,875,"£1,999,897.06","£31,796.49",£0.00,"£14,195.94","£404,554.12","£148,951.57","£2,599,395.18","£87,683.05",£0.00,"£87,683.05","£2,687,078.23"
