,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other,Fast Streamers -BEIS paid,  unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,Grand Total,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,Total costs,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",101,96.03,421,412,1720,1688.98,1916,1857.56,269,258.44,150,148.22,4577,4461.23,13,13,,,8,2.26,47,39,68,54.26,"4,645","4,515","£16,453,881.51","£731,490.60","£165,850.00","£39,734.25","£4,613,186.64","£1,937,210.77","£23,941,353.77","£369,068.00","£3,351,388.00","£3,720,456.00","£27,661,809.77",
Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",51,45.37,308,287.55,535,497.87,50,45.78,6,6,,,950,882.57,,,,,,,,,0,0,950,883,"£2,291,674.26","£19,447.30",£0.00,"£16,002.36","£604,793.41","£229,917.96","£3,161,835.29",,,£0.00,"£3,161,835.29",
Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1388,1357.6,137,132.35,27,26,0,0,0,0,0,0,1552,1515.95,,,,,,,,,0,0,"1,552","1,516","£4,582,980.50","£121,183.69","£23,314.82","£802,707.58","£856,539.06","£636,674.13","£7,023,399.78",,,£0.00,"£7,023,399.78",
Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",14,12,28,27,159,155.9,53,52.4,3,3,0,0,257,250.3,7,5.8,0,0,0,0,0,0,7,5.8,264,256,"£787,976.67","£10,599.51","£10,801.39","£3,197.25","£216,728.85","£86,223.30","£1,115,526.97","£42,123.63",£0.00,"£42,123.63","£1,157,650.60",
Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1,1,1,1,9,8.38,18,15.39,6,5.3,0,0,35,31.07,,,,,,,,,0,0,35,31,"£135,920.00",£0.00,£0.00,£0.00,"£37,588.00","£18,169.00","£191,677.00",,,£0.00,"£191,677.00",
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",461,403.55,278,261.28,261,251.11,55,54.14,6,6,0,0,1061,976.08,9,9,0,0,36,36,0,0,45,45,"1,106","1,021","£2,259,556.41","£34,390.07",£0.00,"£27,805.97","£613,937.74","£216,571.14","£3,152,261.33","£37,591.59","£484,355.80","£521,947.39","£3,674,208.72",
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",5,5,2,2,3,2.72,7,7,0,0,1,1,18,17.72,0,0,0,0,0,0,2,2,2,2,20,20,"£70,977.03",£0.00,£0.00,£0.00,"£19,843.67","£8,008.80","£98,829.50",£0.00,"£2,175.00","£2,175.00","£101,004.50",
HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",1430,1352.7,2178,1883.11,1851,1652.61,239,220.58,24,23.84,0,0,5722,5132.83,0,0,30,30,0,0,0,0,30,30,"5,752","5,163","£12,332,118.44","£256,736.84",£0.00,"£1,234,261.66","£3,324,931.02","£10,498,863.98","£27,646,911.94","£65,083.74","£110,299.17","£175,382.91","£27,822,294.85",
Insolvency Service,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",560,526.58,192,180.57,755,724.1,128,125.4,10,10,0,0,1645,1566.65,62,62,,,12,12,,,74,74,"1,719","1,641","£4,257,232.33","£16,251.04","£13,450.00","£45,484.10","£1,262,322.45","£507,151.48","£6,101,891.40","£1,198,062.28",,"£1,198,062.28","£7,299,953.68",
